Remove,Entfernen
Cancel,Abbrechen
"Manage Shopping Cart","Warenkorb verwalten"
"Create Order","Create Order"
Back,Back
"Add Products","Produkte hinzufügen"
"Update Items and Qty's","Artikel und Mengen aktualisieren"
"Are you sure you want to clear your shopping cart?","Are you sure you want to clear your shopping cart?"
"Clear the shopping cart.","Clear the shopping cart."
"Add Selected Product(s) to Shopping Cart","Ausgewählte(s) Produkt(e) in den Warenkorb legen."
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Choose  products to add to shopping cart.","Choose  products to add to shopping cart."
Product,Produktbezeichnung
Price,Preis
Quantity,"Menge zum Hinzufügen"
"Products in the Comparison List (%1)","Products in the Comparison List (%1)"
"Last ordered items (%1)","Last ordered items (%1)"
Products,Produkte
ID,ID
SKU,SKU
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Recently Viewed Products (%1)"
"Add to Shopping Cart by SKU","Zum Einkaufswagen über SKU hinzufügen"
"Add to Shopping Cart","Zum Einkaufswagen hinzufügen"
"Wish List (%1)","Wish List (%1)"
Apply,Anwenden
Configure,Konfigurieren
"Add to Order by SKU","Zur Bestellung über SKU hinzufügen"
"Add to Order","Zu Bestellungen hinzufügen"
"Add Products to Order","Produkte zur Bestellung hinzufügen"
"<span id=""sku-attention-num"">%1</span> product(s) require attention.","<span id=""sku-attention-num"">%1</span> product(s) require attention."
"Remove All","Alle entfernen"
"Only %1%2%3 left in stock","Only %1%2%3 left in stock"
"The maximum quantity allowed for purchase is %1.","The maximum quantity allowed for purchase is %1."
"The minimum quantity allowed for purchase is %1.","The minimum quantity allowed for purchase is %1."
"Specify the product's options","Geben Sie die Produktoptionen an"
"Receive notice when item is restocked.","Receive notice when item is restocked."
"Customer not found","Kunde nicht gefunden"
"Shopping cart management disabled for this customer.","Warenkorbmanagement für diesen Kunden deaktiviert."
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"We could not find this store.","We could not find this store."
Customers,Kunden
"Shopping Cart",Warenkorb
"An error has occurred. See error log for details.","Ein Fehler ist aufgetreten. Genauere Informationen finden Sie im Fehlerprotokoll."
"You do not have access to this.","You do not have access to this."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"Ordered item id is not received.","Die bestellte Artikelnummer wurde nicht empfangen."
"Ordered item is not loaded.","Der bestellte Artikel wird nicht geladen."
"Quote item id is not received.","Die angegebene Artikelnummer wurde nicht empfangen."
"Quote item is not loaded.","Der bestellte Artikel wird nicht geladen."
"You removed the item.","You removed the item."
"You removed the items.","You removed the items."
"You cannot configure a product.","You cannot configure a product."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"You cannot add a product.","You cannot add a product."
"Order by SKU","Bestellung über SKU"
"SKU not found in catalog.","SKU nicht im Katalog gefunden."
"Availability: Out of stock.","Verfügbarkeit: Nicht auf Lager."
"The requested quantity is not available.","The requested quantity is not available."
"The product cannot be added to cart in requested quantity.","Dieses Produkt kann mit der gewünschten Menge nicht zum Einkaufswagen hinzugefügt werden."
"Please specify the product's options.","Bitte geben Sie die Produktoptionen an."
"The product cannot be added to cart.","Das Produkt kann nicht zum Einkaufswagen hinzugefügt werden."
"Please enter a valid number in the ""Qty"" field.","Bitte geben Sie eine gültige Zahl im ""Qty""-Feld an."
"The product is assigned to another website.","The product is assigned to another website."
