Remove,Eliminar
Cancel,Cancelar
"Manage Shopping Cart","Gestionar la Cesta de la Compra"
"Create Order","Create Order"
Back,Back
"Add Products","Añadir productos"
"Update Items and Qty's","Actualizar artículos y cantidades"
"Are you sure you want to clear your shopping cart?","Are you sure you want to clear your shopping cart?"
"Clear the shopping cart.","Clear the shopping cart."
"Add Selected Product(s) to Shopping Cart","Añadir producto(s) seleccionado(s) a la Cesta de la Compra"
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Choose  products to add to shopping cart.","Choose  products to add to shopping cart."
Product,"Nombre de producto"
Price,Precio
Quantity,"Cantidad a añadir"
"Products in the Comparison List (%1)","Products in the Comparison List (%1)"
"Last ordered items (%1)","Last ordered items (%1)"
Products,Productos
ID,Identificación
SKU,"Número de referencia"
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Recently Viewed Products (%1)"
"Add to Shopping Cart by SKU","Añadir al carro de la compra por SKU"
"Add to Shopping Cart","Añadir al carro de la compra"
"Wish List (%1)","Wish List (%1)"
Apply,Solicitar
Configure,Configurar
"Add to Order by SKU","Añadir al pedido por SKU"
"Add to Order","Añadir al pedido"
"Add Products to Order","Añadir productos al pedido"
"<span id=""sku-attention-num"">%1</span> product(s) require attention.","<span id=""sku-attention-num"">%1</span> product(s) require attention."
"Remove All","Eliminar todo"
"Only %1%2%3 left in stock","Only %1%2%3 left in stock"
"The maximum quantity allowed for purchase is %1.","The maximum quantity allowed for purchase is %1."
"The minimum quantity allowed for purchase is %1.","The minimum quantity allowed for purchase is %1."
"Specify the product's options","Especificar las opciones de producto"
"Receive notice when item is restocked.","Receive notice when item is restocked."
"Customer not found","Cliente no encontrado"
"Shopping cart management disabled for this customer.","La gestión de la Cesta de la Compra para este cliente está desactivada."
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"We could not find this store.","We could not find this store."
Customers,Clientes
"Shopping Cart","Cesta de la Compra"
"An error has occurred. See error log for details.","Ha ocurrido un error. Ver el registro de errores para conocer los detalles."
"You do not have access to this.","You do not have access to this."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"Ordered item id is not received.","El id del artículo pedido no se ha recibido."
"Ordered item is not loaded.","El artículo pedido no está cargado."
"Quote item id is not received.","El artículo indicado no se ha recibido."
"Quote item is not loaded.","El artículo indicado no está cargado."
"You removed the item.","You removed the item."
"You removed the items.","You removed the items."
"You cannot configure a product.","You cannot configure a product."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"You cannot add a product.","You cannot add a product."
"Order by SKU","Pedido por SKU"
"SKU not found in catalog.","No se ha encontrado el SKU en el catálogo."
"Availability: Out of stock.","Disponibilidad: agotado."
"The requested quantity is not available.","The requested quantity is not available."
"The product cannot be added to cart in requested quantity.","El producto no se puede añadir al carro en la cantidad solicitada."
"Please specify the product's options.","Por favor, especifique las opciones de producto."
"The product cannot be added to cart.","El producto no se puede añadir al carro."
"Please enter a valid number in the ""Qty"" field.","Por favor, introduzca un número válido en el campo ""Cant.""."
"The product is assigned to another website.","The product is assigned to another website."
"You can add only enabled products.","You can add only enabled products."
"You cannot upload this file.","You cannot upload this file."
"The file is empty.","The file is empty."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU."
