Remove,weghalen
Cancel,annuleren
"Manage Shopping Cart","manage winkelwagen"
"Create Order","Create Order"
Back,Back
"Add Products","producten toevoegen"
"Update Items and Qty's","Update Items en Hoeveelheden"
"Are you sure you want to clear your shopping cart?","Are you sure you want to clear your shopping cart?"
"Clear the shopping cart.","Clear the shopping cart."
"Add Selected Product(s) to Shopping Cart","voeg geselecteerde producten toe aan winkelwagen"
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Choose  products to add to shopping cart.","Choose  products to add to shopping cart."
Product,Productnaam
Price,prijs
Quantity,"hoeveelheid om toe te voegen"
"Products in the Comparison List (%1)","Products in the Comparison List (%1)"
"Last ordered items (%1)","Last ordered items (%1)"
Products,producten
ID,identiteit
SKU,"stock keeping unit"
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Recently Viewed Products (%1)"
"Add to Shopping Cart by SKU","Voeg toe aan winkelwagen door SKU"
"Add to Shopping Cart","Voeg toe aan winkelwagen"
"Wish List (%1)","Wish List (%1)"
Apply,Invullen
Configure,Configureren
"Add to Order by SKU","Voeg toe aan bestelling door SKU"
"Add to Order","Toevoegen aan de Order"
"Add Products to Order","Voeg producten toe aan bestelling"
"<span id=""sku-attention-num"">%1</span> product(s) require attention.","<span id=""sku-attention-num"">%1</span> product(s) require attention."
"Remove All","Alle verwijderen"
"Only %1%2%3 left in stock","Only %1%2%3 left in stock"
"The maximum quantity allowed for purchase is %1.","The maximum quantity allowed for purchase is %1."
"The minimum quantity allowed for purchase is %1.","The minimum quantity allowed for purchase is %1."
"Specify the product's options","Productopties verder specificeren"
"Receive notice when item is restocked.","Receive notice when item is restocked."
"Customer not found","klant niet gevonden"
"Shopping cart management disabled for this customer.","winkelwagen management uitgeschakeld voor deze klant"
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"We could not find this store.","We could not find this store."
Customers,klanten
"Shopping Cart",winkelwagen
"An error has occurred. See error log for details.","Er is een fout opgetreden. Ga naar het logboek voor details."
"You do not have access to this.","You do not have access to this."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"Ordered item id is not received.","I.D. van het bestelde product is niet ontvangen."
