Remove,Remover
Cancel,Cancelar
"Manage Shopping Cart","Gerenciar carrinho de compras"
"Create Order","Create Order"
Back,Back
"Add Products","Adicionar produtos"
"Update Items and Qty's","Atualizar Itens e Quantidades"
"Are you sure you want to clear your shopping cart?","Are you sure you want to clear your shopping cart?"
"Clear the shopping cart.","Clear the shopping cart."
"Add Selected Product(s) to Shopping Cart","Adicionar produto(s) selecionado(s) ao carrinho de compras"
"Shopping Cart for %1 in %2","Shopping Cart for %1 in %2"
"Choose  products to add to shopping cart.","Choose  products to add to shopping cart."
Product,"Nome do produto"
Price,Preço
Quantity,"Quant. a adicionar"
"Products in the Comparison List (%1)","Products in the Comparison List (%1)"
"Last ordered items (%1)","Last ordered items (%1)"
Products,Produtos
ID,Identidade
SKU,"Unidade de Manutenção de Estoque"
"Recently Compared Products (%1)","Recently Compared Products (%1)"
"Recently Viewed Products (%1)","Recently Viewed Products (%1)"
"Add to Shopping Cart by SKU","Adicione ao Carrinho de Compras por SKU"
"Add to Shopping Cart","Adicione ao Carrinho de Compras"
"Wish List (%1)","Wish List (%1)"
Apply,Solicitar
Configure,Configurar
"Add to Order by SKU","Adicione ao Pedido by SKU"
"Add to Order","Adicione ao Pedido"
"Add Products to Order","Adicione Produtos ao Pedido"
"<span id=""sku-attention-num"">%1</span> product(s) require attention.","<span id=""sku-attention-num"">%1</span> product(s) require attention."
"Remove All","Remova Todos"
"Only %1%2%3 left in stock","Only %1%2%3 left in stock"
"The maximum quantity allowed for purchase is %1.","The maximum quantity allowed for purchase is %1."
"The minimum quantity allowed for purchase is %1.","The minimum quantity allowed for purchase is %1."
"Specify the product's options","Especifique as opções do produto"
"Receive notice when item is restocked.","Receive notice when item is restocked."
"Customer not found","Cliente não encontrado"
"Shopping cart management disabled for this customer.","O gerenciamento do carrinho de compras não está ativado para este cliente."
"Shopping cart management is disabled for this customer.","Shopping cart management is disabled for this customer."
"We could not find this store.","We could not find this store."
Customers,Clientes
"Shopping Cart","Carrinho de compras"
"An error has occurred. See error log for details.","Ocorreu um erro. Para maiores detalhes veja o relatório de erros."
"You do not have access to this.","You do not have access to this."
"The wish list item id is not received.","The wish list item id is not received."
"The wish list item is not loaded.","The wish list item is not loaded."
"Ordered item id is not received.","A identidade do item solicitado não foi recebida."
"Ordered item is not loaded.","O item solicitado não está carregado."
"Quote item id is not received.","A identidade do item cotado não foi recebida."
"Quote item is not loaded.","O item cotado não foi carregado."
"You removed the item.","You removed the item."
"You removed the items.","You removed the items."
"You cannot configure a product.","You cannot configure a product."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"You cannot add a product.","You cannot add a product."
"Order by SKU","Pedido por SKU"
"SKU not found in catalog.","SKU não encontrado no catálogo."
"Availability: Out of stock.","Disponibilidade: Esgotado"
"The requested quantity is not available.","The requested quantity is not available."
"The product cannot be added to cart in requested quantity.","O Produto não pode ser adicionado ao carrinho na quantidade solicitada."
"Please specify the product's options.","Por favor especifique as opções de produto"
"The product cannot be added to cart.","O produto não pode ser adicionado ao carrinho."
"Please enter a valid number in the ""Qty"" field.","Por favor insira um número válido no campo ""Quant""."
"The product is assigned to another website.","The product is assigned to another website."
"You can add only enabled products.","You can add only enabled products."
"You cannot upload this file.","You cannot upload this file."
"The file is empty.","The file is empty."
