ID,Identificación
No,No
"Use Default","El uso por defecto"
Delete,Eliminar
Yes,Sí
Status,Status
"Save and Continue Edit","Guardar y continuar editando"
Banners,Pancartas
"Add Banner","Añadir pancarta"
"Save Banner","Guardar pancarta"
"Delete Banner","Eliminar pancarta"
"New Banner","Nueva pancarta"
Content,Contenido
"Default Content","Contenido por defecto"
"No Default Content","No contenido por defecto"
"Banner Default Content for All Store Views","Contenido por defecto de la pancarta para todas las vistas de la tienda"
"Store View Specific Content","Contenido específico de la vista de la tienda"
"Related Promotions","Promociones relacionadas"
Rule,Rule
"Start on","Start on"
"End on","End on"
"Banner Properties","Propiedades de la pancarta"
"Banner Name","Nombre de la pancarta"
Active,Activo
"Applies To","Se aplica a"
"Any Banner Type","Cualquier tipo de pancarta"
"Specified Banner Types","Tipos de pancartas especificados"
"Specify Types","Especificar tipos"
"Banner Information","Información de la pancarta"
Banner,Banner
"Banner Types","Tipos de pancartas"
Visibility,Visibility
"Are you sure you want to delete these banners?","¿Está seguro de que quiere eliminar estas pancartas?"
"Related Banners","Pancartas relacionadas"
Position,Posición
"This banner no longer exists.","Esta pancarta ya no existe."
"Edit Banner","Editar pancarta"
"This banner does not exist.","This banner does not exist."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"The banner has been deleted.","La pancarta ha sido eliminada"
"Something went wrong deleting banner data. Please review the action log and try again.","Something went wrong deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","You deleted %1 record(s)."
"Something went wrong mass-deleting banners. Please review the action log and try again.","Something went wrong mass-deleting banners. Please review the action log and try again."
"This rule no longer exists.","This rule no longer exists."
"Please enter a name.","Please enter a name."
"Please specify default content for at least one store view.","Por favor especifique el contenido predeterminado al menos para una vista de la tienda."
"-- None --",Ninguno
"Related Shopping Cart Price Rules","Reglas del precio del carro de la compra relacionado"
"Related Catalog Price Rules","Reglas de los precios de los catálogos relacionados"
"Manage Banners","Administrar pancartas"
"Banner Rotator","Pancarta rotatoria"
"Displays Specified or Promotion Banners","Muestra especificada o pancartas de promoción"
"Banners to Display","Pancartas para mostrar"
"Specified Banners","Pancartas especificadas"
"Shopping Cart Promotions Related","Carro de compra de promociones relacionadas"
"Catalog Promotions Related","Catálogo de promociones relacionadas"
"Restrict by Banner Types","Restringir por tipo de pancarta"
"Rotation Mode","Modo rotación"
"Display all instead of rotating.","Display all instead of rotating."
"One at the time, Random","Uno a uno, al azar"
"One at the time, Series","Uno a uno, series"
"One at the time, Shuffle","Uno a uno, revolver"
"Specify Banners","Especificar pancartas"
"Banner Block Template","Sección de plantillas para pancartas"
"Banner Inline Template","Plantilla de pancarta en línea"
