ID,identiteit
No,Nee
"Use Default","Gebruik standaard"
Delete,weghalen
Yes,Ja
Status,Status
"Save and Continue Edit","opslaan en doorgaan met bewerken"
Banners,banners
"Add Banner","Banner toevoegen"
"Save Banner","banner opslaan"
"Delete Banner","haal banner weg"
"New Banner","nieuwe banner"
Content,inhoud
"Default Content","standaard inhoud"
"No Default Content","geen standaard inhoud"
"Banner Default Content for All Store Views","standaard banner voor alle winkelmogelijkheden"
"Store View Specific Content","specifiek winkelmogelijkheid inhoud"
"Related Promotions","gerelateerde promoties"
Rule,Rule
"Start on","Start on"
"End on","End on"
"Banner Properties","banner specificaties"
"Banner Name","banner naam"
Active,Actief
"Applies To","geldt voor"
"Any Banner Type","elk banner type"
"Specified Banner Types","gespecificeerde banner types"
"Specify Types","specificeer types"
"Banner Information","banner informatie"
Banner,Banner
"Banner Types","banner types"
Visibility,Visibility
"Are you sure you want to delete these banners?","weet je zeker dat je deze banners wilt verwijderen?"
"Related Banners","gerelateerde banners"
Position,positie
"This banner no longer exists.","Deze banner bestaat niet meer."
"Edit Banner","banner aanpassen"
"This banner does not exist.","This banner does not exist."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"The banner has been deleted.","the banner is weggehaald"
"Something went wrong deleting banner data. Please review the action log and try again.","Something went wrong deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","You deleted %1 record(s)."
"Something went wrong mass-deleting banners. Please review the action log and try again.","Something went wrong mass-deleting banners. Please review the action log and try again."
"This rule no longer exists.","This rule no longer exists."
"Please enter a name.","Please enter a name."
"Please specify default content for at least one store view.","specificeer standaard inhoud voor tenminste 1 winkelmogelijkheid aub"
"-- None --","-- Niets --"
"Related Shopping Cart Price Rules","gerelateerde winkelwagen prijsregels"
"Related Catalog Price Rules","gerelateerde catalogusprijzen regels"
"Manage Banners","banners beheren"
"Banner Rotator","tool om banner te draaien"
"Displays Specified or Promotion Banners","laat aangewezen of promotie banners zien"
"Banners to Display","banners om weer te geven"
"Specified Banners","gespecificeerde banners"
"Shopping Cart Promotions Related","gerelateerd aan winkelwagen promoties"
"Catalog Promotions Related","gerelateerd aan de promoties in de catalogus"
"Restrict by Banner Types","afgesloten door banner types"
"Rotation Mode","modus om te roteren"
"Display all instead of rotating.","Display all instead of rotating."
"One at the time, Random","een tegelijk, lukraak"
"One at the time, Series","een tegelijk, in een serie"
"One at the time, Shuffle","een tegelijk, door elkaar"
"Specify Banners","specificeer banners"
"Banner Block Template","banner blok mal"
"Banner Inline Template","binnenste banner mal"
