ID,ID
No,否
"Use Default",使用默认值
Delete,删除
Yes,是
Status,Status
"Save and Continue Edit",保存并继续编辑
Banners,条幅
"Add Banner",添加条幅
"Save Banner",保存条幅
"Delete Banner",删除条幅
"New Banner",新建条幅
Content,内容
"Default Content",默认内容
"No Default Content",无默认内容
"Banner Default Content for All Store Views",所有店铺视图的默认条幅内容
"Store View Specific Content",店铺视图指定的内容
"Related Promotions",相关优惠
Rule,Rule
"Start on","Start on"
"End on","End on"
"Banner Properties",条幅属性
"Banner Name",条幅名称
Active,活动
"Applies To",应用到
"Any Banner Type",任意条幅类型
"Specified Banner Types",指定的条幅类型
"Specify Types",指定的类型
"Banner Information",条幅信息
Banner,Banner
"Banner Types",条幅类型
Visibility,Visibility
"Are you sure you want to delete these banners?",您是否确定要删除这些条幅？
"Related Banners",相关条幅
Position,位置
"This banner no longer exists.",该条幅不存在。
"Edit Banner",编辑条幅
"This banner does not exist.","This banner does not exist."
"You saved the banner.","You saved the banner."
"We cannot save the banner.","We cannot save the banner."
"The banner has been deleted.",该条幅已被删除。
"Something went wrong deleting banner data. Please review the action log and try again.","Something went wrong deleting banner data. Please review the action log and try again."
"We cannot find a banner to delete.","We cannot find a banner to delete."
"Please select a banner(s).","Please select a banner(s)."
"You deleted %1 record(s).","You deleted %1 record(s)."
"Something went wrong mass-deleting banners. Please review the action log and try again.","Something went wrong mass-deleting banners. Please review the action log and try again."
"This rule no longer exists.","This rule no longer exists."
"Please enter a name.","Please enter a name."
"Please specify default content for at least one store view.",请为至少一个店铺视图指定默认内容。
"-- None --",--无--
"Related Shopping Cart Price Rules",相关购物车价格规则
"Related Catalog Price Rules",相关分类价格规则
"Manage Banners",管理条幅
"Banner Rotator",条幅旋转
"Displays Specified or Promotion Banners",显示指定的或促销条幅
"Banners to Display",要显示的条幅
"Specified Banners",指定的条幅
"Shopping Cart Promotions Related",购物车促销相关
"Catalog Promotions Related",相关的分类促销
"Restrict by Banner Types",被条幅类型所限制
"Rotation Mode",轮换模式
"Display all instead of rotating.","Display all instead of rotating."
"One at the time, Random",一次一个，随机
"One at the time, Series",一次一个，按顺序
"One at the time, Shuffle",一次一个，无序
"Specify Banners",指定的条幅
"Banner Block Template",条幅阻止模板
"Banner Inline Template",条幅内联摸板
