"-- Please select --","-- Please select --"
"Card Gate Plus","Card Gate Plus"
"Cardgate payment failed","Ihre Cardgate Zahlung ist fehlgeschlagen"
"Credit card (MasterCard, Visa, American Express, Maestro, V-Pay)","Credit card (MasterCard, Visa, American Express, Maestro, V-Pay)"
"Customer was redirected to Cardgate.","Kunde wurde zu Cardgate umgeleitet"
"Enabled","Aktiviert"
"Hash Key","Hash Key"
"iDEAL (Netherlands)","iDEAL (Netherlands)"
"iDeal bank:","iDeal bank:"
"Invalid Card Gate Request","Ungültige Anfrage von Card Gate"
"Mister Cash (Belgium)","Mister Cash (Belgium)"
"Notified customer about creditmemo #%s.","Der Kunde wurde über die Gutschrift Nr.%s in Kenntnis gesetzt"
"Notified customer about invoice #%s.","Der Kunde wurde über die Rechnung Nr.%s in Kenntnis gesetzt"
"Other banks","Andere Banken"
"Payment from Applicable Countries","Zahlung aus geeigneten Ländern"
"Payment from Specific Countries","Zahlung  aus spezifischen Ländern"
"Payment Option","Payment Option"
"Site Id","ID der Seite"
"SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)","SofortBanking (Germany, Switzerland, Austria, Belgium, United Kingdom)"
"Sort Order","Sortierfolge"
"Test Mode","Testmodus"
"Test mode is available only for Credit card payment option.","Test mode is available only for Credit card payment option."
"Title","Titel"
"You will be redirected to CardGate in a few seconds.","Sie werden in ein paar Sekunden auf CardGate umgeleitet"
"You will be redirected to Cardgate website when you place an order.","Sie werden bei einer Bestellung auf die Webseite von CardGate umgeleitet."
"You will be redirected to selected iDeal bank when you place an order.","Sie werden bei einer Bestellung auf die ausgewählte iDeal-Bank umgeleitet."
