" is not compatible with CardGatePlus"," is not compatible with CardGatePlus"
"------ Additional Banks ------","------ Additional Banks ------"
"--Please select--","--Please select--"
"ABN Amro","ABN Amro"
"ASN Bank","ASN Bank"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Card Gate Plus - Credit Card","Card Gate Plus - Credit Card"
"Card Gate Plus - MisterCash","Card Gate Plus - MisterCash"
"Card Gate Plus - SofortBanking","Card Gate Plus - SofortBanking"
"Card Gate Plus - iDEAL","Card Gate Plus - iDEAL"
"Card Gate Plus Settings","Card Gate Plus Settings"
"Credit Card Types","Credit Card Types"
"Debug","Debug"
"Diners Club","Diners Club"
"Enabled","Enabled"
"Fill in you secret hash key for the site. You can create your hash key code at <a href=""https://merchants.cardgateplus.com/"" target=""_blank"">merchant back-office</a>","Fill in you secret hash key for the site. You can create your hash key code at <a href=""https://merchants.cardgateplus.com/"" target=""_blank"">merchant back-office</a>"
"Fill in you site ID number. You can find your site ID number at <a href=""https://merchants.cardgateplus.com/"" target=""_blank"">merchant back-office</a>","Fill in you site ID number. You can find your site ID number at <a href=""https://merchants.cardgateplus.com/"" target=""_blank"">merchant back-office</a>"
"Friesland Bank","Friesland Bank"
"Gateway language","Gateway language"
"Hash Key","Hash Key"
"ING","ING"
"Optional. Recommended assign once and avoid changes in future.","Optional. Recommended assign once and avoid changes in future."
"Payment Action","Payment Action"
"Payment from Specific countries","Payment from Specific countries"
"Payment from applicable countries","Payment from applicable countries"
"Rabobank","Rabobank"
"SNS Bank","SNS Bank"
"SNS Regio Bank","SNS Regio Bank"
"Select your bank","Select your bank"
"Selected currency code ","Selected currency code "
"Site ID","Site ID"
"Sort order","Sort order"
"Switching between test and live mode. If you don't have an account <a href='http://www.cardgate.com/' target='_blank'>sign up here.</a>","Switching between test and live mode. If you don't have an account <a href='http://www.cardgate.com/' target='_blank'>sign up here.</a>"
"Test Mode","Test Mode"
"Title","Title"
"Transaction ID prefix","Transaction ID prefix"
"Transaction started, waiting for payment.","Transaction started, waiting for payment."
"Triodos Bank","Triodos Bank"
"V-Pay","V-Pay"
"Van Lanschot Bank","Van Lanschot Bank"
"cardgate/system_config_source_languages","cardgate/system_config_source_languages"
