ID,Identificación
Action,Acción
Edit,Editar
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Status,Estado
"Sort Order","Ordenar Pedido"
"Save and Continue Edit","Guardar y continuar editando"
Previous,Previous
Next,Next
Catalog,Catálogo
"Select Category","Seleccionar Categoría"
"Use Default Value","Utilizar Valor por Defecto"
"Default Values","Valores por Defecto"
Category,Categoría
"Edit Event...","Editar Evento..."
"Add Event...","Añadir Evento..."
Events,Eventos
"Add Catalog Event","Añadir Evento de Catálogo"
"Back to Category","Volver a Categoría"
"Edit Catalog Event","Editar Evento de Catálogo"
"Catalog Event Information","Información de Evento de Catálogo"
"Start Date","Fecha de Inicio"
"End Date","Fecha de Fin"
Image,Imagen
Upcoming,Próximamente
Open,Abrir
Closed,Cerrado
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Página de Categoría"
"Product Page","Página del Producto"
"Coming Soon",Próximamente
"Sale Ends In","La Venta Termina En"
"New Event","Nuevo Evento"
"Something went wrong while saving this event.","Something went wrong while saving this event."
"We did not upload your image.","We did not upload your image."
"You saved the event.","You saved the event."
"You deleted the event.","You deleted the event."
"%1 is required.","%1 is required."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"The sale for this product is closed.","The sale for this product is closed."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Event for selected category","Evento para la categoría seleccionada"
"Lister Block","Bloquear Lista"
Days,Days
Hrs,Hrs
Mins,Mins
Sec,Sec
"Preview Sale","Vista Previa de la Venta"
"Go To Sale","Ir a Venta"
"View Sale","Ver Venta"
"Catalog Events","Eventos de Catálogo"
"Catalog Events Carousel","Carrusel de Eventos de Catálogo"
"List all open Catalog Events as a Paginated Carousel","Enumerar todos los Eventos del Catálogo como un Carrusel Paginado"
"Frame Size","Tamaño de Marco"
"Number of Items to display at once","Número de Artículos a Mostrar cada vez"
Scroll,Desplazar
"Number of Items to scroll per click","Número de Artículos a desplazar con cada click"
"Block Custom Width","Ancho Personalizado de Bloque"
"The width in pixels will be set automatically if this value is empty.","The width in pixels will be set automatically if this value is empty."
"Catalog Events Carousel Default Template","Plantilla por Defecto de Carrusel de Eventos de Catálogo"
"Category ID","ID de Categoría"
"Start On","Start On"
"End On","Termina En"
"Countdown Ticker","Mostrar el Reloj de Cuenta Atrás"
