ID,Identification
Action,Action
Edit,Changer
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Status,État
"Sort Order","Trier par commande"
"Save and Continue Edit","Sauvegarder et continuer à changer"
Previous,Previous
Next,Next
Catalog,Catalogue
"Select Category","Sélectionner catégorie"
"Use Default Value","Utiliser valeur par défaut"
"Default Values","Valeurs par défaut"
Category,Catégorie
"Edit Event...","Changer évènement..."
"Add Event...","Ajouter événement..."
Events,Évènements
"Add Catalog Event","Ajouter catalogue événement"
"Back to Category","Retour à Catégorie"
"Edit Catalog Event","Changer catalogue événement"
"Catalog Event Information","Informations sur catalogue événement"
"Start Date","Trier par date"
"End Date","Fin de date"
Image,Image
Upcoming,"Ä venir"
Open,Ouvrir
Closed,Fermé
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Page catégorie"
"Product Page","Page produit"
"Coming Soon",Prochainement
"Sale Ends In","Vente finit dans"
"New Event","Nouvel événement"
"Something went wrong while saving this event.","Something went wrong while saving this event."
"We did not upload your image.","We did not upload your image."
"You saved the event.","You saved the event."
"You deleted the event.","You deleted the event."
"%1 is required.","%1 is required."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"The sale for this product is closed.","The sale for this product is closed."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Event for selected category","Événement pour catégorie sélectionnée"
"Lister Block","Bloque liste"
Days,Days
Hrs,Hrs
Mins,Mins
Sec,Sec
"Preview Sale","Prévisualiser Ventes"
"Go To Sale","Aller aux Ventes"
"View Sale","Voir Ventes"
"Catalog Events","Catalogue évènements"
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"Enable Catalog Event Widget on the Frontend","Enable Catalog Event Widget on the Frontend"
"Number of Events to be Displayed in Event Slider Widget","Number of Events to be Displayed in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Manège de catalogue évènements"
"List all open Catalog Events as a Paginated Carousel","Liste tous les évènements catalogue ouverts comme un manège paginé"
"Frame Size","Taille du cadre"
"Number of Items to display at once","Nombre d'articles à afficher en même temps"
Scroll,Dérouler
"Number of Items to scroll per click","Nombre d'articles à dérouler par clic"
"Block Custom Width","Bloquer la Largeur sur mesure"
"The width in pixels will be set automatically if this value is empty.","The width in pixels will be set automatically if this value is empty."
"Catalog Events Carousel Default Template","Modèle par défaut du manège de catalogue évènements"
"Category ID","Identification catégorie"
"Start On","Start On"
"End On","Fins actif"
"Countdown Ticker","Affiche le compte à rebours actif"
