ID,identiteit
Action,actie
Edit,Bewerk
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Status,status
"Sort Order","sorteer volgorde"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
Previous,Previous
Next,Next
Catalog,Catalogus
"Select Category","selecteer categorie"
"Use Default Value","gebruik standaardwaarde"
"Default Values",standaardwaarden
Category,categorie
"Edit Event...","Bewerk gebeurtenis"
"Add Event...","voeg gebeurtenis toe"
Events,gebeurtenissen
"Add Catalog Event","voeg catalogus gebeurtenis toe"
"Back to Category","Terug naar categorie"
"Edit Catalog Event","Bewerk catalogus gebeurtenis"
"Catalog Event Information","Catalogus-gebeurtenis informatie"
"Start Date",begindatum
"End Date",einddatum
Image,afbeelding
Upcoming,aankomend
Open,open
Closed,Gesloten
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Categorie pagina"
"Product Page",productpagina
"Coming Soon","Komt spoedig"
"Sale Ends In","verkoop eindigt in"
"New Event","nieuwe gebeurtenis"
"Something went wrong while saving this event.","Something went wrong while saving this event."
"We did not upload your image.","We did not upload your image."
"You saved the event.","You saved the event."
"You deleted the event.","You deleted the event."
"%1 is required.","%1 is required."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"The sale for this product is closed.","The sale for this product is closed."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Event for selected category","gebeurtenis voor geselecteerde categorie"
"Lister Block","lijst blokkade"
Days,Days
Hrs,Hrs
Mins,Mins
Sec,Sec
"Preview Sale","zie verkoop in"
"Go To Sale","ga naar verkoop"
"View Sale","zie verkoop in"
"Catalog Events",Catalogus-gebeurtenissen
"Enable Catalog Events Functionality","Enable Catalog Events Functionality"
"Enable Catalog Event Widget on the Frontend","Enable Catalog Event Widget on the Frontend"
"Number of Events to be Displayed in Event Slider Widget","Number of Events to be Displayed in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation.","You can override this default value in CMS using the limit=""x"" variable. Leave empty for no limitation."
"Events to Scroll per Click in Event Slider Widget","Events to Scroll per Click in Event Slider Widget"
"You can override this default value in CMS using the limit=""x"" variable.","You can override this default value in CMS using the limit=""x"" variable."
"Catalog Events Carousel","Carousel van catalogus-gebeurtenissen"
"List all open Catalog Events as a Paginated Carousel","lijst-weergave open catalogus als een geïndexeerde carousel"
"Frame Size","frame grootte"
"Number of Items to display at once","aantal dingen dat tegelijkertijd wordt weergegeven"
Scroll,scroll
"Number of Items to scroll per click","aantal dingen dat scrollt per klik"
"Block Custom Width","Blokkeer aangepaste breedte"
"The width in pixels will be set automatically if this value is empty.","The width in pixels will be set automatically if this value is empty."
"Catalog Events Carousel Default Template","Normale template van de carousel van catalogus-gebeurtenissen"
"Category ID","Categorie ID"
"Start On","Start On"
"End On","einde eerst"
"Countdown Ticker","Weergave afteller aan"
