ID,Identidade
Action,Ação
Edit,Editar
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Status,Status
"Sort Order","Classificar pedido"
"Save and Continue Edit","Salvar e continuar a editar"
Previous,Previous
Next,Next
Catalog,Catálogo
"Select Category","Selecionar categoria"
"Use Default Value","Utilizar valor padrão"
"Default Values","Valores padrão"
Category,Categoria
"Edit Event...","Editar evento..."
"Add Event...","Adicionar evento..."
Events,Eventos
"Add Catalog Event","Adicionar evento do catálogo"
"Back to Category","Voltar à categoria"
"Edit Catalog Event","Editar evento do catálogo"
"Catalog Event Information","Informações sobre evento do catálogo"
"Start Date","Data de início"
"End Date","Data final"
Image,Imagem
Upcoming,Próximo
Open,Abrir
Closed,Fechar
"Display Countdown Ticker On","Display Countdown Ticker On"
"Category Page","Página de categoria"
"Product Page","Página de produto"
"Coming Soon","Em breve"
"Sale Ends In","As vendas terminam em"
"New Event","Novo evento"
"Something went wrong while saving this event.","Something went wrong while saving this event."
"We did not upload your image.","We did not upload your image."
"You saved the event.","You saved the event."
"You deleted the event.","You deleted the event."
"%1 is required.","%1 is required."
"Please make sure the end date follows the start date.","Please make sure the end date follows the start date."
"The sale for this product is closed.","The sale for this product is closed."
"Some of these products can no longer be sold.","Some of these products can no longer be sold."
"Event for selected category","Evento para categoria selecionada"
"Lister Block","Bloqueio de lista"
Days,Days
Hrs,Hrs
Mins,Mins
Sec,Sec
"Preview Sale","Visualizar venda"
"Go To Sale","Ir para vendas"
"View Sale","Visualizar venda"
"Catalog Events","Eventos do catálogo"
"Catalog Events Carousel","Carrossel de eventos do catálogo"
"List all open Catalog Events as a Paginated Carousel","Listar todos as Listas de Eventos como como Carrossel de Paginação"
"Frame Size","Tamanho da imagem"
"Number of Items to display at once","Números de itens a serem exibidos por vez"
Scroll,Rolar
"Number of Items to scroll per click","Número de itens a mover por clique"
"Block Custom Width","Largura padrão do bloco"
"The width in pixels will be set automatically if this value is empty.","The width in pixels will be set automatically if this value is empty."
"Catalog Events Carousel Default Template","Modelo padrão do carrossel de eventos do catálogo"
"Category ID","ID de categoria"
"Start On","Start On"
"End On","Termina em"
"Countdown Ticker","Exibir o relógio de contagem regressiva"
