Qty,Qty
"ALL GROUPS","ALL GROUPS"
"Unsupported product type ""%1"".","Unsupported product type ""%1""."
"In Stock","En Existencia"
"Out of Stock","Sin Existencias"
"Customer Group","Customer Group"
"Minimum Qty","Minimum Qty"
"Add Minimum Qty","Add Minimum Qty"
"Stock Status","Estado de Existencias"
"Index Product Stock Status","Estado de Existencias de Producto de Índice"
"This product is out of stock.","This product is out of stock."
"Some of the products are currently out of stock.","Some of the products are currently out of stock."
"The stock item for Product in option is not valid.","El artículo de existencias para el Producto en opción no es válido."
"Undefined product type","Undefined product type"
"%1 is not a correct comparison method.","%1 is not a correct comparison method."
"No Backorders","No Hay Pedidos Pendientes"
"Allow Qty Below 0","Allow Qty Below 0"
"Allow Qty Below 0 and Notify Customer","Allow Qty Below 0 and Notify Customer"
"Not all of your products are available in the requested quantity.","Not all of your products are available in the requested quantity."
"We cannot specify a product identifier for the order item.","We cannot specify a product identifier for the order item."
"The fewest you may purchase is %1.","The fewest you may purchase is %1."
"Please correct the quantity for some products.","Please correct the quantity for some products."
"The most you may purchase is %1.","The most you may purchase is %1."
"We don't have as many ""%1"" as you requested.","We don't have as many ""%1"" as you requested."
"We don't have as many ""%1"" as you requested, but we'll back order the remaining %2.","We don't have as many ""%1"" as you requested, but we'll back order the remaining %2."
"We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2.","We don't have ""%1"" in the requested quantity, so we'll back order the remaining %2."
"You can buy %1 only in increments of %2.","You can buy %1 only in increments of %2."
"You can buy this product only in increments of %1.","You can buy this product only in increments of %1."
"%1 is available for purchase in increments of %2","%1 is available for purchase in increments of %2"
"Only %1 left","Only %1 left"
"Product Name","Product Name"
