"Yes, for Specified Customer Groups","Ja, für bestimmte Kundengruppen"
"Yes, for Everyone","Ja, für alle"
No,Nein
Action,Action
"Add to Cart","Zu Einkaufsliste hinzufügen"
Enable,Enable
"-- Please Select --","-- Please Select --"
Website,Website
"All Websites","All Websites"
"Customer Group","Customer Group"
"New Permission","Neue Befugnis"
"You already have a permission with this scope.","You already have a permission with this scope."
(Allow),(Erlauben)
(Deny),(Blockieren)
"Category Permissions",Kategorien-Befugnisse
"Browsing Category","Nach Kategorie suchen"
"Display Product Prices","Produktpreise anzeigen"
"No, Redirect to Landing Page","Nein, auf Hauptseite weiterleiten"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"Permission with the same scope","Befugnis mit demselben Geltungsbereich"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"All Customer Groups","All Customer Groups"
Allow,Allow
Deny,Deny
"Use parent","Use parent"
"Customer Groups","Customer Groups"
"
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    ","
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    "
"Allow Browsing Category","Allow Browsing Category"
"Allow Adding to Cart","Allow Adding to Cart"
"Landing Page","Landing Page"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
