"Yes, for Specified Customer Groups","Sí, para los Grupos de Clientes Especificados"
"Yes, for Everyone","Sí, para Todos"
No,No
Action,Action
"Add to Cart","Añadir al Carrito"
Enable,Enable
"-- Please Select --","-- Please Select --"
Website,Website
"All Websites","All Websites"
"Customer Group","Customer Group"
"New Permission","Nuevo Permiso"
"You already have a permission with this scope.","You already have a permission with this scope."
(Allow),(Permitir)
(Deny),(Denegar)
"Category Permissions","Permisos de la Categoría"
"Browsing Category","Consultar Categoría"
"Display Product Prices","Mostrar Precios de Productos"
"No, Redirect to Landing Page","No, Redirigir a la Página de Llegada"
"You may need more permissions to access this category.","You may need more permissions to access this category."
"You cannot add ""%1"" to the cart.","You cannot add ""%1"" to the cart."
"You may need more permissions to access this product.","You may need more permissions to access this product."
"Permission with the same scope","Permiso con el mismo ámbito"
"Permissions do not depend on store views.","Permissions do not depend on store views."
"All Customer Groups","All Customer Groups"
Allow,Allow
Deny,Deny
"Use parent","Use parent"
"Customer Groups","Customer Groups"
"
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    ","
                        <strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.
                    "
"Allow Browsing Category","Allow Browsing Category"
"Allow Adding to Cart","Allow Adding to Cart"
"Landing Page","Landing Page"
"Disallow Catalog Search By","Disallow Catalog Search By"
"Catalog Category Permissions","Catalog Category Permissions"
"Indexed permissions for categories","Indexed permissions for categories"
"Catalog Product Permissions","Catalog Product Permissions"
"Indexed permissions for products","Indexed permissions for products"
