"-- Please Select --","- Por Favor Selecione -"
"Custom Variables","Variáveis de Personalização."
"Requested resource not found","Requested resource not found"
"File %1 does not exist","File %1 does not exist"
"File %1 is not readable","File %1 is not readable"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"database ""%1""","database ""%1"""
"Parent directory does not exist: %1","Parent directory does not exist: %1"
"File system","Sistema de arquivo"
"Unable to save file ""%1"" at ""%2""","Unable to save file ""%1"" at ""%2"""
"Wrong file info format","Formato de arquivo de informação errado"
"Path ""%value%"" is protected and cannot be used.","Caminho ""%valor%"" é protegido e não pode ser usado."
"Path ""%value%"" is not available and cannot be used.","Caminho ""%valor%"" não está disponível e não pode ser usado."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\").","Caminho ""%valor%"" não pode incluir passagem pelo diretório principal (""../"", ""..\")."
"Please set available and/or protected paths list(s) before validation.","Por favor defina lista(s) de caminhos disponíveis e/ou protegidos antes da validação."
"File with an extension ""%value%"" is protected and cannot be uploaded","O arquivo de extensão ""%value%"" está protegido, e seu upload não pode ser feito"
"Helper arguments should not be used in custom layout updates.","Helper arguments should not be used in custom layout updates."
"Updater model should not be used in custom layout updates.","Updater model should not be used in custom layout updates."
"Please correct the XML data and try again. %value%","Please correct the XML data and try again. %value%"
"Start date cannot be greater than end date.","Data de início não pode ser maior que a data do término."
"Your design change for the specified store intersects with another one, please specify another date range.","Sua mudança de design para a loja especificada cruza com outra, por favor especifique outro intervalo de datas."
"Unable to create directory: %1","Unable to create directory: %1"
"Unable to save file: %1","Unable to save file: %1"
Copy,Copy
"Theme isn't deletable.","Theme isn't deletable."
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"Variable Code must be unique.","Código da Variável deve ser único."
"Validation has failed.","Validação falhou."
%1,%1
"Insert Variable...","Insert Variable..."
