No,Nein
Email,E-Mail
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Yes,Ja
"Multiple Select","Mehrfach ausgewählt"
Dropdown,Dropdown
"The current module XML block name is undefined.","The current module XML block name is undefined."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form",EAV-Standardformular
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field",Textfeld
"Text Area",Textbereich
"Multiple Line","Multiple Line"
Date,Datum
Yes/No,Ja/Nein
"File (attachment)","Datei (Anhang)"
"Image File",Bilddatei
Alphanumeric,Alphanumerisch
"Numeric Only","Nur numerisch"
"Alpha Only","Nur Alpha"
URL,URL
"Strip HTML Tags","HTML-Tags entfernen"
"Escape HTML Entities","Verlassen Sie HTML-Bereiche"
"Normalize Date","Datei normalisieren"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
