No,Nee
Email,Email
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Yes,Ja
"Multiple Select","Multiple Selecteer"
Dropdown,Dropdown
"The current module XML block name is undefined.","The current module XML block name is undefined."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form","Standaard EAV Vorm"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field",Tekstveld
"Text Area",Tekstgebied
"Multiple Line","Multiple Lijn"
Date,Datum
Yes/No,Ja/Nee
"File (attachment)","Bestand (bijlage)"
"Image File","Afbeelding Bestand"
Alphanumeric,Alfanumeriek
"Numeric Only","Alleen Cijfers"
"Alpha Only","Allen Letters"
URL,URL
"Strip HTML Tags","Strip HTML Tags"
"Escape HTML Entities","Escape HTML Eenheden"
"Normalize Date","Normaliseer Datum"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
