No,Não
Email,E-mail
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Yes,Sim
"Multiple Select","Múltipla escolha"
Dropdown,"Menu suspenso"
"The current module XML block name is undefined.","The current module XML block name is undefined."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form","Formulário EAV padrão"
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field","Campo de texto"
"Text Area","Área de texto"
"Multiple Line","Linhas múltiplas"
Date,Data
Yes/No,Sim/Não
"File (attachment)","Arquivo (anexo)"
"Image File","Arquivo de imagem"
Alphanumeric,Alfanumérico
"Numeric Only","Apenas numérico"
"Alpha Only","Apenas alfabético"
URL,URL
"Strip HTML Tags","Tiras de tags HTML"
"Escape HTML Entities","Entradas HTML de escape"
"Normalize Date","Normalizar data"
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
