No,否
Email,电子邮件
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Yes,是
"Multiple Select",多选
Dropdown,下拉菜单
"The current module XML block name is undefined.","The current module XML block name is undefined."
"The current module form model pathname is undefined.","The current module form model pathname is undefined."
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default EAV Form",默认EAV表单
"Please correct the values for minimum and maximum text length validation rules.","Please correct the values for minimum and maximum text length validation rules."
"Please correct the values for minimum and maximum date validation rules.","Please correct the values for minimum and maximum date validation rules."
"Text Field",文本字段
"Text Area",文本区
"Multiple Line",多行
Date,日期
Yes/No,是/否
"File (attachment)",文件（附件）
"Image File",图像文件
Alphanumeric,字母表
"Numeric Only",仅数字
"Alpha Only",仅字母
URL,URL
"Strip HTML Tags",去除HTML标签
"Escape HTML Entities",退出HTML项
"Normalize Date",常规日期
"The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter.","The attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_) in this field. The first character should be a letter."
