Remove,Eliminar
No,No
Action,Acción
Website,"Sitio web"
"Order #%1","Order #%1"
Refunded,Reembolsado
Created,Creado
Comment,Comentario
Date,Fecha
"Store Credit","Crédito de Tienda"
"Delete Orphan Balances","Elimina los balances huérfanos"
"Balance Change","Alteración del saldo"
Balance,Saldo
"Customer notified","¿Ha sido notificado el cliente?"
Notified,Notificado
"More information","Información adicional"
"Update Balance","Actualizar saldo"
"An amount on which to change the balance","Una cantidad sobre la que alterar el saldo"
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Send Email Notification From the Following Store View","Enviar una notificación por Email desde la siguiente Vista de Tienda"
"Failed to initialize customer","Fallo al iniciar cliente"
"The store credit payment has been removed from shopping cart.","Se ha eliminado el pago mediante Crédito de Tienda de la cesta de la compra."
"You are not using store credit in your shopping cart.","You are not using store credit in your shopping cart."
"A website ID must be set.","A website ID must be set."
"By admin: %1.","By admin: %1."
"By admin: %1. (%2)","By admin: %1. (%2)"
"Please also set the Store ID.","Please also set the Store ID."
"The Store ID must be set to send email notifications.","The Store ID must be set to send email notifications."
"A customer ID must be specified.","A customer ID must be specified."
"This customer is not set or does not exist.","This customer is not set or does not exist."
Updated,Actualizado
Used,Usado
Reverted,Devuelto
"You need a balance to save your balance history.","You need a balance to save your balance history."
"There is no credit memo set to balance model.","There is no credit memo set to balance model."
"Order #%1, creditmemo #%2","Order #%1, creditmemo #%2"
"Unknown balance history action code","Código de acción del histórico de saldo desconocido"
"There is no order set to balance model.","No existe ningún pedido para equilibrar el modelo."
"You do not have enough store credit to complete this order.","You do not have enough store credit to complete this order."
"The store credit used cannot exceed order amount.","The store credit used cannot exceed order amount."
"Store Credit Balance","Saldo del Crédito de Tienda"
"Balance History","Histórico de saldo"
"Refund Store Credit to Store Credit","Reembolsar el Crédito de Tienda al propio Crédito de Tienda"
"Refund Money to Store Credit","Reembolsar dinero al Crédito de Tienda"
"Refund to Store Credit","Reembolsar al Crédito de Tienda"
"Use Store Credit (%1 available)","Use Store Credit (%1 available)"
"Your current balance is:","Su saldo actual es:"
"Use Store Credit","Usar el Crédito de Tienda"
available,disponible
"Refunded to Store Credit","Reembolsado al Crédito de Tienda"
