Remove,Remover
No,Não
Action,Ação
Website,Website
"Order #%1","Order #%1"
Refunded,Reembolsado
Created,Criada
Comment,Comentário
Date,Data
"Store Credit","Credito da loja"
"Delete Orphan Balances","Excluir Saldos Orfãos"
"Balance Change","Mudança no saldo"
Balance,Saldo
"Customer notified","Cliente notificado?"
Notified,Notificado
"More information","Informações adicionais"
"Update Balance","Atualizar saldo"
"An amount on which to change the balance","Um valor para mudar o saldo"
"Notify Customer by Email","Notificar cliente por e-mail"
"Send Email Notification From the Following Store View","Enviar Notificação de Email da Seguinte Vista da Loja"
"Failed to initialize customer","Erro ai iniciar o cliente"
"The store credit payment has been removed from shopping cart.","O pagamento de crédito da loja foi removido do carrinho de compras."
"You are not using store credit in your shopping cart.","You are not using store credit in your shopping cart."
"A website ID must be set.","A website ID must be set."
"By admin: %1.","By admin: %1."
"By admin: %1. (%2)","By admin: %1. (%2)"
"Please also set the Store ID.","Please also set the Store ID."
"The Store ID must be set to send email notifications.","The Store ID must be set to send email notifications."
"A customer ID must be specified.","A customer ID must be specified."
"This customer is not set or does not exist.","This customer is not set or does not exist."
Updated,Atualizado
Used,Utilizado
Reverted,Revertido
"You need a balance to save your balance history.","You need a balance to save your balance history."
"There is no credit memo set to balance model.","There is no credit memo set to balance model."
"Order #%1, creditmemo #%2","Order #%1, creditmemo #%2"
"Unknown balance history action code","Código de ação de histórico de saldo desconhecido"
"There is no order set to balance model.","Não há uma ordem definida para o modelo do balanço."
"You do not have enough store credit to complete this order.","You do not have enough store credit to complete this order."
"The store credit used cannot exceed order amount.","The store credit used cannot exceed order amount."
"Store Credit Balance","Balanço do Crédito da Loja"
"Balance History","Histórico do saldo"
"Refund Store Credit to Store Credit","Reembolso do Crédito da Loja ao Crédito da Loja"
"Refund Money to Store Credit","Reembolso de dinheiro ao crédito da loja"
"Refund to Store Credit","Reembolso ao Crédito da Loja"
"Use Store Credit (%1 available)","Use Store Credit (%1 available)"
"Your current balance is:","Seu saldo atual é:"
"Use Store Credit","Utilizar cartão de crédito da loja"
available,disponível
"Refunded to Store Credit","Reembolsado ao Crédito da Loja"
"Store Credit Options","Store Credit Options"
"Enable Store Credit Functionality","Enable Store Credit Functionality"
"Show Store Credit History to Customers","Show Store Credit History to Customers"
"Refund Store Credit Automatically","Refund Store Credit Automatically"
"Store Credit Update Email Sender","Store Credit Update Email Sender"
"Store Credit Update Email Template","Store Credit Update Email Template"
