Remove,删除
No,否
Action,操作
Website,网站
"Order #%1","Order #%1"
Refunded,已存储
Created,已创建
Comment,评论
Date,日期
"Store Credit",店铺信用
"Delete Orphan Balances",删除孤立的余额
"Balance Change",余额变动
Balance,余额
"Customer notified",客户通知？
Notified,已通知。
"More information",额外信息
"Update Balance",更新余额
"An amount on which to change the balance",要更改的余额数量
"Notify Customer by Email",通过电子邮件通知客户
"Send Email Notification From the Following Store View",从下列店铺视图发送电子邮件通知
"Failed to initialize customer",客户初始化失败
"The store credit payment has been removed from shopping cart.",该店铺信用支付已从购物车中删除。
"You are not using store credit in your shopping cart.","You are not using store credit in your shopping cart."
"A website ID must be set.","A website ID must be set."
"By admin: %1.","By admin: %1."
"By admin: %1. (%2)","By admin: %1. (%2)"
"Please also set the Store ID.","Please also set the Store ID."
"The Store ID must be set to send email notifications.","The Store ID must be set to send email notifications."
"A customer ID must be specified.","A customer ID must be specified."
"This customer is not set or does not exist.","This customer is not set or does not exist."
Updated,已更新
Used,已使用
Reverted,还原
"You need a balance to save your balance history.","You need a balance to save your balance history."
"There is no credit memo set to balance model.","There is no credit memo set to balance model."
"Order #%1, creditmemo #%2","Order #%1, creditmemo #%2"
"Unknown balance history action code",未知的余额历史操作代码
"There is no order set to balance model.",没有用于设置余额模式的订单集。
"You do not have enough store credit to complete this order.","You do not have enough store credit to complete this order."
"The store credit used cannot exceed order amount.","The store credit used cannot exceed order amount."
"Store Credit Balance",存储店铺余额
"Balance History",余额历史
"Refund Store Credit to Store Credit",将店铺信用存储为店铺信用
"Refund Money to Store Credit",退款到店铺信用
"Refund to Store Credit",存储为店铺信用
"Use Store Credit (%1 available)","Use Store Credit (%1 available)"
"Your current balance is:",您的当前余额为：
"Use Store Credit",使用店铺信用
available,可用
"Refunded to Store Credit",存储为店铺信用
