None,Keine
Remove,Entfernen
Cancel,Abbrechen
Back,Zurück
No,Nein
Customer,Kunde
"Account Information",Kontoinformationen
"New Password","Neues Passwort"
Save,Speichern
"-- Please Select --","-- Bitte auswählen --"
General,Allgemein
Yes,Ja
"Sort Order",Sortierfolge
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Store View","Store View"
System,System
"Personal Information","Persönliche Informationen"
"Use Default Value","Use Default Value"
"Input Type",Eingabetyp
"* Required Fields","* Pflichtfelder"
"General Information","Allgemeine Informationen"
Day,Tag
Month,Monat
Year,Jahr
"Add New Attribute","Neue Attribute hinzufügen"
"Save Attribute","Attribut speichern"
"Delete Attribute","Attribute löschen"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties","Frontend Eigenschaften"
"Attribute Information",Attributinformation
Properties,Eigenschaften
"Based On","Basierend auf"
Attributes,Attribute
"Default Values",Standardwerte
"An attribute with this code already exists.","An attribute with this code already exists."
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
Country,Land
State/Province,Staat/Provinz
"Please select region, state or province","Bitte wählen Sie Region, Staat oder Provinz."
City,Stadt
"Zip/Postal Code",Postleitzahl
"Loading next step...","Loading next step..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Email Address","E-Mail Adresse"
Company,Firma
"VAT Number",MwSt.-Nummer
Address,Adresse
"Street Address",Adresse
"Street Address %1","Street Address %1"
Telephone,Telefon
Fax,Fax
Password,Paswort
"Confirm Password","Passwort bestätigen"
"Save in address book","Save in address book"
"Ship to this address","Ship to this address"
"Ship to different address","Ship to different address"
Continue,Continue
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Use Billing Address","Use Billing Address"
Label,Bezeichnung
"Contact Information",Kontaktinformationen
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default Billing Address","Standard Rechnungsadresse"
"Default Shipping Address","Standard Lieferadresse"
"Change Password","Passwort ändern"
"Use as my default billing address","Als meine Standard Rechnungsadresse verwenden"
"Use as my default shipping address","Als meine Standard Lieferadresse verwenden"
"Save Address","Adresse speichern"
"Go back",Zurück
"Current Password","Derzeitiges Passwort"
"Confirm New Password","Neues Passwort bestätigen"
"Sign Up for Newsletter","Für Newsletter anmelden"
"Address Information",Adresseninformation
"Login Information","Login Informationen"
"Create account","Create account"
"Customer Address Attributes","Customer Address Attributes"
"Edit Customer Address Attribute ""%1""","Edit Customer Address Attribute ""%1"""
"New Customer Address Attribute","Neues Kundenadressenattribut"
"Lines Count",Zeilenzählung
"Valid range 2-20","Gültiger Bereich 2-20"
"Input Validation",Eingabeüberprüfung
"Minimum Text Length","Minimale Textlänge"
"Maximum Text Length","Maximale Textlänge"
"Maximum File Size (bytes)","Maximale Dateigröße (Bytes)"
"File Extensions",Dateierweiterungen
"Comma separated","Durch Komma getrennt"
"Maximum Image Width (px)","Maximale Bildbreite (px)"
"Maximum Image Height (px)","Maximale Bildhöhe (px)"
"Input/Output Filter","Input/Output Filter"
