None,Aucun
Remove,Supprimer
Cancel,Annuler
Back,Retour
No,Non
Customer,Client
"Account Information","InformationS du compte"
"New Password","Nouveau mot de passe"
Save,Sauvegarder
"-- Please Select --",Sélectionnez
General,Général
Yes,Oui
"Sort Order","Modifier l'ordre"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Store View","Vue boutique"
System,Système
"Personal Information","Informations personnelles"
"Use Default Value","Use Default Value"
"Input Type","Type d'entrée"
"* Required Fields","*champs obligatoires"
"General Information","Informations générales"
Day,Jour
Month,Mois
Year,Année
"Add New Attribute","Ajouter nouvel attribut"
"Save Attribute","Sauvegarder attribut"
"Delete Attribute","Supprimer attribut"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties","Propriétés du profil"
"Attribute Information","Informations de l'attribut"
Properties,Propriétés
"Based On","Basé sur"
Attributes,Attributs
"Default Values","Valeurs par défaut"
"An attribute with this code already exists.","An attribute with this code already exists."
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
Country,Pays
State/Province,Etat/Province
"Please select region, state or province","Sélectionnez votre région, état ou province"
City,Ville
"Zip/Postal Code","Code postal"
"Loading next step...","Loading next step..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Email Address","Adresse email"
Company,Entreprise
"VAT Number","Numéro TVA"
Address,Adresse
"Street Address",Rue
"Street Address %1","Street Address %1"
Telephone,Téléphone
Fax,Fax
Password,"Mot de passe"
"Confirm Password","Confirmer mot de passe"
"Save in address book","Save in address book"
"Ship to this address","Ship to this address"
"Ship to different address","Ship to different address"
Continue,Continue
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Use Billing Address","Use Billing Address"
Label,Etiquette
"Contact Information","Informations de contact"
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default Billing Address","Adresse de facturation par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Change Password","Modifier le mot de passe"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de livraison par défaut"
"Save Address","Sauvegarder adresse"
"Go back",Retourner
"Current Password","Mot de passe actuel"
"Confirm New Password","Confirmer nouveau mot de passe"
"Sign Up for Newsletter","Souscrire à la newsletter"
"Address Information","Informations adresse"
"Login Information","Informations de connexion"
"Create account","Create account"
"Customer Address Attributes","Customer Address Attributes"
"Edit Customer Address Attribute ""%1""","Edit Customer Address Attribute ""%1"""
"New Customer Address Attribute","Nouvel attribut de l'adresse client"
"Lines Count","Décompte des lignes"
"Valid range 2-20","Données valides: 2-20"
"Input Validation","Validation entrée"
"Minimum Text Length","Longueur mini du texte"
"Maximum Text Length","Longueur maxi du texte"
"Maximum File Size (bytes)","Taille maxi du fichier (bytes)"
"File Extensions","Extensions fichier"
"Comma separated","Séparés par une virgule"
"Maximum Image Width (px)","Largeur maxi de l'image (px)"
"Maximum Image Height (px)","Hauteur maxi de l'image (px)"
"Input/Output Filter","Filtre entrée/sortie"
"Minimal value","Valeur min."
"Maximum value","Valeur max."
"Show on Frontend","Montrer sur le profil"
"Forms to Use In","Formulaires à utiliser dans"
"Manage Label / Options","Gérer étiquettes / options"
"Visible to Customer","Visible sur le profil"
"Customer Attributes","Customer Attributes"
"Edit Customer Attribute ""%1""","Edit Customer Attribute ""%1"""
"New Customer Attribute","Nouvel attribut client"
"Manage Form Types","Gérer les types de formulaires"
"New Form Type","Nouveau type de formulaire"
"Edit Form Type ""%1""","Edit Form Type ""%1"""
"Form Label","Etiquette formulaire"
"All Themes","Tous les thèmes"
"For Theme","For Theme"
"Form Code","Code formulaire"
"Form Title","Titre formulaire"
"New Fieldset","Nouveau champ"
"Form Type Information","Informations type de formulaire"
"Type Code","Code type de formulaire"
Theme,"Pour thème"
"Manage Customer Address Attributes","Gérer les attributs de l' adresse client"
"Attribute is no longer exists.","L'attribut n'existe plus."
"You cannot edit this attribute.","Vous ne pouvez pas éditer cet attribut."
"Edit Customer Address Attribute","Editer attribut adresse client"
"You saved the customer address attribute.","You saved the customer address attribute."
"Something went wrong saving the customer address attribute.","Something went wrong saving the customer address attribute."
"You cannot delete this attribute.","Vous ne pouvez pas supprimer cet attribut."
"You deleted the customer address attribute.","You deleted the customer address attribute."
"Something went wrong deleting the customer address attribute.","Something went wrong deleting the customer address attribute."
"Manage Customer Attributes","Gérer les attributs client"
"The attribute no longer exists.","The attribute no longer exists."
"Edit Customer Attribute","Editer attribut client"
"You saved the customer attribute.","You saved the customer attribute."
"Something went wrong saving the customer attribute.","Something went wrong saving the customer attribute."
"You deleted the customer attribute.","You deleted the customer attribute."
"Something went wrong deleting the customer attribute.","Something went wrong deleting the customer attribute."
"We can't save the form type right now.","We can't save the form type right now."
"This system form type cannot be deleted.","This system form type cannot be deleted."
"The form type has been deleted.","The form type has been deleted."
"Something went wrong deleting the form type.","Something went wrong deleting the form type."
"Customer Address Registration","Enregistrement adresse client"
"Customer Account Address","Adresse du compte client"
"Customer Checkout Register","Caisses client enregistrement"
"Customer Registration","Enregistrement client"
"Customer Account Edit","Modifier compte client"
"Admin Checkout","Caisses administrateur"
"Maximum length of attribute code must be less than %1 symbols","Maximum length of attribute code must be less than %1 symbols"
"Fieldset Properties","Fieldset Properties"
"Fieldset Title","Fieldset Title"
"Fieldset Code","Fieldset Code"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","This fieldset is not empty!"
"Choose Website:","Choose Website:"
"Day (DD)",JJ
"Month (MM)",MM
"Year (YYYY)",AAAA
