None,无
Remove,删除
Cancel,取消
Back,返回
No,否
Customer,客户
"Account Information",帐户信息
"New Password",新密码
Save,保存
"-- Please Select --","-- 请选择 --"
General,常规
Yes,是
"Sort Order",排序顺序
"Save and Continue Edit",保存并继续编辑
"Store View",店铺视图
System,系统
"Personal Information",个人信息
"Use Default Value","Use Default Value"
"Input Type",输入类型
"* Required Fields",*必要字段
"General Information",常规信息
Day,天
Month,月
Year,年
"Add New Attribute",添加新属性
"Save Attribute",保存属性
"Delete Attribute",删除属性
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties",前端属性
"Attribute Information",属性信息
Properties,属性
"Based On",基于
Attributes,属性
"Default Values",默认值
"An attribute with this code already exists.","An attribute with this code already exists."
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
Country,国家
State/Province,州/省
"Please select region, state or province",请选择地区、州，或省
City,城市
"Zip/Postal Code",邮政编码
"Loading next step...","Loading next step..."
"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"Email Address",编辑电子邮件地址
Company,公司
"VAT Number","VAT 编号"
Address,地址
"Street Address",街道地址
"Street Address %1","Street Address %1"
Telephone,电话
Fax,传真
Password,密码
"Confirm Password",确认密码
"Save in address book","Save in address book"
"Ship to this address","Ship to this address"
"Ship to different address","Ship to different address"
Continue,Continue
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Use Billing Address","Use Billing Address"
Label,标签
"Contact Information",联系信息
"Use helper with defined EAV entity.","Use helper with defined EAV entity."
"Default Billing Address",默认账单地址
"Default Shipping Address",默认送货地址
"Change Password",更改密码
"Use as my default billing address",使用并作为我的默认账单地址
"Use as my default shipping address",使用并作为我的默认运送地址
"Save Address",保存地址
"Go back",返回
"Current Password",当前密码
"Confirm New Password",确认新密码
"Sign Up for Newsletter",订阅新闻邮件
"Address Information",地址信息
"Login Information",登录信息
"Create account","Create account"
"Customer Address Attributes","Customer Address Attributes"
"Edit Customer Address Attribute ""%1""","Edit Customer Address Attribute ""%1"""
"New Customer Address Attribute",新客户地址属性
"Lines Count",行数
"Valid range 2-20","有效范围 2-20"
"Input Validation",输入验证
"Minimum Text Length",最小文字长度
"Maximum Text Length",最大文字长度
"Maximum File Size (bytes)",最大文件体积（字节）
"File Extensions",文件扩展
"Comma separated",逗号分隔
"Maximum Image Width (px)",最大图像宽度（像素）
"Maximum Image Height (px)",最大图像高度（像素）
"Input/Output Filter",输入/输出筛选器
"Minimal value",最小值
"Maximum value",最大值
"Show on Frontend",在前端显示
"Forms to Use In",表单将用于
"Manage Label / Options",管理标签/选项
"Visible to Customer","Visible to Customer"
"Customer Attributes","Customer Attributes"
"Edit Customer Attribute ""%1""","Edit Customer Attribute ""%1"""
"New Customer Attribute",新客户属性
"Manage Form Types",管理表单类
"New Form Type",新表单类
"Edit Form Type ""%1""","Edit Form Type ""%1"""
"Form Label",表单标签
"All Themes",所有主题
"For Theme",针对他们
"Form Code",表单代码
"Form Title",表单标题
"New Fieldset",新字段集
"Form Type Information",表单类型信息
"Type Code","Type Code"
Theme,Theme
"Manage Customer Address Attributes",管理客户地址属性
"Attribute is no longer exists.",属性不存在。
"You cannot edit this attribute.",您无法编辑该属性。
"Edit Customer Address Attribute",编辑客户地址属性
"You saved the customer address attribute.","You saved the customer address attribute."
"Something went wrong saving the customer address attribute.","Something went wrong saving the customer address attribute."
"You cannot delete this attribute.",您无法删除该属性。
"You deleted the customer address attribute.","You deleted the customer address attribute."
"Something went wrong deleting the customer address attribute.","Something went wrong deleting the customer address attribute."
"Manage Customer Attributes",管理客户属性
"The attribute no longer exists.","The attribute no longer exists."
"Edit Customer Attribute",编辑客户属性
"You saved the customer attribute.","You saved the customer attribute."
"Something went wrong saving the customer attribute.","Something went wrong saving the customer attribute."
"You deleted the customer attribute.","You deleted the customer attribute."
"Something went wrong deleting the customer attribute.","Something went wrong deleting the customer attribute."
"We can't save the form type right now.","We can't save the form type right now."
"This system form type cannot be deleted.","This system form type cannot be deleted."
"The form type has been deleted.","The form type has been deleted."
"Something went wrong deleting the form type.","Something went wrong deleting the form type."
"Customer Address Registration",顾客地址注册
"Customer Account Address",顾客账户地址
"Customer Checkout Register",顾客结账注册
"Customer Registration",顾客注册
"Customer Account Edit",顾客账户编辑
"Admin Checkout",管理员登出
"Maximum length of attribute code must be less than %1 symbols","Maximum length of attribute code must be less than %1 symbols"
"Fieldset Properties","Fieldset Properties"
"Fieldset Title","Fieldset Title"
"Fieldset Code","Fieldset Code"
"A fieldset with the same code alredy exists.","A fieldset with the same code alredy exists."
"This fieldset is not empty!","This fieldset is not empty!"
"Choose Website:","Choose Website:"
"Day (DD)",DD
"Month (MM)",MM
"Year (YYYY)",YYYY
