All,Alle
Back,Zurück
Products,Produkte
ID,ID
Customers,"Anzahl der Kunden"
"Shopping Cart",Warenkorb
Subtotal,Zwischensumme
Total,Gesamt
Customer,Kunde
"Grand Total",Gesamtsumme
Average,Durchschnitt
Tax,Steuer
Shipping,Lieferung
Email,E-Mail
Name,Name
Status,Status
"Save and Continue Edit","Speichern und weiter bearbeiten"
Description,Beschreibung
Any,Beliebig
Website,Website
Specified,Angegeben
Active,Aktiv
"Product Attributes",Produkteigenschaften
Conditions,Konditionen
Inactive,Inaktiv
"Conditions Combination","Konditionen Kombination"
Country,Land
State/Province,Staat/Provinz
Sales,Umsatz
"Registered Customers","Registrierte Kunden"
"Store Credit","Store Credit"
Segments,Segmente
"Add Segment","Segment hinzufügen"
"Refresh Segment Data","Segmentdaten aktualisieren"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","Neues Segment"
"Segment Information",Segmentinformationen
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","Allgemeine Eigenschaften"
"Segment Name","Segment Name"
"Assigned to Website","Website zugeteilt"
"Apply To","Anwenden auf"
"Visitors and Registered Customers","Besucher and registrierte Kunden"
Visitors,Besucher
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
Segment,Segmentname
"Customer Segment Report","Kundensegment Report"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Kundensegmente Report"
"You requested the wrong customer segment.","You requested the wrong customer segment."
"Customer Segments",Kundensegmente
"Edit Segment","Segment bearbeiten"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We're unable to save the segment.","We're unable to save the segment."
"You deleted the segment.","You deleted the segment."
"We're unable to delete the segement.","We're unable to delete the segement."
Reports,Reports
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
Details,Details
"Customer Segment data has been refreshed.","Kundensegmentdaten wurden aktualisiert."
Union,Vereinigung
Intersection,Schnittpunkt
"Applies to All of the Specified Customer Segments","Gilt für alle angegebenen Kundensegmente"
"Apply to the Selected Customer Segments","Auf ausgewählte Kundensegmente anwenden"
contains,contains
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Customer Segment",Kundensegment
"Use in Customer Segment","Im Kundensegment verwenden"
"Unknown operator specified.","Unbekannter Operator spezifiziert."
"Customer Address",Kundenadresse
"Product List",Produktliste
"Product History",Produkthistorie
"Wrong ""ApplyTo"" type","Falscher ""Anwenden auf"" Typ"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes",Adressenattribute
"Customer Address %1","Customer Address %1"
"Default Address",Standardadresse
Billing,Rechnung
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Hat Staat/Provinz"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
has,besitzt
"does not have","besitzt nicht"
exists,existiert
"does not exist","existiert nicht"
"Customer %1","Customer %1"
"Newsletter Subscription","Newsletter Abonnement"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
subscribed,abonniert
"not subscribed","nicht abonniert"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range",Datenbereich
"Open Chooser","Open Chooser"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Bestelladresse Eigenschaften"
"Order Address %1","Order Address %1"
"Address Type",Adressentyp
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status",Bestellstatus
"Order Status %1 %2:","Order Status %1 %2:"
"Product %1","Product %1"
"Date Ranges",Datenbereiche
viewed,angesehen
ordered,bestellt
was,was
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Wish List","Wish List"
found,found
"not found","not found"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address",Bestelladresse
"Sales Amount",Umsatzsumme
"Number of Orders","Anzahl der Bestellungen"
"Purchased Quantity","Gekaufte Menge"
"Number of Orders %1 %2 while %3 of these Conditions match:","Number of Orders %1 %2 while %3 of these Conditions match:"
"%1 Purchased Quantity %2 %3 while %4 of these Conditions match:","%1 Purchased Quantity %2 %3 while %4 of these Conditions match:"
"%1 Sales Amount %2 %3 while %4 of these Conditions match:","%1 Sales Amount %2 %3 while %4 of these Conditions match:"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
matches,"stimmt überein"
"does not match","stimmt nicht überein"
"is one of","ist eines von"
"is not one of","ist nicht eines von"
"Shopping Cart Total","Warenkorb Gesamtsumme"
"Gift Card",Geschenkkarte
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Unbekannte Angebotsbetrag spezifiziert."
"Number of Cart Line Items","Anzahl der Warenkorbartikel"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity",Produktmenge
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"Up To Date","Auf neuestem Stand"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Website Filter values","Website Filter values"
CSV,CSV
"Excel XML",Excel-XML
Set,Setzen
Group,Gruppe
Phone,Telefon
ZIP,Postleitzahl
"Customer Since","Kunde seit"
"Refresh Data","Daten aktualisieren"
"Manage Segments","Segmente bearbeiten"
"View Combined Report","Kombinierten Report ansehen"
