All,Alles
Back,Terug
Products,producten
ID,identiteit
Customers,"Aantal Klanten"
"Shopping Cart",winkelwagen
Subtotal,subtotaal
Total,totaal
Customer,Klant
"Grand Total","Groot Totaal"
Average,Gemiddeld
Tax,Belasting
Shipping,Transport
Email,E-mail
Name,Naam
Status,status
"Save and Continue Edit","opslaan en doorgaan met bewerken"
Description,Omschrijving
Any,elk
Website,Website
Specified,Gespecificeerd
Active,Actief
"Product Attributes","Product Kenmerken"
Conditions,Voorwaarden
Inactive,Inactief
"Conditions Combination",Voorwaardencombinatie
Country,Land
State/Province,staat/provincie
Sales,Verkoop
"Registered Customers","Geregistreerde Klanten"
"Store Credit",winkelcrediet
Segments,Segmenten
"Add Segment","Voeg segment toe"
"Refresh Segment Data","Verversen Segment Data"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","Nieuw Segment"
"Segment Information","Segment Informatie"
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","Algemene Kenmerken"
"Segment Name","Segment Name"
"Assigned to Website","Website toewijziging"
"Apply To","Pas Toe Op"
"Visitors and Registered Customers","Bezoekers en Geregistreerde Klanten"
Visitors,Bezoekers
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
Segment,"Segment Naam"
"Customer Segment Report","Klantsegment Rapport"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Klantsegmenten Rapport"
"You requested the wrong customer segment.","You requested the wrong customer segment."
"Customer Segments","klanten segmenten"
"Edit Segment","Bewerk Segment"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We're unable to save the segment.","We're unable to save the segment."
"You deleted the segment.","You deleted the segment."
"We're unable to delete the segement.","We're unable to delete the segement."
Reports,Rapporten
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
Details,Details
"Customer Segment data has been refreshed.","Klantsegment gegevens zijn geactualiseerd"
Union,Organisatie
Intersection,Intersectie
"Applies to All of the Specified Customer Segments","Is van toepassing op Alle Gespecificeerde Klant Segmenten"
"Apply to the Selected Customer Segments","Toepassen op de Geselecteerde Klant Segmenten"
contains,contains
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Customer Segment",Klantsegment
