All,全部
Back,返回
Products,产品
ID,ID
Customers,客户数量
"Shopping Cart",购物车
Subtotal,小计
Total,总数
Customer,客户
"Grand Total",总计
Average,平均
Tax,传真
Shipping,运送
Email,电子邮件
Name,姓名
Status,状态
"Save and Continue Edit",保存并继续编辑
Description,描述
Any,任意
Website,网站
Specified,已指定
Active,活动
"Product Attributes",产品属性
Conditions,条件
Inactive,未激活
"Conditions Combination",条件组合
Country,国家
State/Province,州/省
Sales,销售
"Registered Customers",已注册的客户
"Store Credit",店铺信用
Segments,片段
"Add Segment",添加片段
"Refresh Segment Data",刷新片段数据
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment",新片段
"Segment Information",片段信息
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties",常规属性
"Segment Name","Segment Name"
"Assigned to Website",分配到网站
"Apply To",应用给
"Visitors and Registered Customers",访客与注册的顾客
Visitors,访客
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
Segment,片段名称
"Customer Segment Report",客户片段报告
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report",客户片段报告
"You requested the wrong customer segment.","You requested the wrong customer segment."
"Customer Segments",客户片段
"Edit Segment",编辑片段
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We're unable to save the segment.","We're unable to save the segment."
"You deleted the segment.","You deleted the segment."
"We're unable to delete the segement.","We're unable to delete the segement."
Reports,报告
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
Details,详情
"Customer Segment data has been refreshed.",客户片段数据已刷新。
Union,联合
Intersection,交集
"Applies to All of the Specified Customer Segments",适用于指定的顾客群体的所有成员
"Apply to the Selected Customer Segments",适用于所选顾客群体
contains,contains
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Customer Segment",客户片段
"Use in Customer Segment",客户片段中的用户
"Unknown operator specified.",指定了未知操作。
"Customer Address",客户地址
"Product List",产品列表
"Product History",产品历史
"Wrong ""ApplyTo"" type",“适用于”类型有误
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes",地址属性
"Customer Address %1","Customer Address %1"
"Default Address",默认地址
Billing,账单
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","有 州/省"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
has,有
"does not have",没有
exists,退出
"does not exist",不存在
"Customer %1","Customer %1"
"Newsletter Subscription",新闻邮件订阅
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
subscribed,已订阅
"not subscribed",未订阅
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range",日期范围
"Open Chooser","Open Chooser"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes",订单地址属性
"Order Address %1","Order Address %1"
"Address Type",地址类型
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status",订单状态
"Order Status %1 %2:","Order Status %1 %2:"
"Product %1","Product %1"
"Date Ranges",日期范围
viewed,已查看
ordered,已下单
was,was
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Wish List","Wish List"
found,found
"not found","not found"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address",订单地址
"Sales Amount",销售量
"Number of Orders",订单数量
"Purchased Quantity",已购买数量
"Number of Orders %1 %2 while %3 of these Conditions match:","Number of Orders %1 %2 while %3 of these Conditions match:"
"%1 Purchased Quantity %2 %3 while %4 of these Conditions match:","%1 Purchased Quantity %2 %3 while %4 of these Conditions match:"
"%1 Sales Amount %2 %3 while %4 of these Conditions match:","%1 Sales Amount %2 %3 while %4 of these Conditions match:"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
matches,匹配
"does not match",不匹配
"is one of",属于
"is not one of",属于
"Shopping Cart Total",购物车总数
"Gift Card",礼品卡
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.",制定了未知额度。
"Number of Cart Line Items",购物车项目数量
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity",产品数量
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"less than","less than"
"Up To Date",截至当前
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Website Filter values","Website Filter values"
CSV,CSV
"Excel XML","Excel XML"
Set,集
Group,分组
Phone,电话
ZIP,邮编
"Customer Since",客户加入日期
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data",刷新数据
"Manage Segments",管理片段
"View Combined Report",查看联合报告
