"--Please Select--","--Please Select--"
label,label
State/Province,"Bundesstaat/ Provinz"
Continue,Continue
"We can't initialize the import model.","We can't initialize the import model."
Currency,Währung
"Please correct the target currency.","Please correct the target currency."
"Undefined rate from ""%1-%2"".","Undefined rate from ""%1-%2""."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:","SCHWERWIEGENER FEHLER:"
"Please specify the correct Import Service.","Please specify the correct Import Service."
WARNING:,WARNUNG:
"Please correct the country code: %1.","Please correct the country code: %1."
"Country and Format Type combination should be unique","Die Kombination aus Land und Formattyp sollte unverwechselbar sein"
"Please correct the rates received","Please correct the rates received"
"--Please select--","--Please select--"
"Your current currency is: %1.","Your current currency is: %1."
