"--Please Select--","--Please Select--"
label,label
State/Province,État/province
Continue,Continue
"We can't initialize the import model.","We can't initialize the import model."
Currency,Devise
"Please correct the target currency.","Please correct the target currency."
"Undefined rate from ""%1-%2"".","Undefined rate from ""%1-%2""."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:","ERREUR FATALE:"
"Please specify the correct Import Service.","Please specify the correct Import Service."
WARNING:,AVERTISSEMENT:
"Please correct the country code: %1.","Please correct the country code: %1."
"Country and Format Type combination should be unique","Pays et combinaison de type de format devrait être unique"
"Please correct the rates received","Please correct the rates received"
"--Please select--","--Please select--"
"Your current currency is: %1.","Your current currency is: %1."
