"--Please Select--","--Please Select--"
label,label
State/Province,州/省
Continue,Continue
"We can't initialize the import model.","We can't initialize the import model."
Currency,币种
"Please correct the target currency.","Please correct the target currency."
"Undefined rate from ""%1-%2"".","Undefined rate from ""%1-%2""."
"We can't retrieve a rate from %1.","We can't retrieve a rate from %1."
"FATAL ERROR:",致命错误：
"Please specify the correct Import Service.","Please specify the correct Import Service."
WARNING:,警告：
"Please correct the country code: %1.","Please correct the country code: %1."
"Country and Format Type combination should be unique",国家和格式类型的组合必须是唯一的
"Please correct the rates received","Please correct the rates received"
"--Please select--","--Please select--"
"Your current currency is: %1.","Your current currency is: %1."
