Remove,Eliminar
ID,ID
No,No
Action,Acción
"Expiration Date","Expiration Date"
Delete,Eliminar
Save,Guardar
Yes,Sí
Code,Código
Status,Estado
Website,"Sitio web"
"Please wait, loading...","Espera, por favor. Cargando...."
"End on","Fecha de Caducidad"
Active,Activo
Created,"Fecha Creada"
Date,Fecha
Alphanumeric,Alfanumérico
Sent,Enviada
"Balance Change","Alteración del saldo"
Balance,Saldo
"By admin: %1.","By admin: %1."
Updated,Actualizado
Used,Usado
"Gift Card","Cheque regalo"
"Gift Card Accounts","Cuentas de Tarjeta Regalo"
"Recipient Name","Nombre del Destinatario"
"Recipient Email","E-mail del Destinatario"
"Add Gift Card Account","Añada una Cuenta de Tarjetas de Regalo"
"Save & Send Email","Guardar y Enviar Email"
"Edit Gift Card Account: %1","Edit Gift Card Account: %1"
"New Gift Card Account","Nueva Cuenta de Tarjeta de Regalo"
"More Information","More Information"
Information,Información
"Gift Card Code","Código de la Tarjeta de Regalo"
Redeemable,Canjeable
"Send Gift Card","Enviar Tarjeta de Regalo"
"Send Email from the Following Store View","Send Email from the Following Store View"
"-- First Please Select a Website --","-- Por favor, Primero Elija
una Página de Internet --"
"Gift Card Account","Cuenta de Tarjetas de Regalo"
History,Historial
"Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>.","Code Pool used: <b>%1%</b> (free <b>%2</b> of <b>%3</b> total). Generate new code pool <a href=""%4"">here</a>."
"This gift card account has been deleted.","This gift card account has been deleted."
"New Account","Nueva Cuenta"
"Edit Gift Card Account","Editar Cuenta de Tarjetas de Regalo"
"You saved the gift card account.","You saved the gift card account."
"You saved the gift card account, but an email was not sent.","You saved the gift card account, but an email was not sent."
"An email was not sent because the gift card account is not active.","An email was not sent because the gift card account is not active."
"We couldn't find a gift card account to delete.","We couldn't find a gift card account to delete."
"New code pool was generated.","Se ha generado un nuevo pool de códigos"
"We were unable to generate a new code pool.","We were unable to generate a new code pool."
"Please select a gift card account(s)","Please select a gift card account(s)"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"We will refund the gift card amount to your customer’s store credit","We will refund the gift card amount to your customer’s store credit"
