None,Aucune
Back,Retour
"Update Items and Qty's","Mise à jour des articles et Qté\"
Update Qty"""
Product,"Nom du produit"
Price,Prix
Quantity,Quantité
ID,Identification
SKU,"UGS produit"
Customers,Clients
No,Non
"Shopping Cart Items","Articles du caddy"
Qty,Qté
Action,Action
Total,Total
Edit,Changer
"Unit Price","Prix de l'unité"
"Add to Cart","Ajouter au caddy"
"First Name",Prénom
"Last Name",Nom
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,Effacer
Save,Sauvegarder
Yes,Oui
Name,Nom
Code,Code
Status,État
"Sort Order","Ordre de tri"
"Save and Continue Edit","Sauvegarder et continuer à changer"
Type,Type
Search,Recherche
From,De
To,A
"Add New","Ajouter Nouveau"
Website,"Site internet"
Next,Suivant
"Please wait, loading...","Veuillez patienter, chargement en cours..."
View,Voir
Actions,Actions
Active,Actif
"Delete Option","Effacer option"
"Use Default Value","Utiliser valeur par défaut"
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
Qty:,Qté:
"Input Type","Type d'entrée"
"* Required Fields","* Champs obligatoires"
Message:,Message:
"General Information","Infos générales"
label,label
"Delete Attribute","Effacer attribut"
Text,Texte
"Add Attribute","Ajouter attribut"
Attributes,Attributs
"Add New Option","Ajouter nouvelle option"
"-- Please select --","-- Veuillez sélectionner --"
"Is Default","est par défaut"
Role,Rôle
"Product Name","Product Name"
Inactive,Inactif
"New Address","Nouvelle adresse"
Country,Pays
State/Province,État/province
City,Ville
"Zip/Postal Code","Code postal"
"Email Address","Adresse courriel"
Company,Compagnie
Address,Adresse
"Street Address",Rue
"Street Address %1","Street Address %1"
Telephone,Téléphone
Fax,Fax
"Shipping Address","Adresse d'envoi"
"Select a shipping address from your address book or enter a new address.","Sélectionner une adresse d'envoi sur votre carnet d'adresses ou entrer une nouvelle adresse"
Label,Label
Select,Sélectionner
%1,%1
Date,Date
"Send From","Envoyer de"
"Please enter the first name.","Veuillez saisir le prénom."
"Please enter the last name.","Veuillez saisir le nom de famille."
"Recipient Email","Destinataire courriel"
Message,Message
"Email Template","Email Template"
"Are you sure you want to delete this gift registry?","Êtes-vous sûr(e) de vouloir effacer ce registre de cadeaux?"
"Delete Registry","Effacer registre"
"Gift Registry Entity","Entité Registre de cadeaux"
"Product ID","Identification produit"
"Add to Gift Registry","Ajouter au Registre des cadeaux"
"Are you sure you want to add these products?","Êtes-vous sûr(e) de vouloir ajouter ces produits?"
Requested,"Quantité requise"
Fulfilled,"Articles comblés"
Note,Note
"Update Quantity","Update Quantity"
"Remove Item","Enlever article"
"Sharing Information","Partager infos"
Emails,Courriels
"Share Gift Registry","Partager Registre de cadeaux"
"Gift Registry","Registre de cadeaux"
Event,Évènement
Recipients,Destinataires
"Event Date","Date événement"
"Total Items","Ensemble des articles"
Remaining,Restant
Public,Public
"Gift Registry Types","Gift Registry Types"
"Add Gift Registry Type","Ajouter Type de registre de cadeaux"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?"
"Edit '%1' Gift Registry Type","Edit '%1' Gift Registry Type"
"New Gift Registry Type","Nouveau type de Registre de cadeaux"
Short,Court
Medium,Moyen
Long,Long
Full,Plein
"Is Listed","Is Listed"
"Edit Gift Registry","Changer le Registre de cadeaux"
"Create Gift Registry","Créer un Registre de cadeaux"
"Please select a region, state or province","Please select a region, state or province"
"Please Select","Veuillez sélectionner"
"View Gift Registry %1","View Gift Registry %1"
"Share '%1' Gift Registry","Share '%1' Gift Registry"
"Gift Registry Search","Recherche de Registre de cadeaux"
"Select Search Type","Sélectionner type de recherche"
Recipient,Destinataire
"Registry owner","Propriétaire Registre"
"Please correct the  gift registry ID.","Please correct the  gift registry ID."
"New Type","Nouveau type"
"Edit Type","Editer le type"
"You saved the gift registry type.","You saved the gift registry type."
"We couldn't save this gift registry type.","We couldn't save this gift registry type."
"You deleted the gift registry type.","You deleted the gift registry type."
"We couldn't delete this gift registry type.","We couldn't delete this gift registry type."
"Please correct the gift registry entity.","Please correct the gift registry entity."
"Edit '%1' Gift Registry","Edit '%1' Gift Registry"
"Something went wrong while editing the gift registry.","Something went wrong while editing the gift registry."
"Shopping cart items have been added to gift registry.","Articles du caddy ont été ajoutés au Registre de cadeaux."
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Les produits virtuels, téléchargeables, et cartes de cadeaux virtuelles ne peuvent être ajoutés aux Registres de cadeaux."
"Failed to add shopping cart items to gift registry.","Échec pour ajouter des articles du caddy au registre de cadeaux."
"You updated this gift registry.","You updated this gift registry."
"We couldn't update these gift registry items.","We couldn't update these gift registry items."
"Please enter at least one email address.","Please enter at least one email address."
"%1 email(s) were sent.","%1 email(s) were sent."
"We couldn't send '%1 of %2 emails.","We couldn't send '%1 of %2 emails."
"You deleted this gift registry entity.","You deleted this gift registry entity."
"We couldn't delete this gift registry entity.","We couldn't delete this gift registry entity."
"%1 item(s) have been added to the gift registry.","%1 item(s) have been added to the gift registry."
"We have nothing to add to this gift registry.","We have nothing to add to this gift registry."
"You can't add virtual products, digital products or gift cards to gift registries.","You can't add virtual products, digital products or gift cards to gift registries."
"The wish list item has been added to this gift registry.","The wish list item has been added to this gift registry."
"We couldn’t add your wish list items to your gift registry.","We couldn’t add your wish list items to your gift registry."
"You deleted this gift registry.","You deleted this gift registry."
"Something went wrong while deleting the gift registry.","Something went wrong while deleting the gift registry."
"Something went wrong while sharing the gift registry.","Something went wrong while sharing the gift registry."
"Gift Registry Items","Articles Registre de cadeaux"
"You updated the gift registry items.","You updated the gift registry items."
"We couldn't update the gift registry.","We couldn't update the gift registry."
"Something went wrong while sending email(s).","Something went wrong while sending email(s)."
"Please correct the gift registry.","Please correct the gift registry."
"Incorrect Type","Incorrect Type"
"Please correct the recipient data.","Please correct the recipient data."
"Address is empty.","Adresse est vide"
"Please select an address.","Please select an address."
"Please correct the address.","Please correct the address."
"You saved this gift registry.","You saved this gift registry."
"We couldn't save this gift registry.","We couldn't save this gift registry."
"Please correct the gift registry ID.","Please correct the gift registry ID."
"Please enter correct search options.","Please enter correct search options."
"Please enter at least 2 letters of the first name.","Veuillez entrer au moins deux lettres du prénom."
"Please enter at least 2 letters of the last name.","Veuillez entrer au moins deux lettres du nom."
"Please enter a valid email address.","Please enter a valid email address."
"Please enter a gift registry ID.","Please enter a gift registry ID."
"Gift Registry Info","Infos Registre de cadeaux"
"Please enter the quantity of items to add to cart.","Please enter the quantity of items to add to cart."
"Please enter the ""%1"".","Please enter the ""%1""."
"Please enter the correct ""%1"".","Please enter the correct ""%1""."
"Custom Types","Types sur mesure"
"Static Types","Types statiques"
"You need to enter sender data.","You need to enter sender data."
"Please enter a valid sender email address.","Please enter a valid sender email address."
"Please enter a valid recipient email address.","Please enter a valid recipient email address."
"Please enter a recipient name.","Please enter a recipient name."
"You shared the gift registry for %1 emails.","You shared the gift registry for %1 emails."
"We couldn't share the registry.","We couldn't share the registry."
Private,Privé
"Please enter the title.","Veuillez saisir le titre."
"Please enter the message.","Veuillez saisir le message."
"Please enter correct the Privacy setting.","Please enter correct the Privacy setting."
"We cannot specify the product.","We cannot specify the product."
"Please correct the  gift registry item quantity.","Please correct the  gift registry item quantity."
"Please correct the gift registry item ID.","Please correct the gift registry item ID."
"The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2.","The quantity of ""%1"" product added to cart exceeds the quantity desired by the Gift Registry owner. The quantity added has been adjusted to meet remaining quantity %2."
"Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested.","Existing quantity of ""%1"" product in the cart has been replaced with quantity %2 just requested."
"This product(s) is out of stock.","This product(s) is out of stock."
"Please correct the product for adding the item to the quote.","Please correct the product for adding the item to the quote."
"Please correct the item option format.","Please correct the item option format."
"An item option with code %1 already exists.","An item option with code %1 already exists."
"Ship to the recipient's address.","Ship to the recipient's address."
"Please enter a valid email address(for example, daniel@x.com).","Please enter a valid email address(for example, daniel@x.com)."
"-- All --","-- Tous --"
"All Forms","Tous les formulaires"
"Recipient Name Search","Recherche nom destinataire"
"Recipient Email Search","Recherche destinataire courriel"
"Gift Registry ID Search","Recherche identité Registre de cadeaux"
New,New
Owner,Propriétaire
"Created on","Créé le"
"Attribute Group","Groupe d'attribut"
"Is Required","est requis"
"Is Searcheable","est interrogeable"
"We found an attribute with this static input type already in the gift registry type. Please select a different input type.","We found an attribute with this static input type already in the gift registry type. Please select a different input type."
"Show Region","Montrer département"
"Date Format","Format de date"
"Please select a region, state or province.","Please select a region, state or province."
"Add All To Gift Registry ","Ajouter tout au Registre des cadeaux"
"Ship to recipient's address","Envoyer à l'adresse\ du destinataire."
"Use the gift registry shipping address","Use the gift registry shipping address"
"Added On",Ajouté
"Qty Fulfilled","Qté comblée"
"Update Gift Registry","Mise à jour du Registre de cadeaux"
"This gift registry has no items.","This gift registry has no items."
"Created On","Créé Le"
"Manage Items","Gérer articles"
Share,Partager
"No gift registries have been created.","No gift registries have been created."
"Remove Recipient","Remove Recipient"
"First Name:",Prénom:
Name:,Nom:
"Email Address:","Adresse courriel:"
Sender:,Expéditeur:
Email:,Courriel:
