None,Geen
Back,Terug
"Update Items and Qty's","aanpassen items en hoeveelheden"
Product,"Product Naam"
Price,prijs
Quantity,Hoeveelheid
ID,identiteit
SKU,"Product Voorraad Eenheid"
Customers,klanten
No,Nee
"Shopping Cart Items","items in winkelwagen"
Qty,hoeveelheid
Action,actie
Total,totaal
Edit,Bewerk
"Unit Price","Prijs per stuk"
"Add to Cart","Voeg toe aan winkelwagen"
"First Name",Voornaam
"Last Name",Achternaam
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,weghalen
Save,"Sla op"
Yes,Ja
Name,Naam
Code,Code
Status,status
"Sort Order","sorteer volgorde"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
Type,Type
Search,Zoek
From,Van
To,Aan
"Add New","Voeg nieuwe toe"
Website,Website
Next,Volgende
"Please wait, loading...","Wacht a.u.b., aan het laden..."
View,Bekijk
Actions,acties
Active,Actief
"Delete Option","Verwijder optie"
"Use Default Value","gebruik standaardwaarde"
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
Qty:,Aantal
"Input Type","invoer type"
"* Required Fields","* Vereiste Velden"
Message:,Bericht:
"General Information","Generale informatie"
label,label
"Delete Attribute","Verwijder attribuut"
Text,Tekst
"Add Attribute","Voeg attribuut toe"
Attributes,Attributen
"Add New Option","Voeg nieuwe optie toe"
"-- Please select --","--selecteer a.u.b.--"
"Is Default","Is Standaard"
Role,Rol
"Product Name","Product Name"
Inactive,Inactief
"New Address","Nieuw Adres"
Country,Land
State/Province,staat/provincie
City,Stad
"Zip/Postal Code",Postcode
"Email Address","E-mail adres"
Company,Bedrijf
Address,Adres
"Street Address","Straat Adres"
"Street Address %1","Street Address %1"
Telephone,telefoon
Fax,Fax
"Shipping Address","Ontvangst Adres"
"Select a shipping address from your address book or enter a new address.","Selecteer een verzendadres vanuit uw adresboek of geef een nieuw e-mailadres in"
Label,label
Select,Selecteer
%1,%1
Date,Datum
"Send From","Verzenden van"
"Please enter the first name.","Vul alstublieft de voornaam in."
"Please enter the last name.","Vul alstublieft de achternaam in."
"Recipient Email","E-mail van ontvanger"
Message,Bericht
"Are you sure you want to delete this gift registry?","Weet u zeker dat u dit verlanglijstje wilt verwijderen?"
"Delete Registry","Verwijder register"
"Gift Registry Entity","Verlanglijst entiteit"
"Product ID","Product Nummer"
"Add to Gift Registry","Voeg toe aan verlanglijstje"
"Are you sure you want to add these products?","Weet u zeker dat u deze producten wilt toevoegen?"
Requested,"Gewenste Hoeveelheid"
Fulfilled,"Volbrachte Items"
Note,Opmerking
"Update Quantity","Update Quantity"
"Remove Item","Product verwijderen"
"Sharing Information","Delen Informatie"
Emails,E-mails
"Share Gift Registry","Aanmelden Cadeau Delen"
"Gift Registry",Verlanglijstje
Event,Gebeurtenis
Recipients,Ontvangers
"Event Date","Gebeurtenis datum"
"Total Items","Totaal items"
Remaining,Resterend
Public,Openbare
"Gift Registry Types","Gift Registry Types"
"Add Gift Registry Type","Voeg verlanglijst-type toe"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?"
"Edit '%1' Gift Registry Type","Edit '%1' Gift Registry Type"
"New Gift Registry Type","Nieuwe Cadeauregistratie Soort"
Short,Kort
Medium,Medium
Long,Lang
Full,Vol
"Is Listed","Is Listed"
"Edit Gift Registry","Bewerk verlanglijstje"
"Create Gift Registry","Creëer verlanglijstje"
"Please select a region, state or province","Please select a region, state or province"
