None,Nenhum
Back,Voltar
"Update Items and Qty's","Atualizar Itens e Quantidades"
Product,Produto
Price,Preço
Quantity,Quantidade
ID,Identidade
SKU,SKU
Customers,Clientes
No,Não
"Shopping Cart Items","Itens do carrinho de compras"
Qty,Quant.
Action,Ação
Total,Total
Edit,Editar
"Unit Price","Preço Unitário"
"Add to Cart","Adicionar ao carrinho"
"First Name","Primeiro nome"
"Last Name","Último nome"
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,Excluir
Save,Salvar
Yes,Sim
Name,Nome
Code,Código
Status,Status
"Sort Order","Classificar pedido"
"Save and Continue Edit","Salvar e continuar a editar"
Type,Tipo
Search,Pesquisa
From,De
To,Para
"Add New","Adicione Novo"
Website,Website
Next,Próximo
"Please wait, loading...","Por favor aguarde, carregando..."
View,Ver
Actions,Ações
Active,Ativo
"Delete Option","Excluir opção"
"Use Default Value","Utilizar valor padrão"
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
Qty:,Quantidade:
"Input Type","Tipo de entrada"
"* Required Fields","* Campos obrigatórios"
Message:,Mensagem:
"General Information","Informações gerais"
label,label
"Delete Attribute","Apagar atributo"
Text,Texto
"Add Attribute","Adicione Atributo"
Attributes,Atributos
"Add New Option","Adicione Nova Opção"
"-- Please select --","-- Selecione --"
"Is Default","É padrão"
Role,Papel
"Product Name","Nome do produto"
Inactive,Inativo
"New Address","Novo Endereço"
Country,País
State/Province,Estado/Província
City,Cidade
"Zip/Postal Code","Zip/Código Postal"
"Email Address","Endereço de e-mail"
Company,Companhia
Address,Endereço
"Street Address","Endereço da Rua"
"Street Address %1","Street Address %1"
Telephone,Telefone
Fax,Fax
"Shipping Address","Endereço de Envio"
"Select a shipping address from your address book or enter a new address.","Selecione um endereço para envio do seu livro de endereços ou insira um novo endereço."
Label,Etiqueta
Select,Selecione
%1,%1
Date,Data
"Send From","Enviar De"
"Please enter the first name.","Por favor informe o primeiro nome."
"Please enter the last name.","Por favor informe o último nome."
"Recipient Email","E-mail do destinatário"
Message,Mensagem
"Are you sure you want to delete this gift registry?","Tem certeza de que deseja apagar este registro de oferta?"
"Delete Registry","Excluir registro"
"Gift Registry Entity","Entidade do registro de presente"
"Product ID","ID do Produto"
"Add to Gift Registry","Adicione ao Registro de Prenda"
"Are you sure you want to add these products?","Tem certeza de que deseja adicionar estes produtos?"
Requested,Pedido
Fulfilled,Preenchida
Note,Nota
"Update Quantity","Update Quantity"
"Remove Item","Remover Item"
"Sharing Information","Compartilhando Informação"
Emails,E-mails
"Share Gift Registry","Compartilhar Registro de Prenda"
"Gift Registry","Registro de presente"
Event,Evento
Recipients,Destinatários
"Event Date","Data do evento"
"Total Items","Total de Itens"
Remaining,Restante
Public,Público
"Gift Registry Types","Gift Registry Types"
"Add Gift Registry Type","Adicione Tipo de Registro de Prenda"
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?"
"Edit '%1' Gift Registry Type","Edit '%1' Gift Registry Type"
"New Gift Registry Type","Novo Tipo de Registro de Prenda"
Short,Pequeno
Medium,Médio
Long,Longo
Full,Completa
"Is Listed","É listado"
"Edit Gift Registry","Editar Registro de Presente"
