None,无
Back,返回
"Update Items and Qty's",更新项目与数量
Product,产品名
Price,价格
Quantity,数量
ID,ID
SKU,产品SKU
Customers,客户
No,否
"Shopping Cart Items",购物车项目
Qty,数量
Action,操作
Total,总数
Edit,编辑
"Unit Price",单价
"Add to Cart",添加到购物车
"First Name",名字
"Last Name",姓氏
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,删除
Save,保存
Yes,是
Name,姓名
Code,代码
Status,状态
"Sort Order",排序顺序
"Save and Continue Edit",保存并继续编辑
Type,类型
Search,搜索
From,来自
To,发送至
"Add New",添加新内容
Website,网站
Next,下一个
"Please wait, loading...",请稍候，正在加载...
View,查看
Actions,操作
Active,活动
"Delete Option",删除选项
"Use Default Value",使用默认值
"We cannot add this item to your shopping cart.","We cannot add this item to your shopping cart."
Qty:,数量：
"Input Type",输入类型
"* Required Fields",*必要字段
Message:,信息：
"General Information",常规信息
label,label
"Delete Attribute",删除属性
Text,文字
"Add Attribute",添加属性
Attributes,属性
"Add New Option",添加新选项
"-- Please select --",--请选择--
"Is Default",为默认值
Role,角色
"Product Name","Product Name"
Inactive,未激活
"New Address",新地址
Country,国家
State/Province,州/省
City,城市
"Zip/Postal Code",邮政编码
"Email Address",编辑电子邮件地址
Company,公司
Address,地址
"Street Address",街道地址
"Street Address %1","Street Address %1"
Telephone,电话
Fax,传真
"Shipping Address",送货地址
"Select a shipping address from your address book or enter a new address.",从您的地址簿选择发货地址，或输入新地址。
Label,标签
Select,选择
%1,%1
Date,日期
"Send From",发送自
"Please enter the first name.",请输入名字。
"Please enter the last name.",请输入姓氏。
"Recipient Email",收件人邮件
Message,信息
"Are you sure you want to delete this gift registry?",您是否确认要删除该礼品注册？
"Delete Registry",删除注册
"Gift Registry Entity",礼品注册实体
"Product ID","产品 ID"
"Add to Gift Registry",添加到礼品注册
"Are you sure you want to add these products?",您是否确认要添加这些产品？
Requested,已请求的数量
Fulfilled,项目满足
Note,注释
"Update Quantity","Update Quantity"
"Remove Item",删除项目
"Sharing Information",分享信息
Emails,电子邮件
"Share Gift Registry",分享礼品卡注册
"Gift Registry",礼品注册
Event,事件
Recipients,收件人
"Event Date",事件日期
"Total Items",总项目
Remaining,剩余
Public,公开
"Gift Registry Types","Gift Registry Types"
"Add Gift Registry Type",添加礼品注册类型
"If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?","If you delete this gift registry type, you also delete customer registries that use this type. Do you want to continue?"
"Edit '%1' Gift Registry Type","Edit '%1' Gift Registry Type"
"New Gift Registry Type",新礼品注册类型
Short,短
Medium,中等
Long,长
Full,完整
"Is Listed","Is Listed"
"Edit Gift Registry",编辑礼品注册
"Create Gift Registry",创建礼品注册
"Please select a region, state or province","Please select a region, state or province"
"Please Select",请选择
"View Gift Registry %1","View Gift Registry %1"
"Share '%1' Gift Registry","Share '%1' Gift Registry"
"Gift Registry Search",礼品注册搜索
"Select Search Type",选择搜索类型
Recipient,收件人
"Registry owner",注册的所有者
"Please correct the  gift registry ID.","Please correct the  gift registry ID."
"New Type",新类型
"Edit Type",编辑类型
"You saved the gift registry type.","You saved the gift registry type."
"We couldn't save this gift registry type.","We couldn't save this gift registry type."
"You deleted the gift registry type.","You deleted the gift registry type."
"We couldn't delete this gift registry type.","We couldn't delete this gift registry type."
"Please correct the gift registry entity.","Please correct the gift registry entity."
"Edit '%1' Gift Registry","Edit '%1' Gift Registry"
"Something went wrong while editing the gift registry.","Something went wrong while editing the gift registry."
"Shopping cart items have been added to gift registry.",购物车项目已经被添加到礼品注册。
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.",实体的，可下载的，以及虚拟礼品卡产品无法添加到礼品注册中。
"Failed to add shopping cart items to gift registry.",将购物车项目添加到礼品注册时失败。
"You updated this gift registry.","You updated this gift registry."
"We couldn't update these gift registry items.","We couldn't update these gift registry items."
"Please enter at least one email address.","Please enter at least one email address."
"%1 email(s) were sent.","%1 email(s) were sent."
"We couldn't send '%1 of %2 emails.","We couldn't send '%1 of %2 emails."
"You deleted this gift registry entity.","You deleted this gift registry entity."
"We couldn't delete this gift registry entity.","We couldn't delete this gift registry entity."
"%1 item(s) have been added to the gift registry.","%1 item(s) have been added to the gift registry."
"We have nothing to add to this gift registry.","We have nothing to add to this gift registry."
"You can't add virtual products, digital products or gift cards to gift registries.","You can't add virtual products, digital products or gift cards to gift registries."
"The wish list item has been added to this gift registry.","The wish list item has been added to this gift registry."
"We couldn’t add your wish list items to your gift registry.","We couldn’t add your wish list items to your gift registry."
"You deleted this gift registry.","You deleted this gift registry."
"Something went wrong while deleting the gift registry.","Something went wrong while deleting the gift registry."
"Something went wrong while sharing the gift registry.","Something went wrong while sharing the gift registry."
"Gift Registry Items",礼品注册项
"You updated the gift registry items.","You updated the gift registry items."
"We couldn't update the gift registry.","We couldn't update the gift registry."
"Something went wrong while sending email(s).","Something went wrong while sending email(s)."
"Please correct the gift registry.","Please correct the gift registry."
"Incorrect Type","Incorrect Type"
"Please correct the recipient data.","Please correct the recipient data."
"Address is empty.",地址为空。
"Please select an address.","Please select an address."
