Price,Precio
ID,ID
Action,Acción
"Excl. Tax","Sin impuestos"
"Incl. Tax","Impuestos incluidos"
Edit,Editar
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,Eliminar
Status,Progreso
Disabled,Deshabilitado
Enabled,Habilitado
"Save and Continue Edit","Grabar y Continuar Editando"
"Please select items.","Por favor, selecciona artículos."
"Use Default Value","Usar Valor por Defecto"
Websites,"Páginas Web"
"Change status","Cambiar estado"
Image,Imagen
Design,Diseñar
Preview,Preview
%1,%1
"Please select","Por favor, selecciona"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"Gift Wrapping","Papel para regalo"
"Add Gift Wrapping","Añadir papel para regalo"
"Are you sure you want to delete this gift wrapping?","¿Estás seguro de querer eliminar este papel de regalo?"
"Edit Gift Wrapping ""%1""","Edit Gift Wrapping ""%1"""
"New Gift Wrapping","Nuevo papel para regalo"
"Gift Wrapping Information","Información de papel para regalo"
"Gift Wrapping Design","Diseño de papel para regalo"
"Please request the correct gift wrapping.","Please request the correct gift wrapping."
"You have not uploaded the image.","You have not uploaded the image."
"You saved the gift wrapping.","You saved the gift wrapping."
"We couldn't save the gift wrapping.","We couldn't save the gift wrapping."
"You have not updated the image.","You have not updated the image."
"You updated a total of %1 records.","You updated a total of %1 records."
"Something went wrong while updating the wrapping(s) status.","Something went wrong while updating the wrapping(s) status."
"You deleted the gift wrapping.","You deleted the gift wrapping."
"Gift Wrapping for Order (Excl. Tax)","Papel para regalo para Pedido (Sin impuestos)"
"Gift Wrapping for Order (Incl. Tax)","Papel para regalo para Pedido (Impuestos incluidos)"
"Gift Wrapping for Order","Papel para regalo para Pedido"
"Gift Wrapping for Items (Incl. Tax)","Papel para regalo para artículos (Impuestos incluidos)"
"Gift Wrapping for Items (Excl. Tax)","Papel para regalo para artículos (Sin impuestos)"
"Gift Wrapping for Items","Papel para regalo para artículos"
"Printed Card (Incl. Tax)","Tarjeta impresa (Impuestos incluidos)"
"Printed Card (Excl. Tax)","Tarjeta impresa (Sin impuestos)"
"Printed Card","Tarjeta impresa"
"You can leave a box blank if you don't wish to add a gift wrap for whole order","Puedes dejar una casilla en blanco si no deseas añadir un envoltorio de regalo al pedido completo"
"Price Excl. Tax","Precio sin impuestos"
"Price Incl. Tax","Precio con impuestos incluidos"
"Send Gift Receipt","Enviar recibo del regalo"
"Add Printed Card","Añadir tarjeta impresa"
"Gift Wrapping for the Entire Order","Papel para regalo para el Pedido completo"
"Other Gift Options","Other Gift Options"
"Custom Price","Custom Price"
"Allow Gift Wrapping on Order Level","Allow Gift Wrapping on Order Level"
"Allow Gift Wrapping for Order Items","Allow Gift Wrapping for Order Items"
"Allow Gift Receipt","Allow Gift Receipt"
"Allow Printed Card","Allow Printed Card"
"Default Price for Printed Card","Default Price for Printed Card"
"Tax Class for Gift Options","Tax Class for Gift Options"
"Display Gift Wrapping Prices","Display Gift Wrapping Prices"
"Display Printed Card Prices","Display Printed Card Prices"
"Are you sure you want to delete the selected gift wrappings?","¿Estás seguro de querer eliminar los papeles para regalo seleccionados?"
"Gift Wrap Design","Gift Wrap Design"
"None","None"
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"Including and Excluding Tax","Including and Excluding Tax"
