Price,Prijs
ID,ID
Action,Actie
"Excl. Tax","Excl. BTW"
"Incl. Tax","Incl. BTW"
Edit,Bewerken
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,Verwijderen
Status,Status
Disabled,Uitgeschakeld
Enabled,Aan
"Save and Continue Edit","Opslaan en doorgaan met bewerken"
"Please select items.","Selecteer artikelen."
"Use Default Value","Standaardwaarde gebruiken"
Websites,Websites
"Change status","Verander status"
Image,Beeld
Design,Ontwerp
Preview,Preview
%1,%1
"Please select",Selecteer
"You deleted a total of %1 records.","You deleted a total of %1 records."
"Gift Wrapping",Cadeauservice
"Add Gift Wrapping","Cadeaupapier toevoegen"
"Are you sure you want to delete this gift wrapping?","Weet u zeker dat u de cadeauverpakking wilt verwijderen?"
"Edit Gift Wrapping ""%1""","Edit Gift Wrapping ""%1"""
"New Gift Wrapping","Nieuwe cadeauverpakking"
"Gift Wrapping Information","Cadeauservice informatie"
"Gift Wrapping Design","Cadeaupapier ontwerp"
"Please request the correct gift wrapping.","Please request the correct gift wrapping."
"You have not uploaded the image.","You have not uploaded the image."
"You saved the gift wrapping.","You saved the gift wrapping."
"We couldn't save the gift wrapping.","We couldn't save the gift wrapping."
"You have not updated the image.","You have not updated the image."
"You updated a total of %1 records.","You updated a total of %1 records."
"Something went wrong while updating the wrapping(s) status.","Something went wrong while updating the wrapping(s) status."
"You deleted the gift wrapping.","You deleted the gift wrapping."
"Gift Wrapping for Order (Excl. Tax)","Cadeauverpakking voor bestelling (excl. BTW)"
"Gift Wrapping for Order (Incl. Tax)","Cadeauverpakking voor bestelling (incl. BTW)"
"Gift Wrapping for Order","Cadeauverpakking voor bestelling"
"Gift Wrapping for Items (Incl. Tax)","Cadeauverpakking voor artikelen (incl. BTW)"
"Gift Wrapping for Items (Excl. Tax)","Cadeauverpakking voor artikelen (excl. BTW)"
"Gift Wrapping for Items","Cadeaupapier voor artikelen"
"Printed Card (Incl. Tax)","Gedrukte kaart (incl. BTW)"
"Printed Card (Excl. Tax)","Gedrukte kaart (excl. BTW)"
"Printed Card","Gedrukte kaart"
"You can leave a box blank if you don't wish to add a gift wrap for whole order","U kunt een veld leeglaten als u geen cadeauverpakking voor de hele bestelling wenst"
"Price Excl. Tax","Prijs excl. BTW"
"Price Incl. Tax","Prijs incl. BTW"
"Send Gift Receipt","Stuur betaalbewijs cadeau"
"Add Printed Card","Geprint Kaartje Toevoegen"
"Gift Wrapping for the Entire Order","Cadeauverpakking voor gehele bestelling"
"Other Gift Options","Other Gift Options"
"Custom Price","Custom Price"
"Allow Gift Wrapping on Order Level","Allow Gift Wrapping on Order Level"
"Allow Gift Wrapping for Order Items","Allow Gift Wrapping for Order Items"
"Allow Gift Receipt","Allow Gift Receipt"
"Allow Printed Card","Allow Printed Card"
"Default Price for Printed Card","Default Price for Printed Card"
"Tax Class for Gift Options","Tax Class for Gift Options"
"Display Gift Wrapping Prices","Display Gift Wrapping Prices"
"Display Printed Card Prices","Display Printed Card Prices"
"Are you sure you want to delete the selected gift wrappings?","Weet u zeker dat u de geselecteerde cadeauverpakking wilt annuleren?"
"Gift Wrap Design","Gift Wrap Design"
