Price,Preço
ID,Identidade
Action,Ação
"Excl. Tax","Excluir taxas"
"Incl. Tax","Incluir taxas"
Edit,Editar
[GLOBAL],[GLOBAL]
[WEBSITE],[WEBSITE]
"[STORE VIEW]","[STORE VIEW]"
Delete,Excluir
Status,Status
Disabled,Desativado
Enabled,Ativado
"Save and Continue Edit","Salvar e continuar a editar"
"Please select items.","Favor selecionar itens."
"Use Default Value","Utilizar valor padrão"
Websites,Sites
"Change status","Alterar status"
Image,Imagem
Design,Design
Preview,Preview
%1,%1
"Please select","Favor selecionar"
"You deleted a total of %1 records.","You deleted a total of %1 records."
"Gift Wrapping",Embrulho
"Add Gift Wrapping","Adicione Embrulho"
"Are you sure you want to delete this gift wrapping?","Tem certeza de que deseja excluir este embrulho?"
"Edit Gift Wrapping ""%1""","Edit Gift Wrapping ""%1"""
"New Gift Wrapping","Novo Embrulho"
"Gift Wrapping Information","Informações do Embrulho"
"Gift Wrapping Design","Design do Embrulho"
"Please request the correct gift wrapping.","Please request the correct gift wrapping."
"You have not uploaded the image.","You have not uploaded the image."
"You saved the gift wrapping.","You saved the gift wrapping."
"We couldn't save the gift wrapping.","We couldn't save the gift wrapping."
"You have not updated the image.","You have not updated the image."
"You updated a total of %1 records.","You updated a total of %1 records."
"Something went wrong while updating the wrapping(s) status.","Something went wrong while updating the wrapping(s) status."
"You deleted the gift wrapping.","You deleted the gift wrapping."
"Gift Wrapping for Order (Excl. Tax)","Embrulho para Pedidos (Excl. Imp.)"
"Gift Wrapping for Order (Incl. Tax)","Embrulho para Pedidos (Incl. Imp.)"
"Gift Wrapping for Order","Embrulho para Pedidos"
"Gift Wrapping for Items (Incl. Tax)","Embrulho para Itens (Incl. Imp.)"
"Gift Wrapping for Items (Excl. Tax)","Embrulho para Itens (Excl. Imp.)"
"Gift Wrapping for Items","Embrulho para Itens"
"Printed Card (Incl. Tax)","Cartão Impresso (Incl. Imp.)"
"Printed Card (Excl. Tax)","Cartão Impresso (Excl. Imp.)"
"Printed Card","Cartão Impresso"
"You can leave a box blank if you don't wish to add a gift wrap for whole order","Você pode deixar uma caixa em branco se você não quiser adicionar um embrulho para toda a ordem"
"Price Excl. Tax","Preço Excl. Imp."
"Price Incl. Tax","Preço Incl. Imp."
"Send Gift Receipt","Enviar Recibo de Presente"
"Add Printed Card","Adicionar Cartão Impresso"
"Gift Wrapping for the Entire Order","Embrulho para o Pedido Total"
"Other Gift Options","Other Gift Options"
"Custom Price","Custom Price"
"Allow Gift Wrapping on Order Level","Allow Gift Wrapping on Order Level"
"Allow Gift Wrapping for Order Items","Allow Gift Wrapping for Order Items"
"Allow Gift Receipt","Allow Gift Receipt"
"Allow Printed Card","Allow Printed Card"
"Default Price for Printed Card","Default Price for Printed Card"
"Tax Class for Gift Options","Tax Class for Gift Options"
"Display Gift Wrapping Prices","Display Gift Wrapping Prices"
"Display Printed Card Prices","Display Printed Card Prices"
"Are you sure you want to delete the selected gift wrappings?","Tem certeza de que deseja excluir os embrulhos selecionados?"
"Gift Wrap Design","Gift Wrap Design"
