Back,Zurück
ID,ID
Customers,Kunden
"First Name",Vorname
"Last Name",Nachname
Email,E-Mail
General,Allgemein
Name,Name
Status,Status
"Store View",Shop-Ansicht
"Are you sure you want to do this?","Sind Sie sicher, dass Sie das tun möchten?"
Website,Webseite
N/A,N/A
"* Required Fields","* Pflichtfelder"
"Customer Group",Kundengruppe
"Send From","Versenden von"
Sent,Versendet
"Not Sent","Nicht versendet"
"Bad request.","Bad request."
Admin,Admin
Reports,Berichte
Message,Nachricht
Invitations,Einladungen
"Add Invitations","Einladungen hinzufügen"
"New Invitations","Neue Einladungen"
"Invitations Information","Informationen über Einladungen"
"Enter Each Email on New Line","Jede E-Mail in einer neuen Zeile eingeben"
"Invitee Group","Gruppe der Eingeladenen"
"View Invitation for %1 (ID: %2)","View Invitation for %1 (ID: %2)"
"Discard Invitation","Einladung verwerfen"
"Are you sure you want to discard this invitation?","Sind Sie sicher, dass Sie diese Einladung verwerfen möchten?"
"Save Invitation","Einladung speichern"
"Send Invitation","Einladung senden"
"Default from System Configuration","Standard aus der System-Konfiguration"
"Status History",Status-Verlauf
"Order Conversion Rate","Umwandlungsquote in Bestellungen"
"We couldn't find this invitation.","We couldn't find this invitation."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","We sent %1 invitation(s)."
"Something went wrong sending %1 of %2 invitations.","Something went wrong sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses."
"The invitation has been saved.","Die Einladung wurde gespeichert."
"Please select invitations.","Bitte wählen Sie Einladungen aus."
"No invitations have been resent.","No invitations have been resent."
"We sent %1 of %2 invitations.","We sent %1 of %2 invitations."
"Something went wrong sending %1 invitations.","Something went wrong sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Invitations Report","Invitations Report"
"General Report","Allgemeiner Bericht"
"Invited Customers Report","Invited Customers Report"
"Invitation Report by Customers","Einladungsbericht nach Kunden"
"Conversion Rate Report","Conversion Rate Report"
"Invitation Report by Order Conversion Rate","Einladungs-Bericht nach Umwandlungsquote in Bestellungen"
"Your invitation is not valid. Please create an account.","Ihre Einladung ist nicht gültig. Bitte erstellen Sie ein Konto."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"Unable to save the customer.","Unable to save the customer."
"Wrong confirmation key.","Wrong confirmation key."
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong sending an email to %1.","Something went wrong sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Einladungen senden"
"My Invitations","Meine Einladungen"
"Max Invitations Allowed to be Sent at One Time","Maximale Anzahl von Einladungen, die zu einem Zeitpunkt versendet werden dürfen"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","Identisch mit dem Einladenden"
"Default Customer Group from System Configuration","Standard-Kundengruppe aus der System-Konfiguration"
"By Invitation Only","Nur auf Einladung"
"Available to All","Verfügbar für alle"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We couldn't find an ID for this invitation.","We couldn't find an ID for this invitation."
"We cannot send an invitation with status ""%1"".","We cannot send an invitation with status ""%1""."
"Please correct the invalid or empty invitation email.","Please correct the invalid or empty invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Diese Einladung ist nicht gültig."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Einladung für dieselbe E-Mail-Adresse"
Accepted,Akzeptiert
Discarded,Verworfen
"Invitation Information",Einladungs-Informationen
"Send At","Versenden am"
"Invitation Message",Einladungs-Nachricht
"Signed Up At","Angemeldet am"
"Invitation URL","Invitation URL"
Link,Link
"Invitee Information","Informationen über die Eingeladenen"
"Customer ID",Kunden-ID
"Sign Up At","Anmelden am"
"Inviter Information","Informationen über den Einladenden"
"Invite your friends by entering their email addresses.","Invite your friends by entering their email addresses."
"Back to Invitations","Zurück zu den Einladungen"
"You cannot send more invitations","Sie können keine weiteren Einladungen versenden"
"There are no sent invitations.","There are no sent invitations."
Group,Gruppe
"Customer Invitations",Kunden-Einladungen
"Discard Selected","Ausgewähltes verwerfen"
"Send Selected","Ausgewählte senden"
Invitee,Eingeladene/r
Registered,Registriert
"Valid Website","Gültig auf Webseite"
"Invitations Sent","Versendete Einladungen"
"Invitations Accepted","Angenommene Einladungen"
"Accept Rate",Akzeptanzquote
"Discard Rate",Verwerfungsquote
"Accepted and Purchased","Akzeptiert und Eingekauft"
"Conversion Rate",Umsetzungsquote
