Back,Voltar
ID,Identidade
Customers,Clientes
"First Name","Primeiro nome"
"Last Name","Último nome"
Email,E-mail
General,Geral
Name,Nome
Status,Status
"Store View","Visualização da loja"
"Are you sure you want to do this?","Tem certeza de que quer fazer isso?"
Website,Website
N/A,Indisponível
"* Required Fields","* Campos obrigatórios"
"Customer Group","Grupo de Clientes"
"Send From","Enviar De"
Sent,Enviado
"Not Sent","Não Enviado"
"Bad request.","Bad request."
Admin,Admin
Reports,Relatórios
Message,Mensagem
Invitations,Convites
"Add Invitations","Adicionar Convites"
"New Invitations","Novos Convites"
"Invitations Information","Informação de Convites"
"Enter Each Email on New Line","Insira um email por linha."
"Invitee Group","Grupo de Convidados"
"View Invitation for %1 (ID: %2)","View Invitation for %1 (ID: %2)"
"Discard Invitation","Descartar Convite"
"Are you sure you want to discard this invitation?","Tem certeza de que deseja descartar este convite?"
"Save Invitation","Salvar Convite"
"Send Invitation","Enviar Convite"
"Default from System Configuration","Padrão da Configuração do Sistema"
"Status History","Histórico de Status"
"Order Conversion Rate","Taxa de Conversão de Pedido"
"We couldn't find this invitation.","We couldn't find this invitation."
"Please specify at least one email address.","Please specify at least one email address."
"We sent %1 invitation(s).","We sent %1 invitation(s)."
"Something went wrong sending %1 of %2 invitations.","Something went wrong sending %1 of %2 invitations."
"%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses.","%1 invitation(s) were not sent, because customer accounts already exist for specified email addresses."
"The invitation has been saved.","O convite foi enviado"
"Please select invitations.","Por favor selecione convites."
"No invitations have been resent.","No invitations have been resent."
"We sent %1 of %2 invitations.","We sent %1 of %2 invitations."
"Something went wrong sending %1 invitations.","Something went wrong sending %1 invitations."
"We discarded %1 invitation(s) addressed to current customers.","We discarded %1 invitation(s) addressed to current customers."
"We discarded %1 of %2 invitations.","We discarded %1 of %2 invitations."
"We skipped %1 of the selected invitations.","We skipped %1 of the selected invitations."
"Invitations Report","Invitations Report"
"General Report","Relatório Geral"
"Invited Customers Report","Invited Customers Report"
"Invitation Report by Customers","Relatório de Convite por Clientes"
"Conversion Rate Report","Conversion Rate Report"
"Invitation Report by Order Conversion Rate","Relatório de Convite por Taxa de Conversão de Ordem"
"Your invitation is not valid. Please create an account.","Seu convite não é válido. Por favor crie uma conta."
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"Unable to save the customer.","Unable to save the customer."
"Wrong confirmation key.","Wrong confirmation key."
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong sending an email to %1.","Something went wrong sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Enviar Convites"
"My Invitations","Meus Convites"
"Max Invitations Allowed to be Sent at One Time","Número Máximo de Convites Permitidos para Envio Simultaneamente"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","O mesmo que o Convidador"
"Default Customer Group from System Configuration","Grupo de Cliente Padrão da Configuração do Sistema"
"By Invitation Only","Apenas por convite"
"Available to All","Disponível para Todos"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We couldn't find an ID for this invitation.","We couldn't find an ID for this invitation."
"We cannot send an invitation with status ""%1"".","We cannot send an invitation with status ""%1""."
"Please correct the invalid or empty invitation email.","Please correct the invalid or empty invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","Este convite não é válido."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Convite para o mesmo endereço de e-mail"
Accepted,Aceite
Discarded,Descartado.
"Invitation Information","Informação de Convite"
"Send At","Enviado em"
"Invitation Message","Mensagem de Convite"
"Signed Up At","Registrado em"
"Invitation URL","Invitation URL"
Link,Link
"Invitee Information","Informações de quem convidou"
"Customer ID","ID do Cliente"
"Sign Up At","Registro em"
"Inviter Information","Informação do Convidador"
"Invite your friends by entering their email addresses.","Invite your friends by entering their email addresses."
"Back to Invitations","Voltar para Convites"
"You cannot send more invitations","Você não pode enviar mais convites"
"There are no sent invitations.","There are no sent invitations."
Group,Grupo
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Frontend","Enable Invitations on Frontend"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","Convites ao Cliente"
"Discard Selected","Descartar o(s) item(ns) selecionado(s)."
"Send Selected","Enviar Selecionados"
Invitee,Convidado
Registered,Registrado
"Valid Website","Válido no Site"
"Invitations Sent","Convites Enviados"
"Invitations Accepted","Convites Aceites"
"Accept Rate","Taxa de Aceitação"
"Discard Rate","Descartar Taxa"
"Accepted and Purchased","Aceite e Comprado"
"Conversion Rate","Taxa de Conversão"
"Wrong customer account specified.","Conta especificada de cliente errada."
