No,No
Previous,Previous
Position,Position
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Remove This Item","Remove This Item"
"Clear All","Clear All"
"Use In Layered Navigation","Gebruik in Layered Navigatie"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Can be used only with catalog input type Dropdown, Multiple Select and Price"
"Filterable (with results)","Filterable (with results)"
"Filterable (no results)","Filterable (no results)"
"Use In Search Results Layered Navigation","Gebruik in Zoek Resultaten een Gelaagde Navigatie"
"Position in Layered Navigation","Position in Layered Navigation"
"Position of attribute in layered navigation block","Position of attribute in layered navigation block"
"Use in Layered Navigation","Use in Layered Navigation"
"Currently Shopping by:","Currently Shopping by:"
