Back,Terug
Apply,Toepassen
Customers,klanten
Action,actie
Edit,Bewerken
Email,Email
Delete,Verwijderen
Save,Opslaan
"Custom Variables","Aangepaste Variabelen"
Export,Export
"Cache Management","Cache Management"
"Manage Stores","Beheer Winkels"
"URL Rewrites","URL Rewrites"
"IP Address","IP Adres"
"Access denied","Toegang geweigerd"
Time,Tijd
View,Bekijk
N/A,n.v.t.
label,label
Import,Import
"Catalog Price Rules","Catalogusprijs Regels"
"Customer Groups",Klantengroepen
"Catalog Search","Catalogus Doorzoeken"
Login,"Log in"
"Checkout Terms and Conditions","Algemene Voorwaarden Afrekenen"
Daily,Dagelijks
Weekly,Wekelijks
Monthly,Maandelijks
"Manage Currency Rates","Beheer Wisselkoersen"
Date,Datum
Reports,Rapporten
"Transactional Emails","Transactionele e-mails"
New,Nieuw
"Index Management","Index Management"
Username,Gebruikersnaam
"Admin Actions Log Archive","Admin Actief Logboek"
"Log Entry #%1","Log Entry #%1"
"Log Entry Details","Log Entry Details"
"Source Data",Brongegevens
"Value Before Change","Waarde voor wijzigen"
"Value After Change","Waarde na wijzigen"
"No changes","Geen veranderingen"
"Item was deleted","Item is verwijdert"
"All Users","Alle Gebruikers"
"Admin Actions Log","Admin Acties Logboek"
Report,Verslag
"Admin Actions Archive","Admin Actions Archive"
"actions' 'label","actions' 'label"
"%1 & applied","%1 & applied"
"Tax Rates Import","Import Belastingtarieven"
"Attributes Updated","Attributen Bijwerken"
"Currency Rates Saved","Wisselkoersen Opgeslagen"
"Cache types: %1 ","Cache types: %1 "
"Tax Rates Export","Export Belastingtarieven"
"User is locked","Gebruiker is geblokkeerd"
Success,Succes
Failure,Mislukking
"Admin User Data","Beheerder Gebruikers Data"
"Aggregated Information","Geaggregeerde Informatie"
"Admin User ID","Beheerder Gebruikers ID"
"Admin User Name","Beheerders Gebruikersnaam"
IP-Address,IP-Adres
"X-Forwarded For","X-Forwarded Voor"
"Error Message",Foutbericht
"Related Changes","Verwante Wijzigingen"
"Newsletter Templates","Nieuwsbrief Templates"
"Newsletter Queue","Nieuwsbrief Rij"
"Newsletter Subscribers",Nieuwsbriefabonnees
"PayPal Settlement Reports","PayPal Overeenstemmings Rapporten"
"Recurring Billing Payments","Recurring Billing Payments"
CSV,CSV
"Excel XML","Excel XML"
Print,Printen
Reorder,"Opnieuw bestellen"
Fetch,"Haal op"
"Cart Price Rules","Cart Price Rules"
"XML Sitemap","XML Sitemap"
"Tax Rules","Fiscale regels"
"CMS Pages","CMS pagina's"
Rollback,Terugrollen
"Google Shopping","Google Shopping"
"Admin Actions Log Archiving","Admin Actions Log Archiving"
"Log Entry Lifetime, Days","Log Entry Lifetime, Days"
"Log Archiving Frequency","Log Archiving Frequency"
"Admin Actions Logging","Admin Actions Logging"
"Enabled Actions","Enabled Actions"
1,één
"Mass Delete","Massaal verwijderen"
"Mass Update","Massaal bijwerken"
Move,Verplaats
"Forgot Password","Wachtwoord vergeten"
"Global Search","Globale zoektocht"
Run,Run
"Reindex Process",Herindexeren
Clean,Opschonen
Flush,Wissen
"Update Payment","Profiel bijwerken"
"Update State","Staat bijwerken"
Send,Verzenden
Create,"Maak aan"
"Catalog Products","Catalogus Producten"
"Catalog Categories","Catalogus Categorieën"
"Catalog Ratings","Catalogus Becijfering"
"Catalog Reviews","Catalogus Beoordelingen"
"Catalog Attributes","Catalogus Eigenschappen"
"Catalog Product Templates","Catalog Product Templates"
"Admin Sign In","Beheerder Aanmelden"
"CMS Blocks","CMS Blokken"
"System Configuration",Systeemconfiguratie
"Admin My Account","Beheerder Mijn Account"
"Sales Orders","Verkoop Bestellingen"
"Sales Order Status","Verkoop Bestellings Status"
"Sales Invoices",Verkoopfacturen
"Sales Shipments","Verkoop Zendingen"
"Sales Credit Memos",Verkoopcreditnota's
"Admin Permission Roles","Beheerder Toestemming Rollen"
"Admin Permission Users","Beheerder Toestemming Gebruikers"
"Manage Websites","Beheer Websites"
"Manage Store Views","Beheren Winkel Views"
"Manage Design","Beheer Ontwerp"
"System Backups","Systeem back-ups"
"Customer Tax Classes","Klant Belasting Klassen"
"Catalog Product Tax Classes","Winkel Product Belasting klassen"
"Tax Rates",Belastingtarieven
"Frontend App Instance","Frontend App Instance"
"Archive File","Archief Bestand"
"Action Group","Actie Groep"
Result,Resultaat
"Full Action Name","Volledige Actienaam"
"Short Details","Korte Details"
"Full Details","Volledige Details"
