Magento,Magento
"The hash is not valid.","The hash is not valid."
"The order is not valid.","The order is not valid."
"Start Ogone Processing","Ogone-Bearbeitung starten"
"Can't detect Ogone payment action","Ogone Zahlungsvorgang konnte nicht erkannt werden"
"The order cannot be saved.","Die Bestellung kann nicht gespeichert werden."
"Authorization Waiting from Ogone","Warte auf Authorisierung von Ogone"
"Processed by Ogone","Durch Ogone bearbeitet"
"Order can't save","Bestellung kann/nicht gespeichert werden"
"Something went wrong during the payment process, and so the result is unpredictable.","Something went wrong during the payment process, and so the result is unpredictable."
"Something went wrong during the authorization process, and so the result is unpredictable.","Something went wrong during the authorization process, and so the result is unpredictable."
"Unknown exception","Unbekannte Ausnahme"
"Something went wrong while saving this order.","Something went wrong while saving this order."
"Exception not defined","Ausnahme ist nicht definiert"
"Declined Order on Ogone side","Declined Order on Ogone side"
"The payment transaction has been declined.","The payment transaction has been declined."
"The order was canceled on the Ogone side.","The order was canceled on the Ogone side."
"Something went wrong while canceling this order.","Something went wrong while canceling this order."
"Ogone Default Operation","Ogone Standard-Operation"
Authorization,Berechtigung
"Direct Sale",Direktverkauf
"Horizontally grouped logo with group name on left","horizontal angeordnetes Logo mit dem Gruppennamen links"
"Horizontally grouped logo with no group name","horizontal angeordnetes Logo ohne Gruppenname"
"Verical list","Vertikale Liste"
Ogone,Ogone
"Pending Ogone","Ogone in Bearbeitung"
"Cancelled Ogone","Ogone wurde abgebrochen"
"Declined Ogone","Ogone wurde abgelehnt"
"Processing Ogone Payment","Ogone-Zahlung in Bearbeitung"
"Processed Ogone Payment","Bearbeitete Ogone-Zahlung"
"Waiting Authorization","Erwarte Authorisierung"
"Payment ID: %1","Payment ID: %1"
"You will be redirected to Ogone website when you place an order.","Sie werden weitergeleitet zur Ogone-Webseite, wenn Sie eine Bestellung aufgeben."
"Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway.","Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway."
