Magento,Magento
"The hash is not valid.","The hash is not valid."
"The order is not valid.","The order is not valid."
"Start Ogone Processing","Start Ogone Processing"
"Can't detect Ogone payment action","Can't detect Ogone payment action"
"The order cannot be saved.","The order cannot be saved."
"Authorization Waiting from Ogone","Authorization Waiting from Ogone"
"Processed by Ogone","Processed by Ogone"
"Order can't save","Order can't save"
"Something went wrong during the payment process, and so the result is unpredictable.","Something went wrong during the payment process, and so the result is unpredictable."
"Something went wrong during the authorization process, and so the result is unpredictable.","Something went wrong during the authorization process, and so the result is unpredictable."
"Unknown exception","Unknown exception"
"Something went wrong while saving this order.","Something went wrong while saving this order."
"Exception not defined","Exception not defined"
"Declined Order on Ogone side","Declined Order on Ogone side"
"The payment transaction has been declined.","The payment transaction has been declined."
"The order was canceled on the Ogone side.","The order was canceled on the Ogone side."
"Something went wrong while canceling this order.","Something went wrong while canceling this order."
"Ogone Default Operation","Ogone Default Operation"
Authorization,Authorization
"Direct Sale","Direct Sale"
"Horizontally grouped logo with group name on left","Horizontally grouped logo with group name on left"
"Horizontally grouped logo with no group name","Horizontally grouped logo with no group name"
"Verical list","Verical list"
Ogone,Ogone
"Pending Ogone","Pending Ogone"
"Cancelled Ogone","Cancelled Ogone"
"Declined Ogone","Declined Ogone"
"Processing Ogone Payment","Processing Ogone Payment"
"Processed Ogone Payment","Processed Ogone Payment"
"Waiting Authorization","Waiting Authorization"
"Payment ID: %1","Payment ID: %1"
"You will be redirected to Ogone website when you place an order.","You will be redirected to Ogone website when you place an order."
"Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway.","Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway."
