Magento,Magento
"The hash is not valid.","The hash is not valid."
"The order is not valid.","The order is not valid."
"Start Ogone Processing","Iniciar Procesamiento Ogone"
"Can't detect Ogone payment action","No se puede detectar la acción de pago de Ogone"
"The order cannot be saved.","El pedido no puede ser guardado."
"Authorization Waiting from Ogone","Autorización en espera de Ogone"
"Processed by Ogone","Procesado por Ogone"
"Order can't save","La solicitud no se puede archivar"
"Something went wrong during the payment process, and so the result is unpredictable.","Something went wrong during the payment process, and so the result is unpredictable."
"Something went wrong during the authorization process, and so the result is unpredictable.","Something went wrong during the authorization process, and so the result is unpredictable."
"Unknown exception","Excepción desconocida"
"Something went wrong while saving this order.","Something went wrong while saving this order."
"Exception not defined","Excepción no definida."
"Declined Order on Ogone side","Declined Order on Ogone side"
"The payment transaction has been declined.","The payment transaction has been declined."
"The order was canceled on the Ogone side.","The order was canceled on the Ogone side."
"Something went wrong while canceling this order.","Something went wrong while canceling this order."
"Ogone Default Operation","Operación por Defecto de Ogone"
Authorization,Autorización
"Direct Sale","Venta directa"
"Horizontally grouped logo with group name on left","Logo agrupado horizontalmente con el nombre del grupo a la izquierda"
"Horizontally grouped logo with no group name","Logo agrupado horizontalmente sin nombre del grupo"
"Verical list","Lista vertical"
Ogone,Ogone
"Pending Ogone","Ogone pendiente"
"Cancelled Ogone","Ogone cancelado"
"Declined Ogone","Ogone rechazado"
"Processing Ogone Payment","Procesando Pago de Ogone"
"Processed Ogone Payment","Pago de Ogone procesado"
"Waiting Authorization","Esperando Autorización"
"Payment ID: %1","Payment ID: %1"
"You will be redirected to Ogone website when you place an order.","Serás redirigido/a a la página web de Ogone cuando hagas un pedido."
"Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway.","Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway."
