Magento,Magento
"The hash is not valid.","The hash is not valid."
"The order is not valid.","The order is not valid."
"Start Ogone Processing","Commencer traitement Ogone"
"Can't detect Ogone payment action","N'arrive pas à détecter le paiement par Ogone."
"The order cannot be saved.","La commande ne peut être sauvegardée."
"Authorization Waiting from Ogone","Autorisation en attente d'Ogone"
"Processed by Ogone","Traité par Ogone"
"Order can't save","Impossible de sauvegarder commande"
"Something went wrong during the payment process, and so the result is unpredictable.","Something went wrong during the payment process, and so the result is unpredictable."
"Something went wrong during the authorization process, and so the result is unpredictable.","Something went wrong during the authorization process, and so the result is unpredictable."
"Unknown exception","Exception inconnue"
"Something went wrong while saving this order.","Something went wrong while saving this order."
"Exception not defined","Exception non définie."
"Declined Order on Ogone side","Declined Order on Ogone side"
"The payment transaction has been declined.","The payment transaction has been declined."
"The order was canceled on the Ogone side.","The order was canceled on the Ogone side."
"Something went wrong while canceling this order.","Something went wrong while canceling this order."
"Ogone Default Operation","Opération par défaut Ogone"
Authorization,Autorisation
"Direct Sale","Vente directe"
"Horizontally grouped logo with group name on left","Logo regroupé horizontalement, avec le nom du groupe à gauche."
"Horizontally grouped logo with no group name","Logo regroupé horizontalement, sans nom de groupe."
"Verical list","Liste verticale"
Ogone,Ogone
"Pending Ogone","En attente Ogone"
"Cancelled Ogone","Ogone annulé."
"Declined Ogone","Ogone refusé."
"Processing Ogone Payment","Paiement Ogone en cours de traitement"
"Processed Ogone Payment","Paiement Ogone traité"
"Waiting Authorization","En attente d'autorisation"
"Payment ID: %1","Payment ID: %1"
"You will be redirected to Ogone website when you place an order.","Vous serez redirigé vers le site Internet d'Ogone lorsque vous aurez passé votre commande."
"Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway.","Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway."
