Magento,Magento
"The hash is not valid.","The hash is not valid."
"The order is not valid.","The order is not valid."
"Start Ogone Processing","Begin Ogone Verwerking"
"Can't detect Ogone payment action","Kan Ogone Betalingsactie niet vinden"
"The order cannot be saved.","De bestelling kan niet worden opgeslagen."
"Authorization Waiting from Ogone","Wacht op autorisatie van Ogone"
"Processed by Ogone","Verwerkt door Ogone"
"Order can't save","Bestelling kan niet opgeslagen worden"
"Something went wrong during the payment process, and so the result is unpredictable.","Something went wrong during the payment process, and so the result is unpredictable."
"Something went wrong during the authorization process, and so the result is unpredictable.","Something went wrong during the authorization process, and so the result is unpredictable."
"Unknown exception","Onbekende uitzondering"
"Something went wrong while saving this order.","Something went wrong while saving this order."
"Exception not defined","Uitzondering niet gedefinieerd"
"Declined Order on Ogone side","Declined Order on Ogone side"
"The payment transaction has been declined.","The payment transaction has been declined."
"The order was canceled on the Ogone side.","The order was canceled on the Ogone side."
"Something went wrong while canceling this order.","Something went wrong while canceling this order."
"Ogone Default Operation","Ogone Standaard Operatie"
Authorization,Autorisatie
"Direct Sale","Rechtstreekse Verkoop"
"Horizontally grouped logo with group name on left","Horizontaal gegroepeerd logo met de groep naam links"
"Horizontally grouped logo with no group name","Horizontaal gegroepeerd logo zonder groepsnaam"
"Verical list","Vericale lijst"
Ogone,Ogone
"Pending Ogone","In afwachting van Ogone"
"Cancelled Ogone","Ogone Geannuleerd"
"Declined Ogone","Ogone Afgewezen"
"Processing Ogone Payment","Verwerking van de Ogone Betaling"
"Processed Ogone Payment","Verwerkte Ogone Betalingen"
"Waiting Authorization","Wachten op Authorisatie"
"Payment ID: %1","Payment ID: %1"
"You will be redirected to Ogone website when you place an order.","U wordt teruggeleid naar de Ogone website als u een bestelling plaatst."
"Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway.","Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway."
