Magento,Magento
"The hash is not valid.","The hash is not valid."
"The order is not valid.","The order is not valid."
"Start Ogone Processing","Iniciar Processamento Ogone"
"Can't detect Ogone payment action","Não é possível detetar a ação de pagamento Ogone"
"The order cannot be saved.","A ordem não pode ser salva."
"Authorization Waiting from Ogone","Esperando Autorização de Ogone"
"Processed by Ogone","Processado por Ogone"
"Order can't save","Não pode salvar ordem"
"Something went wrong during the payment process, and so the result is unpredictable.","Something went wrong during the payment process, and so the result is unpredictable."
"Something went wrong during the authorization process, and so the result is unpredictable.","Something went wrong during the authorization process, and so the result is unpredictable."
"Unknown exception","Exceção desconhecida"
"Something went wrong while saving this order.","Something went wrong while saving this order."
"Exception not defined","Exceção não definida"
"Declined Order on Ogone side","Declined Order on Ogone side"
"The payment transaction has been declined.","The payment transaction has been declined."
"The order was canceled on the Ogone side.","The order was canceled on the Ogone side."
"Something went wrong while canceling this order.","Something went wrong while canceling this order."
"Ogone Default Operation","Operação Predifinida Ogone"
Authorization,Autorização
"Direct Sale","Venda Direta"
"Horizontally grouped logo with group name on left","Logotipo horizontalmente agrupado com nome do grupo à esquerda"
"Horizontally grouped logo with no group name","Logotipo horizontalmente agrupado com nenhum nome de grupo"
"Verical list","Lista verical"
Ogone,Ogone
"Pending Ogone","Ogone Pendente"
"Cancelled Ogone","Ogone Cancelada"
"Declined Ogone","Ogone Recusada"
"Processing Ogone Payment","Processando Pagamento Ogone"
"Processed Ogone Payment","Pagamento Ogone Processado"
"Waiting Authorization","Esperando Autorização"
"Payment ID: %1","Payment ID: %1"
"You will be redirected to Ogone website when you place an order.","Você será redirecionado para o site Ogone quando você colocar uma ordem."
"Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway.","Please stand by. In a moment, this page will transfer your data to the Ogone payment gateway."
