"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
Enabled,Enabled
"Sort Order","Sort Order"
Title,Title
"3D Secure Card Validation","3D Secure Card Validation"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
Continue,Continue
Authorization,Berechtigung
"Note: %1","Note: %1"
"You need an authorization transaction to void.","You need an authorization transaction to void."
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Credit Cards","Credit Cards"
"Account holder","Account holder"
"Account number","Account number"
"Bank code","Bank code"
"Payment Method Code is not passed.","Zahlungsmethode Code nicht durchgeführt."
"Order has been canceled.","Order has been canceled."
"Unable to cancel order.","Unable to cancel order."
"IPN postback HTTP error: %1","IPN postback HTTP error: %1"
"IPN postback Validation error: %1","IPN postback Validation error: %1"
"Wrong Order ID (%1) specified.","Wrong Order ID (%1) specified."
"3D secure authentication passed.","3D secure authentication passed."
"Notified customer about invoice #%1.","Notified customer about invoice #%1."
"IPN verification ""%1"".","IPN verification ""%1""."
"We can't find the Payment Bridge authentication data.","We can't find the Payment Bridge authentication data."
"Merchant review is required for further processing.","Händler-Kritik ist für die weitere Verarbeitung erforderlich."
"We can't issue a refund transaction because the capture transaction does not exist. ","We can't issue a refund transaction because the capture transaction does not exist. "
"Original gateway transaction id: #%1.","Original gateway transaction id: #%1."
"Unable to communicate with Payment Bridge service.","Die Kommunikation mit dem Payment Bridge Dienst ist unterbrochen."
"Empty response received from Payment Bridge.","Leere Antwort von der Zahlungs-Brücke erhalten."
"There was a payment gateway internal error.","There was a payment gateway internal error."
Austria,Austria
Germany,Germany
Netherlands,Netherlands
Preauthorization,Preauthorization
Business,Business
Corporate,Corporate
"Reload Form","Reload Form"
"We submitted your payment information to the server. To make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> .","We submitted your payment information to the server. To make changes, please click <a style=""color: #F15A24"" href=""#"" onclick=""parent.reloadIframe(parent.order.paymentMethod); return false;"">here</a> ."
"We submitted your payment information to the server. To make changes, please click <a style=""color: #1E75B4"" href=""#"">here</a> .","We submitted your payment information to the server. To make changes, please click <a style=""color: #1E75B4"" href=""#"">here</a> ."
"Pay Now","Pay Now"
"New Order Status","New Order Status"
Debug,Debug
"Payment Action","Payment Action"
"Accepted Currency","Accepted Currency"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Payment Bridge","Payment Bridge"
"Merchant Code","Merchant Code"
"Merchant Key","Merchant Key"
"Gateway Basic URL","Gateway Basic URL"
"Data Transfer Key","Data Transfer Key"
"Magento Unique Identifier","Magento Unique Identifier"
"Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code).","Optional. Used in case of multiple Magento instances use the same Payment Bridge merchant account (Merchant Code)."
"Cybersource (SOAP Toolkit) (Payment Bridge only)","Cybersource (SOAP Toolkit) (Payment Bridge only)"
"This payment method will work only if the Payment Bridge is enabled and configured correctly.","This payment method will work only if the Payment Bridge is enabled and configured correctly."
"DIBS Payment Services (Payment Bridge only)","DIBS Payment Services (Payment Bridge only)"
"eWAY Direct (Payment Bridge only)","eWAY Direct (Payment Bridge only)"
"Authorize.net (Payment Bridge only)","Authorize.net (Payment Bridge only)"
"Enable CIM","Enable CIM"
"3D Secure Check will be unavailable if CIM enabled.","3D Secure Check will be unavailable if CIM enabled."
"Enable 3D Secure Card Validation on Frontend","Enable 3D Secure Card Validation on Frontend"
"Enable 3D Secure Card Validation in Admin","Enable 3D Secure Card Validation in Admin"
"Ogone Direct Link (Payment Bridge only)","Ogone Direct Link (Payment Bridge only)"
"Ogone Credit Card","Ogone Credit Card"
"Ogone Direct Debit","Ogone Direct Debit"
"Paybox Direct (Payment Bridge only)","Paybox Direct (Payment Bridge only)"
"Payone Direct Debit","Payone Direct Debit"
"Braintree (Payment Bridge only)","Braintree (Payment Bridge only)"
"Enable Vault","Enable Vault"
"First Data Global Gateway Web Service API (Payment Bridge only)","First Data Global Gateway Web Service API (Payment Bridge only)"
"Payone.de (Payment Bridge only)","Payone.de (Payment Bridge only)"
"If enabled, the Payone payment method will not be available for placing the orders from the backend.","If enabled, the Payone payment method will not be available for placing the orders from the backend."
"PSi Gate (Payment Bridge only)","PSi Gate (Payment Bridge only)"
"Sage Pay Direct (Payment Bridge only)","Sage Pay Direct (Payment Bridge only)"
"Worldpay (Payment Bridge only)","Worldpay (Payment Bridge only)"
"If enabled, the WorldPay payment method will not be available for placing the orders  from the backend.","If enabled, the WorldPay payment method will not be available for placing the orders  from the backend."
"My Credit Card profiles","My Credit Card profiles"
