"We can't find the product.","We can't find the product."
"There are not enough parameters.","There are not enough parameters."
"You saved the alert subscription.","You saved the alert subscription."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"Alert subscription has been saved.","Alert subscription has been saved."
"You deleted the alert subscription.","You deleted the alert subscription."
"You will no longer receive price alerts for this product.","You will no longer receive price alerts for this product."
"The product was not found.","The product was not found."
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product."
"You will no longer receive stock alerts.","You will no longer receive stock alerts."
"Invalid block type: %1","Invalid block type: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:"
Price:,Price:
"Click here not to receive alerts for this product.","Click here not to receive alerts for this product."
"Unsubscribe from all price alerts","Unsubscribe from all price alerts"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:"
"Unsubscribe from all stock alerts","Unsubscribe from all stock alerts"
"Sign up for price alert","Sign up for price alert"
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
