"We can't find the product.","We can't find the product."
"There are not enough parameters.","There are not enough parameters."
"You saved the alert subscription.","You saved the alert subscription."
"Unable to update the alert subscription.",无法更新提醒订阅。
"Alert subscription has been saved.",提醒订阅已保存。
"You deleted the alert subscription.","You deleted the alert subscription."
"You will no longer receive price alerts for this product.",您不再接收此产品的价格提醒。
"The product was not found.",产品未找到。
"You will no longer receive stock alerts for this product.",您不再接收此产品的库存提醒。
"You will no longer receive stock alerts.",您不再接收库存提醒。
"Invalid block type: %1","Invalid block type: %1"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:",您收到该通知的原因是您订阅了当下列产品价格更改时接受提醒：
Price:,价格：
"Click here not to receive alerts for this product.","Click here not to receive alerts for this product."
"Unsubscribe from all price alerts",退订所有价格提醒
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:",您收到该通知的原因是您订阅了当下列产品有库存时接收提醒：
"Unsubscribe from all stock alerts",退订所有库存提醒
"Sign up for price alert",注册价格提醒
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
