ID,Identificación
SKU,"Número de referencia"
"Shopping Cart","Cesta de la Compra"
No,No
Email,"Correo electrónico"
Yes,Sí
Status,Estado
"Save and Continue Edit","Guardar y continuar editando"
"Store View","Ver Tienda"
Description,Descripción
Website,"Sitio web"
Rule,Rule
"Start on","Start on"
"End on","End on"
Active,Activo
N/A,N/A
"General Information","Información general"
"Product Attributes","Atributos del producto"
"Add New Rule","Añadir nueva regla"
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","Nueva Regla"
"Rule Information","Información sobre la Regla"
Conditions,Condiciones
"Rule Name","Nombre de la Regla"
Inactive,Inactivo
"From Date","Desde la fecha"
"To Date","Hasta la fecha"
"Edit Rule","Editar Regla"
Daily,Daily
"Assigned to Website","Asignado a la página web."
"Unknown operator specified.","Operador desconocido especificado."
has,tiene
"does not have","No tiene"
"Product %1","Product %1"
"Wish List","Wish List"
found,Encontrado.
"not found","No encontrado."
"Email Templates","Plantillas de correo electrónico"
"-- Not Selected --","-- Sin seleccionar --"
"This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it.","This rule is assigned to %1 automated reminder rule(s). Deleting this rule will automatically unassign it."
"Automated Email Marketing Reminder Rules","Reglas de recordatorio de comercialización mediante correos electrónicos automatizados"
"Are you sure you want to match this rule now?","¿Está seguro de que desea activar las coincidencias para esta regla ahora?"
"No more than %1 customers may receive the reminder email after this action.","No more than %1 customers may receive the reminder email after this action."
"Run Now","Ejecutar ahora"
"Email Reminder Rule","Regla de recordatorio por correo electrónico"
"You need to set at least one condition for this rule to work.","You need to set at least one condition for this rule to work."
"Matched At","Hora de coincidencia"
"Thread Active","Hilo activo."
Coupon,Cupón
"Coupon Use Limit","Límite de uso de cupones"
"Coupon Use Per Customer","Coupon Use Per Customer"
"Emails Sent","Se enviaron los correos electrónicos"
"Emails Failed","Falló el envío de correo electrónico"
"Last Sent","Hora de último envío"
"Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Reminder emails may promote a shopping cart price rule with or without a coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer."
"Shopping Cart Price Rule","Regla del precio del carro de compra."
"Promotion rule this reminder will advertise.","Regla de promoción que publicitará este recordatorio."
"Repeat Schedule","Repetir programa"
"Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"").","Enter the number of days before email reminder rule is triggered if conditions match (comma separate, e.g., ""7, 14"")."
"Select Rule...","Select Rule..."
"Only customers who registered on a store view will receive emails related to that store view.","Only customers who registered on a store view will receive emails related to that store view."
"Default Titles and Description","Descripción y títulos predeterminados"
"You can find and edit rule label and descriptions, per store view, in email templates.","You can find and edit rule label and descriptions, per store view, in email templates."
"Rule Title for All Store Views","Título de regla para todas las vistas de la tienda"
"Rule Description for All Store Views","Descripción de reglas para todas las vistas de la tienda"
"Titles and Descriptions Per Store View","Titulos y descripciones por vista de tienda."
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Anula las descripciones y los títulos predeterminados. Tenga en cuenta que si no se especifica una plantilla para esta vista de la tienda, se eliminarán los valores de variable respectivos."
"Emails and Labels","Correos elelctónicos y etiquetas."
"Matched Customers","Clientes con coincidencias"
"Reminder Rules","Reglas de recordatorio"
"Please correct the reminder rule you requested.","Please correct the reminder rule you requested."
"Email Reminders","Email Reminders"
"New Reminder Rule","New Reminder Rule"
"You saved the reminder rule.","You saved the reminder rule."
"We could not save the reminder rule.","We could not save the reminder rule."
"You deleted the reminder rule.","You deleted the reminder rule."
"We could not delete the reminder rule.","We could not delete the reminder rule."
"You matched the reminder rule.","You matched the reminder rule."
"Reminder rule matching error.","Error de coincidencia de la regla de recordatorio."
"You can create auto-generated coupons using reminder promotion rules.","You can create auto-generated coupons using reminder promotion rules."
"Minute Intervals","Minute Intervals"
Hourly,Hourly
"5 minutes","5 minutes"
"10 minutes","10 minutes"
"15 minutes","15 minutes"
"20 minutes","20 minutes"
"30 minutes","30 minutes"
"<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts","<b>Important</b>: If you select ""Use Auto Generation"", this rule will no longer be used in any automated email reminder rules for abandoned carts"
for,for
"for greater than","for greater than"
"for or greater than","for or greater than"
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root shopping cart condition should have a days value of 0 or greater.","The root shopping cart condition should have a days value of 0 or greater."
"Total Amount","Cantidad total."
subtotal,Total.
"grand total","Cantidad total."
"Shopping cart %1 amount %2 %3:","Shopping cart %1 amount %2 %3:"
"Unknown quote total specified","Cuota desconocida total especificada."
"Numeric Attribute","Atributo numérico"
weight,Peso
"row weight","Precio de la serie."
quantity,Cantidad.
"base price","Precio básico."
"base cost","Coste básico."
"Item %1 %2 %3:","Item %1 %2 %3:"
"Unknown attribute specified","Atributo desconocido sin especificar."
"Items Subselection","Subselección de artículos"
"Coupon Code","Código de cupón"
"Shopping cart %1 a coupon applied","Shopping cart %1 a coupon applied"
"Cart Line Items","Artículos del carrito"
"Number of shopping cart line items %1 %2:","Number of shopping cart line items %1 %2:"
"Item SKU %1 %2 ","Item SKU %1 %2 "
"The item was added to shopping cart %1, store view %2.","The item was added to shopping cart %1, store view %2."
from,from
"not from","not from"
"If an item is %1 in the shopping cart with %2 of these conditions match:","If an item is %1 in the shopping cart with %2 of these conditions match:"
"Items Quantity","Cantidad de artículos"
"Total shopping cart items quantity %1 %2:","Total shopping cart items quantity %1 %2:"
"Virtual Only","Solo virtual."
"Shopping cart %1 only virtual items","Shopping cart %1 only virtual items"
"The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:","The wish list is not empty and abandoned %1 %2 days and %3 of these conditions match:"
"The root wish list condition should have a days value of 1 or greater.","The root wish list condition should have a days value of 1 or greater."
"Number of Items","Cantidad de artículos"
"Number of wish list items %1 %2 ","Number of wish list items %1 %2 "
Sharing,Compartir.
"Wish List %1 shared","Wish List %1 shared"
is,Es.
"is not","No es."
"The item was added to wish list %1, store view %2.","The item was added to wish list %1, store view %2."
"If an item is %1 in the wish list with %2 of these conditions match:","If an item is %1 in the wish list with %2 of these conditions match:"
"Condition type is unexpected","Condition type is unexpected"
"Please specify a valid number of minute.","Please specify a valid number of minute."
"Unable to save Cron expression","Unable to save Cron expression"
Interval,Interval
"Start Time","Start Time"
Frequency,Frequency
"Automated Email Reminder Rules","Automated Email Reminder Rules"
"Enable Reminder Emails","Enable Reminder Emails"
"Set this value equal or greater to your cron.php launch period.","Set this value equal or greater to your cron.php launch period."
"Minute of the Hour","Minute of the Hour"
"Valid range: 0-59 (default 0).","Valid range: 0-59 (default 0)."
"Maximum Emails per One Run","Maximum Emails per One Run"
"Email Send Failure Threshold","Email Send Failure Threshold"
"Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop.","Make sure to enter a limit value, or reminder emails will be re-issued to customers in a loop."
"Reminder Email Sender","Reminder Email Sender"
