Remove,Entfernen
Back,Back
ID,ID
Customers,Kunden
Store,Shop
Website,Webseite
"All Websites","Alle Webseiten"
Dynamic,Dynamisch
Static,Statisch
"Customer Group",Kundengruppe
"All Customer Groups","Alle Kundengruppen"
Created,Created
Comment,Kommentar
Date,Datum
Balance,Guthaben
"Balance History",Guthaben-Verlauf
Unlimited,Unlimited
Amount,Betrag
Expires,"Verfällt am"
"You have been unsubscribed.","Ihr Abonnement wurde gekündigt."
Rate,Kurs
"Reward Points",Prämienpunkte
"Reward Points History",Prämienpunkte-Verlauf
"Expired reward","Expired reward"
"No Data","No Data"
"Currency Amount",Währungsbetrag
"Reward Points Threshold","Mindest-Prämienpunkte-Guthaben, um einlösen zu können"
"Reward Points Cap","Prämienpunkte-Guthaben beschränken auf"
"Delete Orphan Points","Verwaiste Punkte löschen"
"Update Reward Points Balance","Prämienpunkte-Guthaben aktualisieren"
"Update Points","Punkte aktualisieren"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Reward Points Notifications",Prämienpunkte-Benachrichtigungen
"Subscribe for balance updates","Guthaben-Aktualisierungen abonnieren"
"Subscribe for points expiration notifications","Ankündigungen bezüglich des Verfalls von Punkten abonnieren"
"Reward Exchange Rates",Prämien-Wechselkurse
"Add New Rate","Neuen Kurs hinzufügen"
"Edit Reward Exchange Rate","Prämien-Wechselkurs bearbeiten"
"New Reward Exchange Rate","Neuer Prämien-Wechselkurs"
"Reward Exchange Rate Information","Informationen über Prämien-Wechselkurse"
Direction,Richtung
"Use my reward points; %1 are available.","Use my reward points; %1 are available."
"Learn more...","Erfahren Sie mehr…"
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","You removed the orphan points."
"Manage Reward Exchange Rates","Prämien-Wechselkurse bearbeiten"
"You saved the rate.","You saved the rate."
"We cannot save Rate.","We cannot save Rate."
"You deleted the rate.","You deleted the rate."
"Please enter all Rate information.","Bitte geben Sie alle Kurs-Informationen ein."
"Please enter a positive integer number in the left rate field.","Bitte geben Sie eine positive Integer-Zahl in das linke Kurs-Feld ein."
"Please enter a positive number in the right rate field.","Bitte geben Sie eine positive Zahl in das rechte Kurs-Feld ein."
"Please enter a positive integer number in the right rate field.","Bitte geben Sie eine positive Integer-Zahl in das rechte Kurs-Feld ein."
"Please enter a positive number in the left rate field.","Bitte geben Sie eine positive Zahl in das linke Kurs-Feld ein."
"Sorry, but a rate with the same website, customer group and direction or covering rate already exists.","Sorry, but a rate with the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Bei dieser Bestellung werden keine Prämienpunkte genutzt."
"You saved the settings.","You saved the settings."
"Failed to unsubscribe","Failed to unsubscribe"
"%1 Reward points (%2)","%1 Reward points (%2)"
"%1 Reward points","%1 Reward points"
"Updated by moderator","Updated by moderator"
"Refunded from order #%1","Refunded from order #%1"
"Points voided at order #%1 refund.","Points voided at order #%1 refund."
"The invitation to %1 converted into a customer.","The invitation to %1 converted into a customer."
"The invitation to %1 converted into an order.","The invitation to %1 converted into an order."
"Signed up for newsletter with email %1","Signed up for newsletter with email %1"
"Redeemed for order #%1","Redeemed for order #%1"
"Earned points for order #%1","Earned points for order #%1"
"Reverted from incomplete order #%1","Reverted from incomplete order #%1"
"Registered as customer","Registered as customer"
"For submitting a product review","For submitting a product review"
"Earned promotion extra points from order #%1","Earned promotion extra points from order #%1"
"The customer earned %1 for this order.","The customer earned %1 for this order."
"%1 was deducted because of refund.","%1 was deducted because of refund."
"Add Reward Points","Prämienpunkte hinzufügen"
"Customer earned promotion extra %1.","Customer earned promotion extra %1."
"The action ID you enter must be a numerical integer.","The action ID you enter must be a numerical integer."
"You don't have enough reward points to pay for this purchase.","You don't have enough reward points to pay for this purchase."
"Points to Currency","Punkte in Währung"
"Currency to Points","Währung in Punkte"
Each,Jeder
First,Erster
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Bonuspunkte Bilanz"" sollte kleiner oder gleich ""Cap Bonuspunkte Bilanz"" sein."
"Reward Points Balance",Prämienpunkte-Guthaben
"Refund Reward Points","Prämienpunkte zurückerstatten."
