Remove,weghalen
Back,Back
ID,identiteit
Customers,klanten
Store,Winkel
Website,Website
"All Websites","Alle websites"
Dynamic,Dynamisch
Static,Statisch
"Customer Group",Klantgroep
"All Customer Groups","Alle klantgroepen"
Created,Created
Comment,Commentaar
Date,Datum
Balance,Saldo
"Balance History","Saldo geschiedenis"
Unlimited,Unlimited
Amount,Aantal
Expires,"Vervalt op:"
"You have been unsubscribed.","U bent uitgeschreven."
Rate,Verhouding
"Reward Points",Beloningspunten
"Reward Points History","Geschiedenis van beloningspunten"
"Expired reward","Expired reward"
"No Data","No Data"
"Currency Amount","Muntsoort hoeveelheid"
"Reward Points Threshold","Minimaal aantal beloningspunten om in te wisselen"
"Reward Points Cap","Laat saldo beloningspunten lopen tot"
"Delete Orphan Points","Verwijder enkele punten"
"Update Reward Points Balance","Update beloningspuntensaldo"
"Update Points","Update punten"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Reward Points Notifications","Notificatie van beloningspunten"
"Subscribe for balance updates","Schrijf u in voor saldo-updates"
"Subscribe for points expiration notifications","Schrijf u in voor herinneringen over verval van punten."
"Reward Exchange Rates","Belonings wisselkoersen"
"Add New Rate","Voeg nieuwe ratio toe"
"Edit Reward Exchange Rate","Bewerk belonings-wisselkoersen"
"New Reward Exchange Rate","Nieuwe belonings wisselkoers"
"Reward Exchange Rate Information","Belonings wisselkoersen informatie"
Direction,Directie
"Use my reward points; %1 are available.","Use my reward points; %1 are available."
"Learn more...","Leer meer..."
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","You removed the orphan points."
"Manage Reward Exchange Rates","Beheer beloning wisselkoersen"
"You saved the rate.","You saved the rate."
"We cannot save Rate.","We cannot save Rate."
"You deleted the rate.","You deleted the rate."
"Please enter all Rate information.","Voer a.u.b. alle ratioinformatie in."
"Please enter a positive integer number in the left rate field.","Voeg a.u.b. een positief, integer nummer in het linkse ratioveld in."
"Please enter a positive number in the right rate field.","Voeg a.u.b. een positief nummer in het rechtse ratioveld in."
"Please enter a positive integer number in the right rate field.","Voeg a.u.b. een positief, integer nummer in het rechtse ratioveld in."
"Please enter a positive number in the left rate field.","Voeg a.u.b. een positief nummer in het linkse ratioveld in."
"Sorry, but a rate with the same website, customer group and direction or covering rate already exists.","Sorry, but a rate with the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Beloningspunten zullen niet in deze volgorde worden gebruikt."
"You saved the settings.","You saved the settings."
"Failed to unsubscribe","Failed to unsubscribe"
"%1 Reward points (%2)","%1 Reward points (%2)"
"%1 Reward points","%1 Reward points"
"Updated by moderator","Updated by moderator"
"Refunded from order #%1","Refunded from order #%1"
"Points voided at order #%1 refund.","Points voided at order #%1 refund."
"The invitation to %1 converted into a customer.","The invitation to %1 converted into a customer."
"The invitation to %1 converted into an order.","The invitation to %1 converted into an order."
"Signed up for newsletter with email %1","Signed up for newsletter with email %1"
"Redeemed for order #%1","Redeemed for order #%1"
"Earned points for order #%1","Earned points for order #%1"
"Reverted from incomplete order #%1","Reverted from incomplete order #%1"
"Registered as customer","Registered as customer"
"For submitting a product review","For submitting a product review"
"Earned promotion extra points from order #%1","Earned promotion extra points from order #%1"
"The customer earned %1 for this order.","The customer earned %1 for this order."
"%1 was deducted because of refund.","%1 was deducted because of refund."
"Add Reward Points","Voeg beloningspunten toe"
"Customer earned promotion extra %1.","Customer earned promotion extra %1."
"The action ID you enter must be a numerical integer.","The action ID you enter must be a numerical integer."
"You don't have enough reward points to pay for this purchase.","You don't have enough reward points to pay for this purchase."
"Points to Currency","Punten naar muntsoort"
"Currency to Points","Muntsoort naar punten"
Each,Elke
First,Eerste
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimale beloningspuntenbalans"" moet minder dan of gelijk zijn aan ""Limiet beloningspuntenbalans""."
"Reward Points Balance",Beloningspuntensaldo
"Refund Reward Points","Retourneer beloningspunten"
"Reward Points refunded to customer","Beloningspunten die zijn geretourneerd aan de klant"
Points,Punten
Reason,Reden
"Expires on %1","Expires on %1"
"There is no balance history.","There is no balance history."
"Reward points balance Information","Beloningspunten saldo informatie"
"Learn more","Learn more"
"Your balance is %1.","Your balance is %1."
"Current exchange rates:",Wisselkoersen:
"Each %1 can be redeemed for %2.","Each %1 can be redeemed for %2."
"Each %1 spent will earn %2.","Each %1 spent will earn %2."
None.,Geen.
"Balance limitations:","Saldo limitaties:"
"The balance is capped at %1.","The balance is capped at %1."
"Maximum balance is reached","Maximum balance is reached"
"Balance Redemption Threshold: %1.","Balance Redemption Threshold: %1."
"You do not have the minimum balance you need to redeem your rewards points.","You do not have the minimum balance you need to redeem your rewards points."
"Each earned reward points record expires in %1 days.","Each earned reward points record expires in %1 days."
"Refer to reward points history to see if and when a specific record expires.","Refer to reward points history to see if and when a specific record expires."
"Email Notification Settings","E-mail notificatie waarden"
"Save Subscription Settings","Sla inschrijvingswaarden op"
"Your current balance is %1.","Your current balance is %1."
"Reward Points Rates","Koersen van beloningspunten"
"Amount Balance","Bedrag saldo"
"Check out now and earn %1 for this order.","Check out now and earn %1 for this order."
"Log in now and earn %1 for this order.","Log in now and earn %1 for this order."
"Register on our site now and earn %1.","Register on our site now and earn %1."
"Subscribe to our newsletter now and earn %1.","Subscribe to our newsletter now and earn %1."
"Send this invitation now and earn %s when your invitee signs up on our site.","Send this invitation now and earn %s when your invitee signs up on our site."
"You can reward up to %s invitee registration(s).","You can reward up to %s invitee registration(s)."
"Earn %s for purchases your invitees make.","Earn %s for purchases your invitees make."
"You can reward up to %s invitee purchase(s).","You can reward up to %s invitee purchase(s)."
"Submit a review now and earn %1 after the review is approved.","Submit a review now and earn %1 after the review is approved."
"You can reward up to %1 new reviews(s).","You can reward up to %1 new reviews(s)."
