None,Keins
"Are you sure?","Are you sure?"
Remove,Löschen
Close,Schließen
Cancel,Abbrechen
Back,Zurück
"Add Products","Produkte hinzufügen"
Product,Produktbezeichnung
Price,Preis
ID,ID
SKU,Artikelposition
No,Nein
Qty,Menge
Action,Aktion
Item,Artikel
Customer,Kundenname
Items,Artikel
Add,Hinzufügen
Delete,Löschen
Save,Speichern
Yes,Ja
Status,Status
Enabled,Enabled
"Sort Order",Sortierfolge
"Save and Continue Edit","Speichern und weiter bearbeiten"
Title,Title
Type,Typ
"Select All","Select All"
Submit,Übermitteln
Order,Order
"Please wait, loading...","Bitte warten, lade...."
View,Ansicht
OK,OK
"Input Type","Input Typ"
"General Information","Allgemeine Informationen"
"Add New Attribute","Neues Merkmal hinzufügen"
"Save Attribute","Eigenschaft speichern"
"Delete Attribute","Attribut löschen"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties",Frontend-Eigenschaften
"Attribute Information",Merkmal-Informationen
Properties,Eigenschaften
"Close Window","Fenster schließen"
"Use config","config verwenden"
Dropdown,Dropdown
Closed,Geschlossen
"Product Name","Product Name"
Country,Country
State/Province,State/Province
"Shipping Information",Lieferinformationen:
"Shipping Method",Liefermethode
City,City
"Email Address",E-Mail-Adresse
"Street Address","Street Address"
"Shipping Address",Lieferadresse
Condition,Zustand
Weight,Gewicht
Select,Auswählen
Contents,Inhalt
Package,Package
Packages,Verpackungen
"Text Field",Textfeld
"Text Area",Textbereich
Date,Datum
"Image File",Bilddatei
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Purchase Point","Purchase Point"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
Notified,Benachrichtigt
"Notify Customer by Email","Kunde per E-Mail benachrichtigen"
"Lines Count",Linienzählung
"Valid range 2-20","Geltungsbereich 2-20"
"Input Validation","Input Bestätigung"
"Minimum Text Length","Minimale Textlänge"
"Maximum Text Length","Maximale Textlänge"
"Maximum File Size (bytes)","Maximale Datengröße (Bytes)"
"File Extensions",Dateierweiterungen
"Comma separated","Durch Komma getrennt"
"Maximum Image Width (px)","Maximale Bildbreite (px)"
"Maximum Image Height (px)","Maximale Bildhöhe (Px)"
"Input/Output Filter","Input/Output Filter"
"Show on Frontend","Am Frontende anzeigen"
"Forms to Use In","Formulare für die Nutzung"
"Manage Label / Options","Bearbeitung Label / Optionen"
"Visible to Customer","Am Frontende sichtbar"
"Attribute is no longer exists.","Das Attribut existiert nicht mehr."
"You cannot edit this attribute.","Sie können diese Einstellung nicht bearbeiten."
"You cannot delete this attribute.","Sie können diese Einstellung nicht entfernen."
Details,Details
cm,cm
Height,Höhe
Width,Breite
Pending,"ausstehend / anhängig"
Requested,"Angeforderte Stückzahl"
Remaining,"Verbleibende Menge"
"Order ID",Bestellungsidentifizierung
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Name","Customer Name"
Approved,"Genehmigte Stckz."
Return,"Retoure / Rücksendung"
Returns,Returns
"Create Returns","Create Returns"
"Select Items","Artikel auswählen"
"New Returns Request","New Returns Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Neue RMA erstellen"
"Please Select Order","Bitte Bestellung auswählen"
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
Print,Drucken
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","RMA Artikeldetails"
"Submit Comment","Kommentar abschicken"
"Custom Value","Custom Value"
"Print Shipping Label","Versandetikett drucken"
"Show Packages","Sendungen anzeigen"
"Return Items","Return Items"
Authorized,"Authorisierte Menge"
Returned,Rücksende-Qty
"Return Reason",Rückgabegrund
"Item Condition",Artikelzustand
Resolution,"Auflösung / Entschluss"
Split,Teilen
"Return Information","Return Information"
RMA,RMA
"Requested Date","Datum benötigt"
"Order Date",Bestelldatum
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?"
"Return Item Attribute","Return Item Attribute"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Submit Returns","Submit Returns"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Add Details","Details hinzufügen"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"New Return","New Return"
"We failed to save this RMA.","We failed to save this RMA."
"You submitted the RMA request.","You submitted the RMA request."
"You saved the RMA request.","You saved the RMA request."
"We failed to save this RMA. No items have been specified.","We failed to save this RMA. No items have been specified."
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"Something went wrong retrieving the product list.","Something went wrong retrieving the product list."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"A quantity you're trying to add is higher than the number of products we shipped.","A quantity you're trying to add is higher than the number of products we shipped."
"Products should be added to package(s)","Produkte sollten dem Paket/den Paketen hinzugefügt werden"
"You entered an invalid value.","You entered an invalid value."
"You created a shipping label.","You created a shipping label."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Please specify a carrier.","Please specify a carrier."
"You need to enter a tracking number.","You need to enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We cannot add a message.","We cannot add a message."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We cannot delete the tracking number.","We cannot delete the tracking number."
"We cannot load track with retrieving identifier.","We cannot load track with retrieving identifier."
"Manage RMA Item Attributes","Bearbeitung RMA Artikeleigenschaften"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"Edit Return Item Attribute","Edit Return Item Attribute"
"An attribute with the same code already exists.","An attribute with the same code already exists."
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong saving the RMA item attribute.","Something went wrong saving the RMA item attribute."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"Something went wrong deleting the RMA item attribute.","Something went wrong deleting the RMA item attribute."
"Return #%1","Return #%1"
"You submitted Return #%1.","You submitted Return #%1."
"We cannot create a new return transaction. Please try again later.","We cannot create a new return transaction. Please try again later."
"Create New Return","Neue Retoure erstellen"
"We cannot create a return transaction for order #%1.","We cannot create a return transaction for order #%1."
