None,Ninguno
"Are you sure?","Are you sure?"
Remove,Borrar
Close,Cerrar
Cancel,Cancelar
Back,Volver
"Add Products","Añadir productos"
Product,"Nombre de Producto"
Price,Precio
ID,ID
SKU,"SKU (Número de Referencia)"
No,No
Qty,Cant.
Action,Acción
Item,Artículo
Customer,"Nombre de Cliente"
Items,Artículos
Add,Añadir
Delete,Eliminar
Save,Guardar
Yes,Sí
Status,Progreso
Enabled,Enabled
"Sort Order","Orden de selección"
"Save and Continue Edit","Grabar y Continuar Editando"
Title,Title
Type,Tipo
"Select All","Select All"
Submit,Enviar
Order,Order
"Please wait, loading...","Espere, por favor. Cargando..."
View,Ver
OK,Aceptar
"Input Type","Tipo de Entrada"
"General Information","Información General"
"Add New Attribute","Añadir nuevo atributo"
"Save Attribute","Guarda atributo"
"Delete Attribute","Borrar atributo"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties","Propiedades del Panel Delantero"
"Attribute Information","Información del atributo"
Properties,Propiedades
"Close Window","Cerrar ventana"
"Use config","Usar configuración"
Dropdown,Desplegable
Closed,Cerrado
"Product Name","Product Name"
Country,Country
State/Province,State/Province
"Shipping Information","Información del envío:"
"Shipping Method","Método de Envío"
City,City
"Email Address","Dirección de correo electrónico"
"Street Address","Street Address"
"Shipping Address","Dirección de Envío"
Condition,Condición
Weight,Peso
Select,Seleccionar
Contents,Contenido
Package,Package
Packages,Paquetes
"Text Field","Campo de Texto"
"Text Area","Area de Texto"
Date,Fecha
"Image File","Archivo de Imagen"
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Purchase Point","Purchase Point"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
Notified,Notificado
"Notify Customer by Email","Notificar al cliente por correo electrónico"
"Lines Count","Recuento de líneas"
"Valid range 2-20","Rango válido 2-20"
"Input Validation","Validación de Entrada"
"Minimum Text Length","Longitud mínima del texto"
"Maximum Text Length","Longitud máxima del texo"
"Maximum File Size (bytes)","Tamaño máximo de archivo (bytes)"
"File Extensions","Extensiones de Fichero"
"Comma separated","Separado por comas"
"Maximum Image Width (px)","Anchura máxima de imagen (px)"
"Maximum Image Height (px)","Altura máxima de imagen (px)"
"Input/Output Filter","Filtro Entrada/Salida"
"Show on Frontend","Mostrar en la parte frontal"
"Forms to Use In","Formularios para utilizar"
"Manage Label / Options","Gestión de etiquetas / opciones"
"Visible to Customer","Visible en el Panel Delantero"
"Attribute is no longer exists.","El atributo ya no existe."
"You cannot edit this attribute.","No puede editar este atributo"
"You cannot delete this attribute.","No puede borrar este atributo."
Details,Detalles
cm,cm
Height,Altura
Width,Ancho
Pending,Pendiente
Requested,"Cantidad solicitada"
Remaining,"Cantidad restante"
"Order ID","ID de Pedido"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Name","Customer Name"
Approved,"Cantidad aprobada"
Return,Devolver
Returns,Returns
"Create Returns","Create Returns"
"Select Items","Seleccionar artículos"
"New Returns Request","New Returns Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Crear nuevo RMA"
"Please Select Order","Por favor, elija un pedido"
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
Print,Imprimir
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","Detalles de artículo RMA"
"Submit Comment","Enviar comentario"
"Custom Value","Custom Value"
"Print Shipping Label","Imprimir Etiqueta de Envío"
"Show Packages","Mostrar Paquetes"
"Return Items","Return Items"
Authorized,"Cantidad autorizada"
Returned,"Cantidad devuelta"
"Return Reason","Motivos de la devolución"
"Item Condition","Estado del artículo"
Resolution,Resolución
Split,Dividir
"Return Information","Return Information"
RMA,RMA
"Requested Date","Fecha de solicitud"
"Order Date","Fecha de Pedido"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?"
"Return Item Attribute","Return Item Attribute"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Submit Returns","Submit Returns"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Add Details","Añadir detalles"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"New Return","New Return"
"We failed to save this RMA.","We failed to save this RMA."
"You submitted the RMA request.","You submitted the RMA request."
"You saved the RMA request.","You saved the RMA request."
"We failed to save this RMA. No items have been specified.","We failed to save this RMA. No items have been specified."
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"Something went wrong retrieving the product list.","Something went wrong retrieving the product list."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"A quantity you're trying to add is higher than the number of products we shipped.","A quantity you're trying to add is higher than the number of products we shipped."
"Products should be added to package(s)","Los productos deberían ser añadidos al paquete(s)"
"You entered an invalid value.","You entered an invalid value."
"You created a shipping label.","You created a shipping label."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Please specify a carrier.","Please specify a carrier."
"You need to enter a tracking number.","You need to enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We cannot add a message.","We cannot add a message."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We cannot delete the tracking number.","We cannot delete the tracking number."
"We cannot load track with retrieving identifier.","We cannot load track with retrieving identifier."
"Manage RMA Item Attributes","Gestión de atributos del artículo RMA"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"Edit Return Item Attribute","Edit Return Item Attribute"
"An attribute with the same code already exists.","An attribute with the same code already exists."
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong saving the RMA item attribute.","Something went wrong saving the RMA item attribute."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"Something went wrong deleting the RMA item attribute.","Something went wrong deleting the RMA item attribute."
"Return #%1","Return #%1"
"You submitted Return #%1.","You submitted Return #%1."
"We cannot create a new return transaction. Please try again later.","We cannot create a new return transaction. Please try again later."
"Create New Return","Crear nueva devolución"
"We cannot create a return transaction for order #%1.","We cannot create a return transaction for order #%1."
"Shipping Labels are not allowed.","No están permitidas las etiquetas de franqueo."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We cannot add a label.","We cannot add a label."
"The wrong RMA was selected.","The wrong RMA was selected."
"We cannot delete the label.","We cannot delete the label."
"My Returns","Mis devoluciones"
"Cannot add message.","No se puede añadir mensaje"
"Tracking Information","Tracking Information"
"This is not a valid order.","This is not a valid order."
"Contact Email Address","Dirección de correo electrónico de contacto"
"Only one RMA is available for printing","Solo se permite imprimir un RMA"
"Return # ","Return # "
"Return Date: ","Fecha de devolución:"
"Order # ","Order # "
"Order Date: ","Fecha del pedido:"
"Shipping Address:","Dirección de envío:"
"Return Address:","Dirección de devolución:"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Authorized Qty"
"Returned Qty","Returned Qty"
"Approved Qty","Approved Qty"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"Quantity of %1 is greater than you can return.","Quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Partially Authorized","Parcialmente autorizado"
"Return Received","Devolución recibida"
"Return Partially Received","Devolución recibida parcialmente"
"Partially Approved","Aprobado parcialmente"
Rejected,Rechazado
"Partially Rejected","Parcialmente denegado"
Denied,Denegado
"Processed and Closed","Procesado y cerrado"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We have authorized your Return request.","We have authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","No detail for number ""%1"""
"All Items","Todos los artículos"
"Individual Items","Artículos individuales"
"Request Details","Detalles de la petición"
#,#
"RMA History","Historial RMA"
"Comment Text","Texto del comentario"
"Visible on Frontend","Visible on Frontend"
"Customer Service","Servicio al cliente"
"Not Notified","No notificado"
"Return Address","Dirección de devolución"
"Order Shipping Address","Dirección de envío"
"Delete Line","Borrar línea"
"Customs Value","Valor en Aduana"
"Qty Ordered","Cant. Pedida"
"Click to change shipping method.","Click to change shipping method."
