None,Aucun
"Are you sure?","Are you sure?"
Remove,Supprimer
Close,Fermer
Cancel,Annuler
Back,Retour
"Add Products","Ajouter produits"
Product,"Nom du produit"
Price,Prix
ID,ID
SKU,UGS
No,Non
Qty,Qté
Action,Action
Item,Article
Customer,"Nom du client"
Items,Objets
Add,Ajouter
Delete,Supprimer
Save,Enregistrer
Yes,Oui
Status,Statut
Enabled,Enabled
"Sort Order","Trier la commande"
"Save and Continue Edit","Enregistrer et continuer la modification"
Title,Title
Type,Type
"Select All","Select All"
Submit,Soumettre
Order,Order
"Please wait, loading...","Veuillez patienter, chargement en cours..."
View,Vue
OK,OK
"Input Type","Type entrée"
"General Information","Informations générales."
"Add New Attribute","Ajouter nouvel attribut"
"Save Attribute","Enregistrer l'attribut"
"Delete Attribute","Supprimer l'attribut"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties","Propriétés front-end"
"Attribute Information","Informations de l'attribut"
Properties,Propriétés
"Close Window","Fermer la fenêtre"
"Use config","Utiliser config"
Dropdown,Déroulant
Closed,Fermé
"Product Name","Product Name"
Country,Country
State/Province,State/Province
"Shipping Information","Informations d'expédition"
"Shipping Method","Méthode d'expédition"
City,City
"Email Address","Adresse email"
"Street Address","Street Address"
"Shipping Address","Adresse d'expédition"
Condition,Condition
Weight,Poids
Select,Sélectionner
Contents,Contenu
Package,Package
Packages,Paquets
"Text Field","Champ de texte"
"Text Area","Zone de texte"
Date,Date
"Image File","Fichier image"
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Purchase Point","Purchase Point"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
Notified,Informé
"Notify Customer by Email","Informer le client par e-mail"
"Lines Count","Nombre de lignes"
"Valid range 2-20","Fourchette valable 2-20"
"Input Validation","Validation entrée"
"Minimum Text Length","Longueur minimale du texte"
"Maximum Text Length","Longueur maximale du texte"
"Maximum File Size (bytes)","Taille maximale du fichier (bytes)"
"File Extensions","Extensions de fichiers"
"Comma separated","Valeurs séparées par des virgules"
"Maximum Image Width (px)","Largeur maximale de l'image (px)"
"Maximum Image Height (px)","Hauteur maximale de l'image (px)"
"Input/Output Filter","Filtre entrée / sortie"
"Show on Frontend","Afficher sur le Frontend"
"Forms to Use In","Formulaires à utiliser dans"
"Manage Label / Options","Gérer label/options"
"Visible to Customer","Visible sur le Frontend"
"Attribute is no longer exists.","L'attribut n'existe plus."
"You cannot edit this attribute.","Vous ne pouvez pas modifier cet attribut."
"You cannot delete this attribute.","Vous ne pouvez pas effacer cet attribut."
Details,Détails
cm,cm
Height,Hauteur
Width,Largeur
Pending,"En attente"
Requested,"Qté demandée"
Remaining,"Qté restante"
"Order ID","Identifiant commande"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Name","Customer Name"
Approved,"Quantité approuvée"
Return,Retour
Returns,Returns
"Create Returns","Create Returns"
"Select Items","Sélectionner des objets"
"New Returns Request","New Returns Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Créer une nouvelle ARM"
"Please Select Order","Veuillez sélectionner une commande"
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
Print,Imprimer
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","Détails de l'objet RMA"
"Submit Comment","Soumettre le commentaire"
"Custom Value","Custom Value"
"Print Shipping Label","Imprimer l'étiquette d'expédition"
"Show Packages","Afficher les colis"
"Return Items","Return Items"
Authorized,"Qté autorisée"
Returned,"Quantité renvoyée"
"Return Reason","Motif du retour"
"Item Condition","État article"
Resolution,Résolution
Split,Séparer
"Return Information","Return Information"
RMA,RMA
"Requested Date","Date requise"
"Order Date","Date de la commande"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?"
"Return Item Attribute","Return Item Attribute"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Submit Returns","Submit Returns"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Add Details","Ajouter détails"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"New Return","New Return"
"We failed to save this RMA.","We failed to save this RMA."
"You submitted the RMA request.","You submitted the RMA request."
"You saved the RMA request.","You saved the RMA request."
"We failed to save this RMA. No items have been specified.","We failed to save this RMA. No items have been specified."
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"Something went wrong retrieving the product list.","Something went wrong retrieving the product list."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"A quantity you're trying to add is higher than the number of products we shipped.","A quantity you're trying to add is higher than the number of products we shipped."
"Products should be added to package(s)","Les produits doivent être ajoutés au colis"
"You entered an invalid value.","You entered an invalid value."
"You created a shipping label.","You created a shipping label."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Please specify a carrier.","Please specify a carrier."
"You need to enter a tracking number.","You need to enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We cannot add a message.","We cannot add a message."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We cannot delete the tracking number.","We cannot delete the tracking number."
"We cannot load track with retrieving identifier.","We cannot load track with retrieving identifier."
"Manage RMA Item Attributes","Gérer les attributs d'objet RMA"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"Edit Return Item Attribute","Edit Return Item Attribute"
"An attribute with the same code already exists.","An attribute with the same code already exists."
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong saving the RMA item attribute.","Something went wrong saving the RMA item attribute."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"Something went wrong deleting the RMA item attribute.","Something went wrong deleting the RMA item attribute."
"Return #%1","Return #%1"
"You submitted Return #%1.","You submitted Return #%1."
"We cannot create a new return transaction. Please try again later.","We cannot create a new return transaction. Please try again later."
"Create New Return","Créer nouveau retour"
"We cannot create a return transaction for order #%1.","We cannot create a return transaction for order #%1."
"Shipping Labels are not allowed.","Les étiquettes d'expédition ne sont pas autorisées"
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We cannot add a label.","We cannot add a label."
