None,Geen
"Are you sure?","Are you sure?"
Remove,Verwijder
Close,sluiten
Cancel,annuleer
Back,terug
"Add Products","Voeg producten toe"
Product,Productnaam
Price,Prijs
ID,ID
SKU,Artikelnummer
No,Nee
Qty,Kwant.
Action,Actie
Item,Item
Customer,Klantnaam
Items,Items
Add,Toevoegen
Delete,Verwijder
Save,Bewaar
Yes,ja
Status,Status
"Sort Order","Sorteer Bestelling"
"Save and Continue Edit","Bewaar en Ga Door met Bewerking"
Title,Title
Type,type
"Select All","Select All"
Submit,Bevestig
Order,Order
"Please wait, loading...","Even geduld alstublieft, bezig met laden..."
View,Bekijk
OK,Okee
"Input Type",Invoertype
"General Information","Algemene informatie"
"Add New Attribute","Voeg nieuw attribuut toe"
"Save Attribute","Bewaar Attribuut"
"Delete Attribute","Verwijder attribuut"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties","Voorkant instellingen"
"Attribute Information",Attribuutinformatie
Properties,Kenmerken
"Close Window","sluit venster"
"Use config","Gebruik configuratie"
Dropdown,Dropdown
Closed,gesloten
"Product Name","Product Name"
"Shipping Information","Bezorg Informatie"
"Shipping Method",Bezorgmethode
"Email Address","email adres"
"Shipping Address",Bezorgadres
Condition,conditie
Weight,Gewicht
Select,Kies
Contents,Inhoud
Package,Package
Packages,Pakketten
"Text Field",Tekstveld
"Text Area",Tekstgedeelte
Date,Datum
"Image File",Afbeeldingsbestand
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Purchase Point","Purchase Point"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
Notified,Genotificeerd
"Notify Customer by Email","Bericht klant per email"
"Lines Count","Aantal Regels"
"Valid range 2-20","Geldige marge 2-20"
"Input Validation","Invoer validatie"
"Minimum Text Length","Minimale Tekst Lengte"
"Maximum Text Length","Maximale Tekst Lengte"
"Maximum File Size (bytes)","Maximale Bestandsgrootte (bytes)"
"File Extensions","Bestand extensies"
"Comma separated","gescheiden door een komma"
"Maximum Image Width (px)","Maximale Afbeeldingen Breedte (px)"
"Maximum Image Height (px)","Maximale Afbeeldingen Hoogte (px)"
"Input/Output Filter","Invoer/uitvoer filter"
"Show on Frontend","Toon op Front end"
"Forms to Use In","Formulieren om te gebruiken in"
"Manage Label / Options","Beheer Label/Opties"
"Visible to Customer","Zichtbaar aan de voorkant"
"Attribute is no longer exists.","Attribuut bestaat niet langer."
"You cannot edit this attribute.","U kunt dit attribuut niet bewerken"
"You cannot delete this attribute.","U kunt dit attribuut niet verwijderen"
Details,Gegevens
cm,cm
Height,Hoogte
Width,Breedte
Pending,"In behandeling"
Requested,"Gevraagde kwantiteit"
Remaining,"Overgebleven hoeveelheid"
"Order ID","Bestelling ID"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Name","Customer Name"
Approved,"Goedgekeurde hoeveelheid"
Return,Retourzending
Returns,Returns
"Create Returns","Create Returns"
"Select Items","Kies Producten"
"New Returns Request","New Returns Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Nieuwe RMA aanmaken"
"Please Select Order","Selecteer Alstublieft Bestelling"
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
Print,Print
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","RMA productdetails"
"Submit Comment","Bevestig Opmerking"
"Custom Value","Custom Value"
"Print Shipping Label","Print Verzendetiket"
"Show Packages","Toon Pakketten"
"Return Items","Return Items"
Authorized,"Goedgekeurde hoeveelheid"
Returned,"Retourzending Aantal"
"Return Reason","Reden om te retourneren"
"Item Condition","Conditie Item"
Resolution,Resolutie
Split,Deel
"Return Information","Return Information"
RMA,RMA
"Requested Date","Datum verzoek"
"Order Date",Besteldatum
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?"
"Return Item Attribute","Return Item Attribute"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Submit Returns","Submit Returns"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Add Details","Voeg details toe"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"New Return","New Return"
"We failed to save this RMA.","We failed to save this RMA."
"You submitted the RMA request.","You submitted the RMA request."
"You saved the RMA request.","You saved the RMA request."
"We failed to save this RMA. No items have been specified.","We failed to save this RMA. No items have been specified."
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"Something went wrong retrieving the product list.","Something went wrong retrieving the product list."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"A quantity you're trying to add is higher than the number of products we shipped.","A quantity you're trying to add is higher than the number of products we shipped."
"Products should be added to package(s)","Product moet worden toegevoegd aan het pakket/de pakketjes"
"You entered an invalid value.","You entered an invalid value."
"You created a shipping label.","You created a shipping label."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Please specify a carrier.","Please specify a carrier."
"You need to enter a tracking number.","You need to enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We cannot add a message.","We cannot add a message."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We cannot delete the tracking number.","We cannot delete the tracking number."
"We cannot load track with retrieving identifier.","We cannot load track with retrieving identifier."
"Manage RMA Item Attributes","Beheer RMA Item Attributen"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"Edit Return Item Attribute","Edit Return Item Attribute"
"An attribute with the same code already exists.","An attribute with the same code already exists."
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong saving the RMA item attribute.","Something went wrong saving the RMA item attribute."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"Something went wrong deleting the RMA item attribute.","Something went wrong deleting the RMA item attribute."
"Return #%1","Return #%1"
"You submitted Return #%1.","You submitted Return #%1."
"We cannot create a new return transaction. Please try again later.","We cannot create a new return transaction. Please try again later."
"Create New Return","Nieuwe return aanmaken"
"We cannot create a return transaction for order #%1.","We cannot create a return transaction for order #%1."
"Shipping Labels are not allowed.","Bezorg Lavels zijn niet toegestaan."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We cannot add a label.","We cannot add a label."
"The wrong RMA was selected.","The wrong RMA was selected."
"We cannot delete the label.","We cannot delete the label."
"My Returns","Mijn Teruggaven"
"Cannot add message.","Kan geen bericht toevoegen"
"Tracking Information","Tracking Information"
"This is not a valid order.","This is not a valid order."
"Contact Email Address","contact email adres"
"Only one RMA is available for printing","Slechts een RMA is beschikbaar voor afdrukken"
"Return # ","Return # "
"Return Date: ",Retourdatum
"Order # ","Order # "
"Order Date: ",Besteldatum:
"Shipping Address:",Bezorgadres:
"Return Address:",Retouradres
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Authorized Qty"
"Returned Qty","Returned Qty"
"Approved Qty","Approved Qty"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"Quantity of %1 is greater than you can return.","Quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Partially Authorized","Gedeeltelijk Toegestaan"
"Return Received","Retourzending ontvangen"
"Return Partially Received","Retourzending deels ontvangen"
"Partially Approved","Gedeeltelijk goedgekeurd"
Rejected,Geweigerd
"Partially Rejected","Gedeeltelijk Afgewezen"
Denied,Afgewezen
"Processed and Closed","Verwerkt en Gesloten"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We have authorized your Return request.","We have authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","No detail for number ""%1"""
"All Items","Alle producten"
"Individual Items","Individuele producten"
"Request Details","Vraag details aan"
#,#
"RMA History","RMA geschiedenis"
"Comment Text","commentaar tekst"
"Visible on Frontend","Visible on Frontend"
"Customer Service",Klantenservice
"Not Notified","Niet genotificeerd"
"Return Address",Retouradres
"Order Shipping Address","Verzendadres bestelling"
"Delete Line","Verwijder regel"
"Customs Value",Douanewaarde
"Qty Ordered","Bestelde hoeveelheid"
"Click to change shipping method.","Click to change shipping method."
"Create Shipping Label","Verzendlabel maken"
"No authorized items or allowed shipping methods","Geen geautoriseerde artikelen of toegestane verzendmethodes"
"Add Package","Add Package"
"Create Packages","Create Packages"
Size,Grote
Girth,Omtrek
"Total Weight",Totaalgewicht
Length,Lengte
"Signature Confirmation","Signature Confirmation"
in,in
lb,lb
kg,kg
"Delete Package","Delete Package"
Explanation,Explanation
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Please select products.","Please select products."
Carrier,drager
Number,Nummer
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Items in the Package","Items in het pakket"
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","RMA producten aangevraagd voor"
"Please Select Products to Add","Selecteer Alstublieft Producten om Toe te Voegen"
Sub-items,Sub-items
"Quantity To Return","Kwantiteit Terug Te Sturen"
"Remaining quantity: ","Remaining quantity: "
"New Return for Order %1","New Return for Order %1"
"Return Items Information","Informatie Retourproducten"
"Add Item To Return","Voeg product toe om terug te keren"
Comments,commentaren
"Return #","Keer terug #"
"Ship From","Bezorg Vanaf"
"Return Status","Retourzending Status"
"View Return","Bekijk retournering"
"You have placed no returns.","U heeft geen retourneringen geplaatst"
"Order #%1 - %2","Order #%1 - %2"
"About This Order:","Over deze bestelling:"
"Order Date: %1","Order Date: %1"
