None,Nenhum
"Are you sure?","Are you sure?"
Remove,Remover
Close,Fechar
Cancel,Cancelar
Back,Voltar
"Add Products","Adicionar produtos"
Product,"Nome do produto"
Price,Preço
ID,Identidade
SKU,"Unidade de Manutenção de Estoque"
No,Não
Qty,Quant.
Action,Ação
Item,Item
Customer,"Nome do Cliente"
Items,Itens
Add,Adicionar
Delete,Excluir
Save,Salvar
Yes,Sim
Status,Status
Enabled,Enabled
"Sort Order","Classificar pedido"
"Save and Continue Edit","Salvar e continuar a editar"
Title,Title
Type,Tipo
"Select All","Select All"
Submit,Enviar
Order,Order
"Please wait, loading...","Por favor aguarde, carregando..."
View,Ver
OK,OK
"Input Type","Tipo de entrada"
"General Information","Informações gerais"
"Add New Attribute","Adicionar Novo Atributo"
"Save Attribute","Salvar atributo"
"Delete Attribute","Apagar atributo"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties","Propriedades de interface inicial"
"Attribute Information","Informação do Atributo"
Properties,Propriedades
"Close Window","Fechar Janela"
"Use config","Use config"
Dropdown,"Menu suspenso"
Closed,Fechar
"Product Name","Product Name"
Country,Country
State/Province,State/Province
"Shipping Information","Dados de Frete"
"Shipping Method","Tipo de Frete"
City,City
"Email Address","Endereço de e-mail"
"Street Address","Street Address"
"Shipping Address","Endereço de Envio"
Condition,Estado
Weight,Peso
Select,Selecione
Contents,Conteúdos
Package,Package
Packages,Embalagens
"Text Field","Campo de texto"
"Text Area","Área de texto"
Date,Data
"Image File","Arquivo de imagem"
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Purchase Point","Purchase Point"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
Notified,Notificado
"Notify Customer by Email","Notificar cliente por e-mail"
"Lines Count","Contagem de linhas"
"Valid range 2-20","Intervalo válido 2-20"
"Input Validation","Validação de entrada"
"Minimum Text Length","Comprimento mínimo do texto"
"Maximum Text Length","Comprimento máximo do texto"
"Maximum File Size (bytes)","Tamanho máximo do arquivo (bytes)"
"File Extensions","Extensões de arquivo"
"Comma separated","Separado por vírgula"
"Maximum Image Width (px)","Largura máxima da imagem (px)"
"Maximum Image Height (px)","Altura máxima da imagem (px)"
"Input/Output Filter","Filtro de entrada/saída"
"Show on Frontend","Exibir a parte frontal"
"Forms to Use In","Formulário para utilizar em"
"Manage Label / Options","Gerenciar etiqueta / opções"
"Visible to Customer","Visível no Frontend"
"Attribute is no longer exists.","Atributo não existe mais."
"You cannot edit this attribute.","Você não pode editar este atributo."
"You cannot delete this attribute.","Você não pode apagar este atributo."
Details,Detalhes
cm,cm
Height,Altura
Width,Largura
Pending,Pendente
Requested,"Quantidade de pedidos"
Remaining,"Quantidade Remanescente"
"Order ID","ID da Ordem"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Name","Customer Name"
Approved,"Quantidade aprovada"
Return,Retorno
Returns,Returns
"Create Returns","Create Returns"
"Select Items","Selecionar itens"
"New Returns Request","New Returns Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA","Criar Novo RMA"
"Please Select Order","Por Favor Selecione Pedido"
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
Print,Imprimir
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","Detalhes de item de RMA"
"Submit Comment","Enviar Comentário"
"Custom Value","Custom Value"
"Print Shipping Label","Imprima a Etiqueta de Envio"
"Show Packages","Mostrar pacotes"
"Return Items","Return Items"
Authorized,"Quantidade autorizada"
Returned,"Quantidade do Retorno"
"Return Reason","Motivo para Retorno"
"Item Condition","Condição do item"
Resolution,Resolução
Split,Divisão
"Return Information","Return Information"
RMA,RMA
"Requested Date","Dados solicitados"
"Order Date","Data do pedido"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?"
"Return Item Attribute","Return Item Attribute"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Submit Returns","Submit Returns"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Add Details","Adicionar detalhes"
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"New Return","New Return"
"We failed to save this RMA.","We failed to save this RMA."
"You submitted the RMA request.","You submitted the RMA request."
"You saved the RMA request.","You saved the RMA request."
"We failed to save this RMA. No items have been specified.","We failed to save this RMA. No items have been specified."
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"Something went wrong retrieving the product list.","Something went wrong retrieving the product list."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"A quantity you're trying to add is higher than the number of products we shipped.","A quantity you're trying to add is higher than the number of products we shipped."
"Products should be added to package(s)","Produtos devem ser adicionados ao(s) pacote(s)"
"You entered an invalid value.","You entered an invalid value."
"You created a shipping label.","You created a shipping label."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Please specify a carrier.","Please specify a carrier."
"You need to enter a tracking number.","You need to enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We cannot add a message.","We cannot add a message."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We cannot delete the tracking number.","We cannot delete the tracking number."
"We cannot load track with retrieving identifier.","We cannot load track with retrieving identifier."
"Manage RMA Item Attributes","Gerenciar atributos de item de RMA"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"Edit Return Item Attribute","Edit Return Item Attribute"
"An attribute with the same code already exists.","An attribute with the same code already exists."
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong saving the RMA item attribute.","Something went wrong saving the RMA item attribute."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"Something went wrong deleting the RMA item attribute.","Something went wrong deleting the RMA item attribute."
"Return #%1","Return #%1"
"You submitted Return #%1.","You submitted Return #%1."
"We cannot create a new return transaction. Please try again later.","We cannot create a new return transaction. Please try again later."
"Create New Return","Criar Novo Retorno"
"We cannot create a return transaction for order #%1.","We cannot create a return transaction for order #%1."
"Shipping Labels are not allowed.","Etiquetas de Envio não são permitidas."
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We cannot add a label.","We cannot add a label."
"The wrong RMA was selected.","The wrong RMA was selected."
"We cannot delete the label.","We cannot delete the label."
"My Returns","Minhas Devoluções"
"Cannot add message.","Não é possível adicionar mensagem."
"Tracking Information","Tracking Information"
"This is not a valid order.","This is not a valid order."
"Contact Email Address","Contatar Endereço de Email"
"Only one RMA is available for printing","Apenas um RMA está disponível para impressão"
"Return # ","Return # "
"Return Date: ","Data de Regresso:"
"Order # ","Order # "
"Order Date: ","Data do pedido:"
"Shipping Address:","Endereço para Envio:"
"Return Address:","Endereço do Remetente:"
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Authorized Qty"
"Returned Qty","Returned Qty"
"Approved Qty","Approved Qty"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"Quantity of %1 is greater than you can return.","Quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Partially Authorized","Autorizado Parcialmente"
"Return Received","Retorno Recebido"
"Return Partially Received","Retorno Parcialmente Recebido"
"Partially Approved","Aprovado Parcialmente"
Rejected,Rejeitado
"Partially Rejected","Rejeitado Parcialmente"
Denied,Negado
"Processed and Closed","Processado e Fechado"
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We have authorized your Return request.","We have authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","No detail for number ""%1"""
"All Items","Todos os itens"
"Individual Items","Itens individuais"
"Request Details","Detalhes do Pedido"
#,#
"RMA History","Histórico de RMA"
"Comment Text","Texto do comentário"
"Visible on Frontend","Visible on Frontend"
"Customer Service","Atendimento ao Cliente"
"Not Notified","Não notificado"
"Return Address","Endereço do Remetente"
"Order Shipping Address","Endereço de Envio"
"Delete Line","Excluir linha"
"Customs Value","Valores Aduaneiros"
"Qty Ordered","Qtde Pedida"
"Click to change shipping method.","Click to change shipping method."
"Create Shipping Label","Criar Rótulo de Frete"
"No authorized items or allowed shipping methods","Nenhum item autorizado ou métodos de envio permitidos"
"Add Package","Add Package"
"Create Packages","Create Packages"
Size,Tamanho
Girth,Circunferência
"Total Weight","Peso Total"
Length,Comprimento
"Signature Confirmation","Signature Confirmation"
in,in
lb,lb
kg,kg
"Delete Package","Delete Package"
Explanation,Explanation
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Please select products.","Please select products."
Carrier,Portador
Number,Número
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Items in the Package","Itens no pacote"
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","Itens de RMA solicitados para"
"Please Select Products to Add","Escolha os produtos a serem adicionados"
Sub-items,Sub-items
"Quantity To Return","Quantidade do Retorno"
"Remaining quantity: ","Remaining quantity: "
"New Return for Order %1","New Return for Order %1"
"Return Items Information","Informações dos Itens do Retorno"
"Add Item To Return","Adicionar item a ser retornado"
Comments,Comentários
"Return #","Retorno #"
"Ship From","Enviar de"
"Return Status","Estado do Retorno"
"View Return","Ver Voltar"
"You have placed no returns.","Você colocou nenhum retorno."
"Order #%1 - %2","Order #%1 - %2"
"About This Order:","Sobre Este Pedido:"
"Order Date: %1","Order Date: %1"
"Are you sure you want to delete this tracking information?","Tem certeza que deseja excluir as informações de rastreamento?"
"Request Information","Informações do Pedido"
"Date Requested","Date Requested"
"Shipping and Tracking Information","Informações de Envio e Rastreio"
"Track this shipment","Acompanhar este envio"
"Items Return Requested For","Retorno de itens solicitado para"
"Request Qty","Quantidade do Pedido"
"Hide Details","Ocultar detalhes"
"Show Details","Mostrar Detalhes"
Questions,Perguntas
Answers,Respostas
"Leave Comment","Fazer comentário"
"ZIP/Postal Code","ZIP/Postal Code"
"RMA Settings","RMA Settings"
"Enable RMA on Frontend","Enable RMA on Frontend"
"Enable RMA on Product Level","Enable RMA on Product Level"
"Use Store Address","Use Store Address"
"Contact Name","Contact Name"
"RMA Email Sender","RMA Email Sender"
"RMA Email Template","RMA Email Template"
"RMA Email Template for Guest","RMA Email Template for Guest"
"Send RMA Email Copy To","Send RMA Email Copy To"
Comma-separated,Comma-separated
"Send RMA Email Copy Method","Send RMA Email Copy Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization Email Sender"
"RMA Authorization Email Template","RMA Authorization Email Template"
"RMA Authorization Email Template for Guest","RMA Authorization Email Template for Guest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment Email Sender"
"RMA Comment Email Template","RMA Comment Email Template"
"RMA Comment Email Template for Guest","RMA Comment Email Template for Guest"
"Send RMA Comment Email Copy To","Send RMA Comment Email Copy To"
"RMA Customer Comments","RMA Customer Comments"
"RMA Comment Email Recipient","RMA Comment Email Recipient"
"Enabled for RMA","Enabled for RMA"
