None,无
"Are you sure?","Are you sure?"
Remove,删除
Close,关闭
Cancel,取消
Back,返回
"Add Products",添加产品
Product,产品名
Price,价格
ID,ID
SKU,SKU
No,否
Qty,数量
Action,操作
Item,商品
Customer,顾客姓名
Items,项目
Add,添加
Delete,删除
Save,保存
Yes,是
Status,状态
Enabled,Enabled
"Sort Order",排序顺序
"Save and Continue Edit",保存并继续编辑
Title,Title
Type,类型
"Select All","Select All"
Submit,提交
Order,Order
"Please wait, loading...",请稍候，正在加载...
View,查看
OK,确定
"Input Type",输入类型
"General Information",常规信息
"Add New Attribute",添加新属性
"Save Attribute",保存属性
"Delete Attribute",删除属性
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less than %1 symbols"
"Frontend Properties",前端属性
"Attribute Information",属性信息
Properties,属性
"Close Window",关闭窗口
"Use config",用户配置
Dropdown,下拉菜单
Closed,已关闭
"Product Name","Product Name"
Country,Country
State/Province,State/Province
"Shipping Information",运送信息
"Shipping Method",运送方式
City,City
"Email Address",编辑电子邮件地址
"Street Address","Street Address"
"Shipping Address",送货地址
Condition,条件
Weight,高度
Select,选择
Contents,内容
Package,Package
Packages,包裹
"Text Field",文本字段
"Text Area",文本区
Date,日期
"Image File",图像文件
"Purchase Date","Purchase Date"
"Bill-to Name","Bill-to Name"
"Ship-to Name","Ship-to Name"
"Purchase Point","Purchase Point"
"Delete Image","Delete Image"
"View Full Size","View Full Size"
Notified,已通知。
"Notify Customer by Email",通过电子邮件通知客户
"Lines Count",行数
"Valid range 2-20","有效范围 2-20"
"Input Validation",输入验证
"Minimum Text Length",最小文字长度
"Maximum Text Length",最大文字长度
"Maximum File Size (bytes)",最大文件体积（字节）
"File Extensions",文件扩展
"Comma separated",逗号分隔
"Maximum Image Width (px)",最大图像宽度（像素）
"Maximum Image Height (px)",最大图像高度（像素）
"Input/Output Filter",输入/输出筛选器
"Show on Frontend",在前端显示
"Forms to Use In",表单将用于
"Manage Label / Options",管理标签/选项
"Visible to Customer",前端可见
"Attribute is no longer exists.",属性不存在。
"You cannot edit this attribute.",您无法编辑该属性。
"You cannot delete this attribute.",您无法删除该属性。
Details,详情
cm,cm
Height,高度
Width,宽
Pending,挂起
Requested,已申请数量
Remaining,剩余数量
"Order ID","订单 ID"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Name","Customer Name"
Approved,已审核通过的数量
Return,退货
Returns,Returns
"Create Returns","Create Returns"
"Select Items",选择商品
"New Returns Request","New Returns Request"
"Create New RMA for %1 in %2","Create New RMA for %1 in %2"
"Create New RMA for %1","Create New RMA for %1"
"Create New RMA",创建新的RMA
"Please Select Order",请选择订单
"Are you sure you want to close this returns request?","Are you sure you want to close this returns request?"
Print,打印
"Return #%1 - %2","Return #%1 - %2"
"RMA Item Details","RMA 商品详情"
"Submit Comment",提交评论
"Custom Value","Custom Value"
"Print Shipping Label",打印发货标签
"Show Packages",显示包裹
"Return Items","Return Items"
Authorized,已授权数量
Returned,退货数量
"Return Reason",退货原因
"Item Condition",项目条件
Resolution,解决方式
Split,切分
"Return Information","Return Information"
RMA,RMA
"Requested Date",请求日期
"Order Date",订单日期
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?","You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to proceed?"
"Return Item Attribute","Return Item Attribute"
"Edit Return Item Attribute ""%1""","Edit Return Item Attribute ""%1"""
"New Return Item Attribute","New Return Item Attribute"
"Submit Returns","Submit Returns"
"Add Selected Product(s) to returns","Add Selected Product(s) to returns"
"Remaining Qty","Remaining Qty"
"Requested Qty","Requested Qty"
"Reason to Return","Reason to Return"
"Add Details",添加详情
"The wrong RMA was requested.","The wrong RMA was requested."
"This is the wrong RMA order ID.","This is the wrong RMA order ID."
"There are no applicable items for return in this order.","There are no applicable items for return in this order."
"New Return","New Return"
"We failed to save this RMA.","We failed to save this RMA."
"You submitted the RMA request.","You submitted the RMA request."
"You saved the RMA request.","You saved the RMA request."
"We failed to save this RMA. No items have been specified.","We failed to save this RMA. No items have been specified."
"%1 RMA(s) cannot be closed","%1 RMA(s) cannot be closed"
"We cannot close the RMA request(s).","We cannot close the RMA request(s)."
"%1 RMA (s) have been closed.","%1 RMA (s) have been closed."
"Invalid RMA","Invalid RMA"
"Please enter a valid message.","Please enter a valid message."
"We cannot add the RMA history.","We cannot add the RMA history."
"Invalid order","Invalid order"
"Something went wrong retrieving the product list.","Something went wrong retrieving the product list."
"The wrong RMA item was requested.","The wrong RMA item was requested."
"We cannot display the item attributes.","We cannot display the item attributes."
"No items for bundle product","No items for bundle product"
"The wrong order ID or item ID was requested.","The wrong order ID or item ID was requested."
"This is the wrong RMA ID.","This is the wrong RMA ID."
"We cannot display the available shipping methods.","We cannot display the available shipping methods."
"A quantity you're trying to add is higher than the number of products we shipped.","A quantity you're trying to add is higher than the number of products we shipped."
"Products should be added to package(s)",产品应添加到包中
"You entered an invalid value.","You entered an invalid value."
"You created a shipping label.","You created a shipping label."
"Something went wrong creating a shipping label.","Something went wrong creating a shipping label."
"We don't recognize or support the file extension in shipment %1.","We don't recognize or support the file extension in shipment %1."
"Please specify a carrier.","Please specify a carrier."
"You need to enter a tracking number.","You need to enter a tracking number."
"We cannot initialize an RMA to add a tracking number.","We cannot initialize an RMA to add a tracking number."
"We cannot add a message.","We cannot add a message."
"We cannot initialize an RMA to delete a tracking number.","We cannot initialize an RMA to delete a tracking number."
"We cannot delete the tracking number.","We cannot delete the tracking number."
"We cannot load track with retrieving identifier.","We cannot load track with retrieving identifier."
"Manage RMA Item Attributes","管理 RMA 商品属性"
"Returns Attributes","Returns Attributes"
"New Return Attribute","New Return Attribute"
"Edit Return Item Attribute","Edit Return Item Attribute"
"An attribute with the same code already exists.","An attribute with the same code already exists."
"You saved the RMA item attribute.","You saved the RMA item attribute."
"Something went wrong saving the RMA item attribute.","Something went wrong saving the RMA item attribute."
"You deleted the RMA attribute.","You deleted the RMA attribute."
"Something went wrong deleting the RMA item attribute.","Something went wrong deleting the RMA item attribute."
"Return #%1","Return #%1"
"You submitted Return #%1.","You submitted Return #%1."
"We cannot create a new return transaction. Please try again later.","We cannot create a new return transaction. Please try again later."
"Create New Return",创建新的返回
"We cannot create a return transaction for order #%1.","We cannot create a return transaction for order #%1."
"Shipping Labels are not allowed.",不被允许的运送标签。
"Please select a valid carrier.","Please select a valid carrier."
"Please enter a valid tracking number.","Please enter a valid tracking number."
"We cannot add a label.","We cannot add a label."
"The wrong RMA was selected.","The wrong RMA was selected."
"We cannot delete the label.","We cannot delete the label."
"My Returns",我的退货
"Cannot add message.",无法添加消息。
"Tracking Information","Tracking Information"
"This is not a valid order.","This is not a valid order."
"Contact Email Address",联络邮箱
"Only one RMA is available for printing","仅有 1 个 RMA 可供打印"
"Return # ","Return # "
"Return Date: ",退货日期：
"Order # ","Order # "
"Order Date: ",订单日期：
"Shipping Address:",运送地址：
"Return Address:",退货地址：
"There is an error in quantities for item %1.","There is an error in quantities for item %1."
"Authorized Qty","Authorized Qty"
"Returned Qty","Returned Qty"
"Approved Qty","Approved Qty"
"%1 for item %2 cannot be empty.","%1 for item %2 cannot be empty."
"You cannot return %1.","You cannot return %1."
"Quantity of %1 is greater than you can return.","Quantity of %1 is greater than you can return."
"You entered an invalid type: ""%1"".","You entered an invalid type: ""%1""."
"You entered an invalid email address: ""%1"".","You entered an invalid email address: ""%1""."
"You entered an invalid hostname: ""%1""","You entered an invalid hostname: ""%1"""
"""%1"" is longer than allowed.","""%1"" is longer than allowed."
"Partially Authorized",部分已授权
"Return Received",收到退货信息
"Return Partially Received",收到退货部分信息
"Partially Approved",部分审核通过
Rejected,已拒绝
"Partially Rejected",部分被拒绝
Denied,已拒绝
"Processed and Closed",已处理并关闭
"This is the wrong RMA item status.","This is the wrong RMA item status."
"We placed your Return request.","We placed your Return request."
"We have authorized your Return request.","We have authorized your Return request."
"We partially authorized your Return request.","We partially authorized your Return request."
"We received your Return request.","We received your Return request."
"We partially received your Return request.","We partially received your Return request."
"We partially approved your Return request.","We partially approved your Return request."
"We partially rejected your Return request.","We partially rejected your Return request."
"We closed your Return request.","We closed your Return request."
"We processed and closed your Return request.","We processed and closed your Return request."
"Invalid carrier: %1","Invalid carrier: %1"
"We need more information to create your shipping label(s). Please verify your store information and shipping settings.","We need more information to create your shipping label(s). Please verify your store information and shipping settings."
"No detail for number ""%1""","No detail for number ""%1"""
"All Items",所有项目
"Individual Items",个人项目
"Request Details",申请详情
#,#
"RMA History","RMA 历史记录"
"Comment Text",评论文字
"Visible on Frontend","Visible on Frontend"
"Customer Service",客户服务
"Not Notified",未通知
"Return Address",退货地址
"Order Shipping Address",订单运送地址
"Delete Line",删除线条
"Customs Value",自定义值
"Qty Ordered",下单的数量
"Click to change shipping method.","Click to change shipping method."
"Create Shipping Label",创建运送标签
"No authorized items or allowed shipping methods",没有授权的商品或允许的运送方式
"Add Package","Add Package"
"Create Packages","Create Packages"
Size,尺寸
Girth,周长
"Total Weight",总重量
Length,长度
"Signature Confirmation","Signature Confirmation"
in,in
lb,lb
kg,kg
"Delete Package","Delete Package"
Explanation,Explanation
"Add Selected Product(s) to Package","Add Selected Product(s) to Package"
"Please select products.","Please select products."
Carrier,运营商
Number,数字
"Enabled when authorized items require a new shipment.","Enabled when authorized items require a new shipment."
"Items in the Package",包裹中的商品
"Return Confirmation","Return Confirmation"
"Email Returns Confirmation","Email Returns Confirmation"
"RMA Items Requested for","已申请 RMA 商品："
"Please Select Products to Add",请选择要添加的产品
Sub-items,Sub-items
"Quantity To Return",退货数量
"Remaining quantity: ","Remaining quantity: "
"New Return for Order %1","New Return for Order %1"
"Return Items Information",退货商品信息
"Add Item To Return",添加项目到退货
Comments,评论
"Return #","退货 #"
"Ship From",运送自
"Return Status",退货状态
"View Return",查看退货
"You have placed no returns.",您没有申请退货。
"Order #%1 - %2","Order #%1 - %2"
"About This Order:",关于此订单：
"Order Date: %1","Order Date: %1"
"Are you sure you want to delete this tracking information?",您确认要删除该追踪信息吗？
"Request Information",请求信息
"Date Requested","Date Requested"
"Shipping and Tracking Information",运送和追踪信息
"Track this shipment",追踪该运单
"Items Return Requested For",项目返回请求
"Request Qty",申请数量
"Hide Details",隐藏详细信息
"Show Details",显示详情
Questions,问题
Answers,答案
"Leave Comment",留下评注
"ZIP/Postal Code","ZIP/Postal Code"
"RMA Settings","RMA Settings"
"Enable RMA on Frontend","Enable RMA on Frontend"
"Enable RMA on Product Level","Enable RMA on Product Level"
"Use Store Address","Use Store Address"
"Contact Name","Contact Name"
"RMA Email Sender","RMA Email Sender"
"RMA Email Template","RMA Email Template"
"RMA Email Template for Guest","RMA Email Template for Guest"
"Send RMA Email Copy To","Send RMA Email Copy To"
Comma-separated,Comma-separated
"Send RMA Email Copy Method","Send RMA Email Copy Method"
"RMA Authorization","RMA Authorization"
"RMA Authorization Email Sender","RMA Authorization Email Sender"
"RMA Authorization Email Template","RMA Authorization Email Template"
"RMA Authorization Email Template for Guest","RMA Authorization Email Template for Guest"
"Send RMA Authorization Email Copy To","Send RMA Authorization Email Copy To"
"Send RMA Authorization Email Copy Method","Send RMA Authorization Email Copy Method"
"RMA Admin Comments","RMA Admin Comments"
"RMA Comment Email Sender","RMA Comment Email Sender"
"RMA Comment Email Template","RMA Comment Email Template"
"RMA Comment Email Template for Guest","RMA Comment Email Template for Guest"
"Send RMA Comment Email Copy To","Send RMA Comment Email Copy To"
"RMA Customer Comments","RMA Customer Comments"
"RMA Comment Email Recipient","RMA Comment Email Recipient"
"Enabled for RMA","Enabled for RMA"
