Orders,Pedidos
Add,Añadir
CSV,CSV
"Excel XML","Excel XML"
"Credit Memos","Notas de crédito"
Invoices,Facturas
Shipments,Envíos
"Orders Archive","Archivo de Pedidos"
"Credit Memos Archive","Archivo de notas de crédito"
"Invoices Archive","Archivo de Facturas"
"Shipments Archive","Archivo de Envíos"
"Go to Archive (%1 orders)","Go to Archive (%1 orders)"
"Move to Archive","Mover a Archivo"
"Move to Order Managment","Mover a Gestión de Pedidos"
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"We can't find the table.","We can't find the table."
"Column not found","Columna no encontrada"
"Positioning column not found","Columna de posicionamiento no encontrada."
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Print Shipping Labels","Print Shipping Labels"
"PDF Packing Slips","PDF Packing Slips"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Anuncio masivo"
"Sales Archive","Archivo de Ventas"
"Move to Orders Management","Mover a Gestión de Pedidos"
